"California Legislative Elections, 1986",,
California's 2nd Senate District – DEM Hold,,
Barry Keene (D-inc),115756,56.24%
"Richard ""Dick"" Brann (R)",84580,41.09%
Pamela Elizondo (PF),5497,2.67%
Total Votes,205833,100.00%
,,
California's 4th Senate District – GOP Hold,,
Jim Nielsen (R-inc),150060,64.46%
Franklin S. Cibula (D),82733,35.54%
Total Votes,232793,100.00%
,,
California's 6th Senate District – DEM Hold,,
Leroy F. Greene (D-inc),138571,60.42%
Sandy Smoley (R),90759,39.58%
Total Votes,229330,100.00%
,,
California's 8th Senate District – IND Gain,,
Quentin L. Kopp (I),81501,46.89%
Lou Papan (D),79117,45.52%
Russell Gray (R),13189,7.59%
Total Votes,173807,100.00%
,,
California's 10th Senate District – DEM Hold,,
Bill Lockyer (D),124290,71.24%
Bruce W. Bergondy (R),50179,28.76%
Total Votes,174469,100.00%
,,
California's 12th Senate District – DEM Hold,,
Dan McCorquodale (D-inc),90911,55.99%
Tom Legan (R),71464,44.01%
Total Votes,162375,100.00%
,,
California's 14th Senate District – GOP Hold,,
Ken Maddy (R-inc),112270,68.88%
Michael T. LeSage (D),50728,31.12%
Total Votes,162998,100.00%
,,
California's 16th Senate District – GOP Gain,,
Don Rogers (R),89942,51.99%
Jim Young (D),83065,48.01%
Total Votes,173007,100.00%
,,
California's 18th Senate District – DEM Hold,,
Gary K. Hart (D-inc),121661,64.99%
DeWayne Holmdahl (R),62659,33.47%
Jay C. Wood (L),2885,1.54%
Total Votes,187205,100.00%
,,
California's 20th Senate District – DEM Hold,,
Alan Robbins (D-inc),99174,65.33%
Lynn Robert Davis (R),52621,34.67%
Total Votes,151795,100.00%
,,
California's 22nd Senate District – DEM Hold,,
Herschel Rosenthal (D),146713,67.92%
Daniel Ward Sias (R),62841,29.09%
Joseph A. Russell (L),3670,1.70%
Abby Kirk (PF),2796,1.29%
Total Votes,216020,100.00%
,,
California's 24th Senate District – DEM Hold,,
Art Torres (D-inc),49601,72.15%
Lee David Prentiss (R),16761,24.38%
Laura G. Brown (L),2382,3.47%
Total Votes,68744,100.00%
,,
California's 26th Senate District – DEM Hold,,
Joseph B. Montoya (D-inc),96361,100.00%
,,
California's 28th Senate District – DEM Hold,,
Diane Watson (D-inc),124476,78.57%
Armand M. Vaquer (R),33960,21.43%
Total Votes,158436,100.00%
,,
California's 30th Senate District – DEM Hold,,
Ralph C. Dills (D-inc),80926,71.97%
Anthony Jay Gray (R),28289,25.16%
Lee H. Chauser (PF),3231,2.87%
Total Votes,112446,100.00%
,,
California's 32nd Senate District – GOP Hold,,
Edward R. Royce (R-inc),95505,65.78%
"Francis X. ""Frank"" Hoffman (D)",49681,34.22%
Total Votes,145186,100.00%
,,
California's 34th Senate District – DEM Hold,,
Ruben S. Ayala (D-inc),93410,65.86%
Steve Turner (R),48421,34.14%
Total Votes,141831,100.00%
,,
California's 36th Senate District – DEM Hold,,
Robert B. Presley (D-inc),115868,61.38%
Anne Richardson (R),72904,38.62%
Total Votes,188772,100.00%
,,
California's 38th Senate District – GOP Hold,,
William A. Craven (R-inc),181627,85.09%
Betsy A. Mill (L),31826,14.91%
Total Votes,213453,100.00%
,,
California's 40th Senate District – DEM Hold,,
Wadie P. Deddeh (D-inc),87999,69.45%
"William M. ""Bill"" Hoover (R)",36231,28.59%
William R. Beard (PF),2483,1.96%
Total Votes,126713,100.00%
,,
California's 1st Assembly District – GOP Hold,,
Stan Statham (R-inc),77595,71.32%
Arlie E. Caudle (D),31211,28.68%
Total Votes,108806,100.00%
,,
California's 2nd Assembly District – DEM Hold,,
"Daniel E. ""Dan"" Hauser (D-inc)",75030,67.48%
George A. Kennedy (R),36165,32.52%
Total Votes,111195,100.00%
,,
California's 3rd Assembly District – GOP Hold,,
Chris Chandler (R),58399,56.86%
Floyd Myers Marsh (D),44309,43.14%
Total Votes,102708,100.00%
,,
California's 4th Assembly District – DEM Hold,,
Thomas M. Hannigan (D-inc),72318,74.50%
Steven W. Hague (R),24759,25.50%
Total Votes,97077,100.00%
,,
California's 5th Assembly District – GOP Gain,,
Tim Leslie (R),68292,57.64%
Jack Dugan (D),46289,39.07%
Charles L. Carr (L),3905,3.30%
Total Votes,118486,100.00%
,,
California's 6th Assembly District – DEM Hold,,
Lloyd G. Connelly (D-inc),72017,66.57%
David W. Green (R),36167,33.43%
Total Votes,108184,100.00%
,,
California's 7th Assembly District – DEM Hold,,
Norman S. Waters (D-inc),82759,66.59%
Terry Holm (R),38490,30.97%
Robert W. Page (L),3024,2.43%
Total Votes,124273,100.00%
,,
California's 8th Assembly District – GOP Hold,,
Bev Hansen (R),73606,62.68%
Mary Jadiker (D),43831,37.32%
Total Votes,117437,100.00%
,,
California's 9th Assembly District – GOP Hold,,
"William J. ""Bill"" Filante (R-inc)",65154,54.89%
Joanna P. Willmann (D),53553,45.11%
Total Votes,118707,100.00%
,,
California's 10th Assembly District – DEM Hold,,
Phillip L. Isenberg (D-inc),71489,67.10%
Daryl Sullivan (R),35052,32.90%
Total Votes,106541,100.00%
,,
California's 11th Assembly District – DEM Hold,,
"Robert J. ""Bob"" Campbell (D)",63642,74.41%
Timothy DeWitt (R),21889,25.59%
Total Votes,85531,100.00%
,,
California's 12th Assembly District – DEM Hold,,
Tom Bates (D-inc),91581,72.11%
Jerald H. Udinsky (R),30721,24.19%
"William ""Bill"" McCord (L)",2812,2.21%
Emma Wong Mar (PF),1888,1.49%
Total Votes,127002,100.00%
,,
California's 13th Assembly District – DEM Hold,,
Elihu M. Harris (D-inc),59058,76.55%
David L. Norman (R),18095,23.45%
Total Votes,77153,100.00%
,,
California's 14th Assembly District – DEM Hold,,
Johan Klehs (D-inc),64373,73.50%
Curtis E. Jones (R),23206,26.50%
Total Votes,87579,100.00%
,,
California's 15th Assembly District – GOP Hold,,
"William P. ""Bill"" Baker (R-inc)",80500,67.47%
Wayne W. Bennett (D),38817,32.53%
Total Votes,119317,100.00%
,,
California's 16th Assembly District – DEM Hold,,
Art Agnos (D-inc),66498,84.76%
Max Woods (R),8973,11.44%
"Margaret ""Meg"" Weber (PF)",2983,3.80%
Total Votes,78454,100.00%
,,
California's 17th Assembly District – DEM Hold,,
Willie Brown (D-inc),71829,70.59%
Jeff Corino (R),25069,24.64%
Bonnie Hoy (L),4852,4.77%
Total Votes,101750,100.00%
,,
California's 18th Assembly District – DEM Hold,,
Delaine Eastin (D),43241,56.52%
Martin Leo Mehan (R),31068,40.61%
Charles F. Hanes (L),2197,2.87%
Total Votes,76506,100.00%
,,
California's 19th Assembly District – DEM Hold,,
Jackie Speier (D),56809,73.95%
Michael Rocco (R),20010,26.05%
Total Votes,76819,100.00%
,,
California's 20th Assembly District – GOP Hold,,
Bill Duplissea (R),56469,51.07%
Ed Bacciocco (D),54099,48.93%
Total Votes,110568,100.00%
,,
California's 21st Assembly District – DEM Hold,,
Byron D. Sher (D-inc),59042,69.83%
Robert E. Philips (R),21137,25.00%
Tom Grey (L),3319,3.93%
Frank DeSio (PF),1059,1.25%
Total Votes,84557,100.00%
,,
California's 22nd Assembly District – GOP Hold,,
Chuck Quackenbush (R),57684,55.17%
Brent N. Ventura (D),43902,41.99%
Dustin Baker (L),2976,2.85%
Total Votes,104562,100.00%
,,
California's 23rd Assembly District – DEM Hold,,
John Vasconcellos (D-inc),43116,67.65%
Lynn Knapp (R),18285,28.69%
Kennita Watson (L),1215,1.91%
Kerry Dean Williams (PF),1115,1.75%
Total Votes,63731,100.00%
,,
California's 24th Assembly District – DEM Hold,,
Dom Cortese (D-inc),49729,63.71%
Jack Sandoval (R),25720,32.95%
John H. Webster (L),2612,3.35%
Total Votes,78061,100.00%
,,
California's 25th Assembly District – DEM Hold,,
Rusty Areias (D-inc),50412,71.01%
Ben Gilmore (R),18941,26.68%
Mark Hinkle (L),1635,2.30%
