State,Year,Office,County,D#,R#,ND#,SD#,Prog.#,S#,Comm.#,Wor.#,SL#,GBL#,New#,Nat.#,Proh.#,IND#,Pop.#,GB#,U#,SW#,Comm.#.1,NA#,AI#,I#,Ref.#,NL#,G#,L1#,L2#,IND#.1,WW#,Cit.#,Labor#,Delta#,W/I1#,W/I2#,W/I3#,W/I4#,Am.#,L#,I1#,I2#,R1#,R2#,FL#,IR#,W/I#,Year / Office,CM#,Mod.#,Town,T#,New Ref.#
New Hampshire,1876,President,Belknap,2308,2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
New Hampshire,1876,President,Carroll,2474,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
New Hampshire,1876,President,Cheshire,2984,4162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
New Hampshire,1876,President,Coos,2130,1679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,
New Hampshire,1876,President,Grafton,5092,4763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
New Hampshire,1876,President,Hillsborough,6790,8190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,
New Hampshire,1876,President,Merrimack,5687,5660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
New Hampshire,1876,President,Rockingham,5576,6422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
New Hampshire,1876,President,Strafford,3363,4052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
New Hampshire,1876,President,Sullivan,2106,2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
New Hampshire,1880,President,Belknap,2483,2350,,,,,,,,55,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1880,President,Carroll,2639,2426,,,,,,,,24,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
