State,Year,Office,County,D#,R#,Prog.#,S#,SW#,Proh.#,Am.#,I#,Ref.#,L#,G#,C#,NL#,Cit.#,Labor#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,Pop.#,Year / Office,W/I#
North Carolina,1912,President,Alamance,2132,150,1637,10,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Alexander,852,523,497,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Alleghany,652,208,256,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Anson,1487,125,118,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Ashe,1643,478,1241,1,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Avery,217,138,950,2,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Beaufort,1605,295,548,61,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Bertie,1571,43,61,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Bladen,1140,33,511,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Brunswick,777,280,456,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Buncombe,3716,426,2285,101,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Burke,1365,48,1288,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Cabarrus,1738,389,1584,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Caldwell,1627,482,1167,11,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Camden,303,40,62,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Carteret,1153,218,537,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Caswell,705,154,45,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Catawba,2110,203,1872,0,,3,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Chatham,1652,70,1343,2,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Cherokee,906,734,477,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Chowan,663,60,77,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Clay,372,17,387,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Cleveland,2351,81,943,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Columbus,1668,155,892,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Craven,1819,79,190,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Cumberland,1678,235,870,10,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Currituck,622,6,8,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Dare,397,238,80,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Davidson,2484,1509,1143,10,,12,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Davie,823,810,345,0,,1,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Duplin,1757,33,1066,3,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Durham,2197,124,1204,1,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Edgecombe,1851,102,77,49,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Forsyth,3042,1689,1262,325,,4,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Franklin,1856,71,346,1,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Gaston,2333,244,1279,46,,22,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Gates,618,95,179,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Graham,416,261,223,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Granville,1561,192,343,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Greene,894,124,152,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Guilford,3830,460,1979,43,,26,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Halifax,2300,42,135,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Harnett,1364,148,1035,5,,1,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Haywood,2068,354,861,6,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Henderson,1092,801,380,2,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Hertford,742,61,105,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Hoke,626,63,40,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Hyde,636,76,300,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Iredell,2528,392,1047,0,,2,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Jackson,1210,315,729,5,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Johnston,2757,1335,1083,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Jones,635,35,125,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Lee,862,451,60,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Lenoir,1568,122,347,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Lincoln,1280,49,1066,3,,12,,,,,,,,,,,,,,,,,
North Carolina,1912,President,McDowell,1037,343,773,10,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Macon,1020,134,841,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Madison,897,430,1320,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Martin,1251,229,34,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Mecklenburg,3967,284,533,38,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Mitchell,385,203,716,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Montgomery,1012,144,846,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Moore,1167,252,678,17,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Nash,1862,172,576,42,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,New Hanover,2021,140,107,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Northampton,1625,57,53,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Onslow,901,66,550,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Orange,997,172,821,4,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Pamlico,694,74,329,20,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Pasquotank,972,77,184,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Pender,967,19,268,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Perquimans,647,228,44,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Person,820,784,184,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Pitt,2303,347,433,3,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Polk,675,153,501,1,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Randolph,2665,370,1809,6,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Richmond,1319,82,174,3,,8,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Robeson,2706,154,660,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Rockingham,1939,694,778,51,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Rowan,2748,280,1537,50,,9,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Rutherford,2180,82,1553,7,,7,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Sampson,1265,84,2520,0,,1,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Scotland,751,9,75,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Stanly,1702,105,1548,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Stokes,1144,1450,210,22,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Surry,1919,2277,608,0,,1,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Swain,766,220,858,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Transylvania,631,107,537,1,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Tyrrell,297,224,100,4,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Union,1786,92,457,19,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Vance,1204,168,234,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Wake,3996,282,1517,12,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Warren,987,112,46,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Washington,503,384,149,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Watauga,933,420,819,2,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Wayne,2293,95,1090,16,,9,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Wilkes,1636,331,2571,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Wilson,1741,82,561,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Yadkin,713,791,599,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1912,President,Yancey,1112,60,1036,0,,0,,,,,,,,,,,,,,,,,
North Carolina,1916,President,Alamance,2476,2278,,5,,0,,,,,,,,,,,,,,,,,
