State,Year,Office,County,D#,R#,S#,Peace#,Proh.#,Ind. Labor#,Pop.#,IND#,Prog.#,SPI#,SL#,Comm.#,I1#,I2#,I3#,T#,L#,Ref.#,NL#,G#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,Pop. Gov.#,AI#,WF#,I4#,Am.#,W/I#,Year / Office,I#,C#
Oregon,1904,President,Baker,938,1990,335,,52,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Benton,442,1107,74,,136,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Clackamas,684,2783,421,,141,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Clatsop,336,1408,256,,41,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Columbia,221,1301,160,,61,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Coos,490,1712,342,,92,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Crook,266,763,116,,16,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Curry,87,322,38,,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Douglas,908,2443,387,,95,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Gilliam,195,568,48,,28,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Grant,316,1007,123,,32,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Harney,190,395,80,,7,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Jackson,798,1992,307,,133,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Josephine,327,914,208,,47,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Klamath,208,552,25,,10,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Lake,115,394,4,,9,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Lane,1166,3501,356,,232,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Lincoln,179,581,118,,14,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Linn,1206,2346,409,,286,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Malheur,280,799,74,,77,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Marion,1084,4106,297,,312,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Morrow,230,875,156,,78,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Multnomah,2324,13692,1849,,592,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Polk,521,1380,122,,118,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Sherman,163,701,32,,86,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Tillamook,136,729,119,,65,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Umatilla,840,2642,259,,223,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Union,775,1884,202,,116,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
