State,Year,Office,County/City,D#,R#,Prog.#,FL#,S#,U#,SD#,PF#,Proh.#,Comm.#,JI#,Labor#,SL#,SW#,SR#,I1#,I2#,I3#,Ref.#,NL#,IG#,G#,L#,W/I#,ID#,CON#,Match,Others,W/I1#,W/I2#,County / City,Soc. D#,AI#,I#,Year / Office
Virginia,1912,President,Accomac,1825,153,110,,1,,,,25,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Albemarle,1215,144,126,,15,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Alexandria,346,86,153,,8,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Alleghany,394,125,263,,10,,,,15,,,,2,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Amelia,325,32,50,,0,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Amherst,765,64,60,,8,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Appomattox,654,28,51,,0,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Augusta,1556,568,272,,11,,,,73,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Bath,329,159,39,,3,,,,11,,,,3,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Bedford,1219,142,343,,9,,,,20,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Bland,289,206,118,,1,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Botetourt,889,517,191,,2,,,,9,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Brunswick,643,67,43,,5,,,,6,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Buchanan,524,223,389,,0,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Buckingham,603,97,110,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Campbell,810,97,126,,11,,,,8,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Caroline,590,144,126,,0,,,,6,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Carroll,765,874,346,,0,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Charles City,121,37,23,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Charlotte,609,175,123,,10,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Chesterfield,702,61,75,,8,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Clarke,576,39,14,,1,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Craig,337,62,150,,1,,,,4,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Culpeper,752,108,49,,1,,,,5,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Cumberland,362,10,31,,1,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Dickenson,529,398,157,,5,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Dinwiddie,512,58,75,,1,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Elizabeth City,347,43,56,,8,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Essex,278,72,11,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Fairfax,992,187,150,,6,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Fauquier,1187,182,87,,2,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Floyd,409,222,712,,5,,,,13,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Fluvanna,409,53,58,,5,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Franklin,1238,415,601,,5,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Frederick,922,181,112,,3,,,,16,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Giles,725,267,247,,4,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Gloucester,510,74,56,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Goochland,322,114,82,,6,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Grayson,842,832,290,,1,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Greene,238,141,95,,0,,,,5,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Greensville,294,31,72,,1,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Halifax,1260,426,127,,15,,,,8,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Hanover,609,87,4,,0,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Henrico,952,93,105,,16,,,,6,,,,3,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Henry,707,216,369,,8,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Highland,313,221,84,,0,,,,14,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Isle of Wight,708,75,101,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,James City,128,10,15,,1,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,King and Queen,246,68,48,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,King George,256,48,103,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,King William,305,69,63,,1,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Lancaster,479,82,16,,1,,,,6,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Lee,1023,699,577,,9,,,,10,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Loudoun,1386,256,87,,4,,,,35,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Louisa,578,91,141,,6,,,,4,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Lunenburg,508,66,50,,4,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Madison,402,210,63,,1,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Mathews,523,45,34,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Mecklenburg,1039,191,91,,1,,,,5,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Middlesex,374,128,22,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Montgomery,684,349,531,,2,,,,27,,,,3,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Nansemond,544,53,65,,2,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Nelson,706,163,95,,5,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,New Kent,160,30,46,,0,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Norfolk,1089,422,215,,11,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Northampton,726,83,76,,1,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Northumberland,470,102,52,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Nottoway,683,72,70,,4,,,,7,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Orange,619,87,57,,0,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Page,703,340,138,,10,,,,26,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Patrick,698,434,350,,3,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Pittsylvania,1558,527,321,,15,,,,5,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Powhatan,230,109,51,,11,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Prince Edward,584,72,46,,0,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Prince George,204,42,48,,1,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Princess Anne,422,40,63,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Prince William,814,82,93,,5,,,,6,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Pulaski,781,196,484,,13,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Rappahannock,356,94,9,,13,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Richmond,342,110,40,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Roanoke,696,108,191,,9,,,,15,,,,0,,,,,,,,,,,,,,,,,,,,,,
