State,Year,Office,County,D#,R#,Prog.#,Pop.#,SW#,Comm.#,S#,Wor.#,Proh.#,Am.#,I#,G#,L#,Ref.#,NL#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,C#,ATP#,Year / Office
West Virginia,1912,President,Barbour,1561,607,1424,,,,99,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Berkeley,2703,1349,1204,,,,135,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Boone,1119,416,627,,,,314,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Braxton,2611,580,1816,,,,39,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Brooke,850,972,453,,,,244,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Cabell,4793,1798,3210,,,,480,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Calhoun,1349,575,476,,,,12,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Clay,932,352,766,,,,55,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Doddridge,866,622,1192,,,,44,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Fayette,3757,2697,3140,,,,1428,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Gilmer,1493,469,516,,,,22,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Grant,356,349,1025,,,,13,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Greenbrier,2707,622,1797,,,,84,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Hampshire,1777,406,266,,,,4,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Hancock,634,664,557,,,,125,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Hardy,1209,344,314,,,,7,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Harrison,4378,1754,3443,,,,1077,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Jackson,1935,1199,1355,,,,48,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Jefferson,2525,993,152,,,,55,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Kanawha,6658,1780,6360,,,,3071,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Lewis,1929,1029,1146,,,,146,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Lincoln,1876,631,1618,,,,56,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Logan,1404,518,642,,,,247,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Marion,4535,1625,2447,,,,826,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Marshall,2405,1610,1842,,,,521,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Mason,1812,1024,1692,,,,247,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,McDowell,2497,4341,2425,,,,64,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Mercer,3497,1507,2958,,,,158,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Mineral,1367,513,1446,,,,165,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Mingo,1832,1569,884,,,,72,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Monongalia,1673,1216,1772,,,,580,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Monroe,1570,798,742,,,,17,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Morgan,549,612,518,,,,75,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Nicholas,2018,584,1425,,,,29,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Ohio,5771,3956,2666,,,,1579,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Pendleton,1162,475,434,,,,17,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Pleasants,796,493,364,,,,22,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Pocahontas,1428,589,1086,,,,94,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Preston,1845,1461,2387,,,,221,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Putnam,1540,531,1401,,,,326,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Raleigh,2343,897,2854,,,,434,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Randolph,2563,756,1411,,,,371,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Ritchie,1270,937,1264,,,,91,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Roane,2045,708,1670,,,,52,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Summers,2111,791,1250,,,,88,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Taylor,1445,791,1316,,,,175,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Tucker,1221,548,1265,,,,253,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Tyler,1193,706,1129,,,,170,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Upshur,895,835,1706,,,,61,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Wayne,2634,1465,797,,,,85,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Webster,1330,307,524,,,,23,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Wetzel,2710,1092,733,,,,163,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Wirt,953,213,762,,,,28,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Wood,3784,2509,1823,,,,428,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1912,President,Wyoming,881,569,620,,,,8,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Barbour,1848,2083,,,,,57,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Berkeley,2938,2802,,,,,86,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Boone,1397,1504,,,,,105,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Braxton,2957,2332,,,,,9,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Brooke,1261,1422,,,,,120,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Cabell,6446,5728,,,,,229,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Calhoun,1317,936,,,,,13,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Clay,1047,1021,,,,,26,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Doddridge,1061,1803,,,,,41,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Fayette,5377,5511,,,,,361,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Gilmer,1695,943,,,,,9,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Grant,391,1438,,,,,5,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Greenbrier,3170,2601,,,,,86,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Hampshire,2181,745,,,,,10,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Hancock,891,1434,,,,,117,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Hardy,1425,701,,,,,6,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Harrison,5970,6262,,,,,584,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Jackson,2032,2474,,,,,29,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Jefferson,2544,1181,,,,,44,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Kanawha,10276,10096,,,,,598,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Lewis,2248,2263,,,,,102,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Lincoln,2113,2104,,,,,59,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Logan,3270,2107,,,,,62,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Marion,5493,4443,,,,,443,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Marshall,2997,3699,,,,,229,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Mason,2336,2454,,,,,101,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,McDowell,3692,7086,,,,,20,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Mercer,4836,4788,,,,,55,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Mineral,1747,1965,,,,,79,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Mingo,2472,2223,,,,,10,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Monongalia,2227,3412,,,,,297,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Monroe,1609,1584,,,,,8,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Morgan,666,1208,,,,,30,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Nicholas,2467,2056,,,,,69,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Ohio,6074,7349,,,,,509,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Pendleton,1276,888,,,,,9,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Pleasants,899,876,,,,,7,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Pocahontas,1849,1550,,,,,53,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Preston,1694,3838,,,,,105,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Putnam,1837,1925,,,,,131,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Raleigh,3319,3791,,,,,151,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Randolph,3024,2165,,,,,253,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Ritchie,1657,2225,,,,,89,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Roane,2186,2406,,,,,38,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Summers,2389,1781,,,,,24,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Taylor,1672,2002,,,,,87,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Tucker,1388,1531,,,,,158,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Tyler,1336,1900,,,,,68,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Upshur,1019,2553,,,,,68,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Wayne,2989,2215,,,,,43,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Webster,1513,854,,,,,14,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Wetzel,2797,1910,,,,,77,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Wirt,1072,951,,,,,12,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Wood,4817,4521,,,,,142,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Wyoming,1199,1484,,,,,7,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Barbour,2777,3763,,,,,94,,17,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Berkeley,4399,5259,,,,,60,,30,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Boone,2529,2674,,,,,108,,4,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Braxton,4269,4274,,,,,10,,10,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Brooke,2129,3060,,,,,104,,42,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Cabell,12845,13170,,,,,204,,64,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Calhoun,1773,1671,,,,,2,,1,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Clay,1533,1981,,,,,0,,0,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Doddridge,1137,3135,,,,,12,,13,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Fayette,9003,10561,,,,,340,,30,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Gilmer,1854,1635,,,,,6,,15,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Grant,492,2417,,,,,26,,7,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Greenbrier,4994,4850,,,,,55,,0,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Hampshire,2221,1214,,,,,10,,22,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Hancock,1435,2768,,,,,101,,60,,,,,,,,,,,,,,,,,,,,
