State,Year,Office,County,D#,R#,GR#,Justice#,C#,FLR#,IND#,I#,New#,PF#,LU#,T#,S&L,SW#,Labor#,S#,Comm.#,SL#,Proh.#,Pop.#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,GD#,Prog.#,GWP#,Ref.#,NL#,G#,SD#,NA#,Cit.#,L#,P&P,KISS#,ABC#,I1#,I2#,I3#,I4#,I5#,I6#,I7#,GR#.1,M#,W/I#,ER#,CRE#,RJF#,PoV#,Loc.#,Year / Office,Town,S&L#,P&P#
Vermont,1888,President,Addison,618,4036,,,,,,57,,,,,,,,,,,164,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1888,President,Bennington,1128,2497,,,,,,396,,,,,,,,,,,91,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1888,President,Caledonia,1249,3083,,,,,,185,,,,,,,,,,,162,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1888,President,Chittenden,1940,4149,,,,,,125,,,,,,,,,,,106,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1888,President,Essex,502,907,,,,,,37,,,,,,,,,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1888,President,Franklin,1343,3121,,,,,,0,,,,,,,,,,,171,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1888,President,Grand Isle,180,465,,,,,,0,,,,,,,,,,,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1888,President,Lamoille,543,1797,,,,,,0,,,,,,,,,,,66,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1888,President,Orange,1277,2792,,,,,,276,,,,,,,,,,,114,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1888,President,Orleans,724,3036,,,,,,264,,,,,,,,,,,103,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1888,President,Rutland,2417,6088,,,,,,220,,,,,,,,,,,153,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1888,President,Washington,1892,3715,,,,,,30,,,,,,,,,,,103,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1888,President,Windham,1518,4344,,,,,,244,,,,,,,,,,,122,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1888,President,Windsor,1457,5163,,,,,,143,,,,,,,,,,,77,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1892,President,Addison,621,3146,,,,,,,,,,,,,,,,,129,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1892,President,Bennington,1155,2196,,,,,,,,,,,,,,,,,69,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1892,President,Caledonia,1222,2646,,,,,,,,,,,,,,,,,156,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1892,President,Chittenden,1952,3418,,,,,,,,,,,,,,,,,91,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1892,President,Essex,418,721,,,,,,,,,,,,,,,,,36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1892,President,Franklin,1353,2540,,,,,,,,,,,,,,,,,123,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1892,President,Grand Isle,177,349,,,,,,,,,,,,,,,,,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1892,President,Lamoille,517,1470,,,,,,,,,,,,,,,,,50,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1892,President,Orange,1088,2395,,,,,,,,,,,,,,,,,134,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1892,President,Orleans,631,2358,,,,,,,,,,,,,,,,,97,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1892,President,Rutland,2426,5210,,,,,,,,,,,,,,,,,196,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1892,President,Washington,1940,3134,,,,,,,,,,,,,,,,,121,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1892,President,Windham,1496,3656,,,,,,,,,,,,,,,,,104,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1892,President,Windsor,1329,4753,,,,,,,,,,,,,,,,,105,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Addison,404,4314,,,,,,,,,,,,,,,,,81,,3,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Bennington,656,3086,,,,,,,,,,,,,,,,,36,,0,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Caledonia,729,3474,,,,,,,,,,,,,,,,,94,,0,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Chittenden,1416,4743,,,,,,,,,,,,,,,,,54,,0,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Essex,277,873,,,,,,,,,,,,,,,,,13,,0,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Franklin,1150,3444,,,,,,,,,,,,,,,,,72,,0,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Grand Isle,158,426,,,,,,,,,,,,,,,,,2,,0,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Lamoille,440,2061,,,,,,,,,,,,,,,,,27,,0,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Orange,567,3067,,,,,,,,,,,,,,,,,69,,0,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Orleans,442,3412,,,,,,,,,,,,,,,,,46,,0,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Rutland,1661,6794,,,,,,,,,,,,,,,,,89,,5,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Washington,1396,4476,,,,,,,,,,,,,,,,,66,,8,,,,,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Windham,670,4829,,,,,,,,,,,,,,,,,50,,0,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Windsor,674,6128,,,,,,,,,,,,,,,,,34,,0,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
