State,Year,Office,County,D#,R#,IND#,Proh.#,S#,SL#,Pop.#,Prog.#,U#,Labor#,Comm.#,I1#,I2#,C#,L#,NL#,Ref.#,G#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,Country#,I#,W/I#,Year / Office
Wyoming,1892,President,Albany,1041,1100,,82,,,,,,,,,,,,,,,,0,,,,,,,,
Wyoming,1892,President,Big Horn,0,0,,0,,,,,,,,,,,,,,,,0,,,,,,,,
Wyoming,1892,President,Carbon,853,978,,40,,,,,,,,,,,,,,,,0,,,,,,,,
Wyoming,1892,President,Converse,360,494,,57,,,,,,,,,,,,,,,,0,,,,,,,,
Wyoming,1892,President,Crook,516,399,,19,,,,,,,,,,,,,,,,0,,,,,,,,
Wyoming,1892,President,Fremont,495,648,,24,,,,,,,,,,,,,,,,23,,,,,,,,
Wyoming,1892,President,Johnson,561,309,,31,,,,,,,,,,,,,,,,0,,,,,,,,
Wyoming,1892,President,Laramie,1329,1890,,63,,,,,,,,,,,,,,,,6,,,,,,,,
Wyoming,1892,President,Natrona,148,194,,5,,,,,,,,,,,,,,,,0,,,,,,,,
Wyoming,1892,President,Sheridan,517,509,,72,,,,,,,,,,,,,,,,0,,,,,,,,
Wyoming,1892,President,Sweetwater,702,674,,57,,,,,,,,,,,,,,,,0,,,,,,,,
Wyoming,1892,President,Uinta,993,965,,67,,,,,,,,,,,,,,,,0,,,,,,,,
Wyoming,1892,President,Weston,207,294,,13,,,,,,,,,,,,,,,,0,,,,,,,,
Wyoming,1896,President,Albany,1073,1220,,22,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,1896,President,Big Horn,591,538,,17,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,1896,President,Carbon,1080,1229,,9,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,1896,President,Converse,459,585,,13,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,1896,President,Crook,569,524,,6,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,1896,President,Fremont,523,535,,6,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,1896,President,Johnson,467,284,,2,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,1896,President,Laramie,1628,1776,,19,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,1896,President,Natrona,327,392,,3,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,1896,President,Sheridan,1104,877,,11,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,1896,President,Sweetwater,996,754,,37,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,1896,President,Uinta,1726,907,,8,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,1896,President,Weston,319,451,,6,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,1900,President,Albany,1001,1540,,,0,,0,,,,,,,,,,,,,,,,,,,,,
Wyoming,1900,President,Big Horn,479,843,,,0,,0,,,,,,,,,,,,,,,,,,,,,
Wyoming,1900,President,Carbon,1152,1757,,,0,,0,,,,,,,,,,,,,,,,,,,,,
Wyoming,1900,President,Converse,406,795,,,0,,0,,,,,,,,,,,,,,,,,,,,,
Wyoming,1900,President,Crook,531,692,,,0,,0,,,,,,,,,,,,,,,,,,,,,
Wyoming,1900,President,Fremont,539,919,,,0,,0,,,,,,,,,,,,,,,,,,,,,
Wyoming,1900,President,Johnson,440,466,,,0,,0,,,,,,,,,,,,,,,,,,,,,
Wyoming,1900,President,Laramie,1538,2181,,,0,,0,,,,,,,,,,,,,,,,,,,,,
