NAME	BD_NAME	BD	DD_NAME	DD
A._C._Schiffler	A. F. Maciejewski	1893-01-03	A. F. Maciejewski	September 25	 1949
A._F._Maciejewski	A. Leonard Allen	1891-01-05	A. Harry Moore	November 18	 1952
A._Harry_Moore	A. Mitchell Palmer	1872-05-04	A. Jeff McLemore	March 4	 1929
A._Jeff_McLemore	A. S. J. Carnahan	1897-01-09	A. Leonard Allen	January 5	 1969
A._Lawrence_Foster	A. Scott Sloan	1820-06-12	A. Mitchell Palmer	May 11	 1936
A._Leonard_Allen	A. Victor Donahey	1873-07-07	A. Piatt Andrew	June 3	 1936
A._Mitchell_Palmer	A. Walter Norblad	1908-09-12	A. S. J. Carnahan	March 24	 1968
A._Piatt_Andrew	A. Willis Robertson	1887-05-27	A. Scott Sloan	April 8	 1895
A._S._J._Carnahan	Aaron A. Sargent	1827-09-28	A. Victor Donahey	April 8	 1946
A._Scott_Sloan	Aaron Augustus Sargent	1827-09-28	A. Walter Norblad	September 20	 1964
A._Victor_Donahey	Aaron Burr	1756-02-06	A. Willis Robertson	November 1	 1971
A._Walter_Norblad	Aaron F. Perry	1815-01-01	Aaron A. Sargent	August 14	 1887
A._Willis_Robertson	Aaron H. Cragin	1821-02-03	Aaron Augustus Sargent	August 14	 1887
Aaron_A._Sargent	Aaron Hobart	1787-06-26	Aaron Burr	September 14	 1836
Aaron_Augustus_Sargent	Aaron Kitchell	1744-07-10	Aaron F. Perry	March 11	 1893
Aaron_Burr	Aaron Ogden	1756-12-03	Aaron Fletcher Stevens	May 10	 1887
Aaron_F._Perry	Aaron Schock	1981-05-28	Aaron H. Cragin	May 10	 1898
Aaron_Fletcher_Stevens	Aaron Shaw (representative)	1811-12-19	Aaron Hobart	September 19	 1858
Aaron_H._Cragin	Aaron Shenk Kreider	1863-06-26	Aaron Kitchell	June 25	 1820
Aaron_Hackley_Jr.	Aaron V. Brown	1795-08-15	Aaron Ogden	April 19	 1839
Aaron_Harding	Aaron Vanderpoel	1799-02-05	Aaron Shaw (representative)	January 7	 1887
Aaron_Hobart	Abbott Lawrence	1792-12-16	Aaron Shenk Kreider	May 19	 1929
Aaron_Kitchell	Abby Finkenauer	1988-12-27	Aaron T. Bliss	September 16	 1906
Aaron_L._Ford	Abe Murdock	1893-07-18	Aaron V. Brown	March 8	 1859
Aaron_Lyle	Abel Huntington	1777-02-21	Aaron Van Schaick Cochrane	September 7	 1943
Aaron_Matson	Abiel Foster	1735-08-08	Aaron Vanderpoel	July 18	 1870
Aaron_Ogden	Abigail Spanberger	1979-08-07	Aaron Ward (representative)	March 2	 1867
Aaron_Schock	Abijah Gilbert	1806-06-18	Abbott Lawrence	August 18	 1855
Aaron_Shaw_(representative)	Abner C. Harding	1807-02-10	Abe Goff	November 23	 1984
Aaron_Shenk_Kreider	Abner Lacock	1770-07-09	Abe Murdock	September 15	 1979
Aaron_T._Bliss	Abner Lewis	1801-08-17	Abel Huntington	May 18	 1858
Aaron_V._Brown	Abner Mikva	1926-01-21	Abiel Foster	February 6	 1806
Aaron_Van_Schaick_Cochrane	Abner Taylor	1829-01-19	Abijah Gilbert	November 23	 1881
Aaron_Vanderpoel	Abner W. Sibal	1921-04-11	Abner C. Harding	July 19	 1874
Aaron_Ward_(representative)	Abraham A. Ribicoff	1910-04-09	Abner Lacock	April 12	 1837
Abbott_Lawrence	Abraham Andrews Barker	1816-03-30	Abner Lewis	October 12	 1879
Abby_Finkenauer	Abraham B. Venable	1758-11-20	Abner Mikva	July 4	 2016
Abe_Goff	Abraham Baldwin	1754-11-22	Abner Taylor	April 13	 1903
Abe_Murdock	Abraham Clark	1726-02-15	Abner W. Sibal	January 27	 2000
Abel_Carter_Wilder	Abraham Dowdney	1841-10-31	Abraham A. Ribicoff	February 22	 1998
Abel_Huntington	Abraham Ellison Garrett	1830-03-06	Abraham Andrews Barker	March 18	 1898
Abiel_Foster	Abraham Herr Smith	1815-03-07	Abraham B. Venable	December 26	 1811
Abigail_Spanberger	Abraham J. Multer	1900-12-24	Abraham Baldwin	March 4	 1807
Abijah_Gilbert	Abraham Kazen	1919-01-17	Abraham Bockee	June 1	 1865
Abijah_Mann_Jr.	Abraham L. Brick	1860-05-27	Abraham Bruyn Hasbrouck	February 23	 1879
Abner_C._Harding	Abraham Lincoln	1809-02-12	Abraham Clark	September 15	 1794
Abner_Hazeltine	Abraham Lincoln Keister	1852-09-10	Abraham Dowdney	December 10	 1886
Abner_Lacock	Abraham McClellan (Tennessee politician)	1789-10-04	Abraham Ellison Garrett	February 14	 1907
Abner_Lewis	Abraham Nott	1768-02-05	Abraham Herr Smith	February 16	 1894
Abner_Mikva	Abraham Ribicoff	1910-04-09	Abraham J. Multer	November 4	 1986
Abner_Taylor	Abraham X. Parker	1831-11-14	Abraham Kazen	November 29	 1987
Abner_W._Sibal	Abram B. Olin	1808-09-21	Abraham L. Brick	April 7	 1908
Abraham_A._Ribicoff	Abram Fulkerson	1834-05-13	Abraham Lincoln	April 15	 1865
Abraham_Andrews_Barker	Abram Hewitt	1822-07-31	Abraham Lincoln Keister	May 26	 1917
Abraham_B._Venable	Abram P. Williams	1832-02-03	Abraham M. Schermerhorn	August 22	 1855
Abraham_Baldwin	Abram Wakeman	1824-05-31	Abraham McClellan (Tennessee politician)	May 3	 1866
Abraham_Bockee	Absalom Willis Robertson	1887-05-27	Abraham Nott	June 19	 1830
Abraham_Bruyn_Hasbrouck	Adam Benjamin Jr.	1935-08-06	Abraham Ribicoff	February 22	 1998
Abraham_Clark	Adam Clayton Powell Jr.	1908-11-29	Abraham Vanderveer	July 21	 1839
Abraham_Dowdney	Adam John Glossbrenner	1810-08-31	Abraham X. Parker	August 9	 1909
Abraham_Ellison_Garrett	Adam King (congressman)	1783-01-20	Abram B. Olin	July 7	 1879
Abraham_H._Schenck	Adam Kinzinger	1978-02-27	Abram Fulkerson	December 17	 1902
Abraham_Herr_Smith	Adam M. Byrd	1859-07-06	Abram Hewitt	January 18	 1903
Abraham_J._Hasbrouck	Adam Putnam	1974-07-31	Abram P. Williams	October 17	 1911
Abraham_J._Hostetler	Adam Schiff	1960-06-22	Abram Trigg	?
Abraham_J._Multer	Adam Smith (politician)	1965-06-15	Abram Wakeman	June 29	 1889
Abraham_Kazen	Adam W. Snyder	1799-10-06	Absalom Willis Robertson	November 1	 1971
Abraham_L._Brick	Addison G. Foster	1837-01-28	Adam Benjamin Jr.	September 7	 1982
Abraham_Lincoln	Adelbert Ames	1835-10-31	Adam Clayton Powell Jr.	April 4	 1972
Abraham_Lincoln_Keister	Adin B. Capron	1841-01-09	Adam Huntsman	August 23	 1849
Abraham_M._Schermerhorn	Adlai Stevenson I	1835-10-23	Adam John Glossbrenner	March 1	 1889
Abraham_McClellan_(Tennessee_politician)	Adlai Stevenson III	1930-10-10	Adam King (congressman)	May 6	 1835
Abraham_Nott	Adna R. Johnson	1860-12-14	Adam M. Byrd	June 21	 1912
Abraham_P._Grant	Adolph J. Sabath	1866-04-04	Adam Martin Wyant	January 5	 1935
Abraham_P._Stephens	Adolph Meyer	1842-10-19	Adam W. Snyder	May 14	 1842
Abraham_Rencher	Adolphus Peter Nelson	1872-03-28	Addison G. Foster	January 16	 1917
Abraham_Ribicoff	Adonijah Welch	1821-04-12	Addison S. McClure	April 17	 1903
Abraham_Robinson_McIlvaine	Adoniram J. Warner	1834-01-13	Addison T. Smith	July 5	 1956
Abraham_Vanderveer	Adrian Smith (politician)	1970-12-19	Addison White	February 4	 1909
Abraham_Watkins_Venable	Adriano Espaillat	1954-09-27	Adelbert Ames	April 13	 1933
Abraham_X._Parker	Ahiman Louis Miner	1804-09-23	Adin B. Capron	March 17	 1911
Abram_B._Olin	Aime Forand	1895-05-23	Adlai Stevenson I	June 14	 1914
Abram_Comingo	Al Franken	1951-05-21	Adna R. Johnson	June 11	 1938
Abram_Fulkerson	Al Gore	1948-03-31	Adolph J. Sabath	November 6	 1952
Abram_Hewitt	Al Green (politician)	1947-09-01	Adolph Meyer	March 8	 1908
Abram_P._Williams	Al Lawson	1948-09-23	Adolphus Peter Nelson	August 21	 1927
Abram_Trigg	Al Quie	1923-09-18	Adonijah Welch	March 14	 1889
Abram_Wakeman	Al Swift	1935-09-12	Adoniram J. Holmes	January 21	 1902
Absalom_Harris_Chappell	Al Ullman	1914-03-09	Adoniram J. Warner	August 12	 1910
Absalom_Tatom	Alan Bible	1909-11-20	Aedanus Burke	March 30	 1802
Absalom_Willis_Robertson	Alan Cranston	1914-06-19	Ahiman Louis Miner	July 19	 1886
Adam_Benjamin_Jr.	Alan Grayson	1958-03-13	Aime Forand	January 18	 1972
Adam_Boyd_(politician)	Alan J. Dixon	1927-07-07	Al McCandless	August 9	 2017
Adam_Brown_Littlepage	Alan K. Simpson	1931-09-02	Al Swift	April 20	 2018
Adam_Clayton_Powell_Jr.	Alan Lowenthal	1941-03-08	Al Ullman	October 11	 1986
Adam_Huntsman	Alan Mollohan	1943-05-14	Alan Bible	September 12	 1988
Adam_John_Glossbrenner	Alan Nunnelee	1958-10-09	Alan Cranston	December 31	 2000
Adam_King_(congressman)	Alan Steelman	1942-03-15	Alan J. Dixon	July 6	 2014
Adam_Kinzinger	Alan Wheat	1951-10-16	Alan Nunnelee	February 6	 2015
Adam_M._Byrd	Alanson B. Houghton	1863-10-10	Alanson B. Houghton	September 15	 1941
Adam_Martin_Wyant	Alanson M. Kimball	1827-03-12	Alanson M. Kimball	May 26	 1913
Adam_Putnam	Alben W. Barkley	1877-11-24	Alben W. Barkley	April 30	 1956
Adam_Schiff	Albert B. Cummins	1850-02-15	Albert B. Cummins	July 30	 1926
Adam_Seybert	Albert B. Fall	1861-11-26	Albert B. Fall	November 30	 1944
Adam_Smith_(politician)	Albert Bustamante	1935-04-08	Albert Blakeney	October 15	 1924
Adam_W._Snyder	Albert C. Greene	1792-04-15	Albert C. Greene	January 8	 1863
Adamson_Tannehill	Albert C. Thompson	1842-01-23	Albert C. Thompson	January 26	 1910
Addison_G._Foster	Albert C. Willford	1877-09-21	Albert C. Willford	March 10	 1937
Addison_H._Laflin	Albert Cole Hopkins	1837-09-15	Albert Cole Hopkins	June 9	 1911
Addison_James	Albert D. Shaw	1841-12-21	Albert Constable	September 18	 1855
Addison_S._McClure	Albert David Baumhart Jr.	1908-06-15	Albert D. Shaw	February 10	 1901
Addison_T._Smith	Albert E. Austin	1877-11-15	Albert David Baumhart Jr.	January 23	 2001
Addison_White	Albert E. Carter	1881-07-05	Albert Douglas	March 14	 1935
Adelbert_Ames	Albert Estopinal	1845-01-30	Albert E. Austin	January 26	 1942
Adin_B._Capron	Albert F. Polk	1869-10-11	Albert E. Carter	August 8	 1964
Adlai_Stevenson_I	Albert G. Brown	1813-05-31	Albert Estopinal	April 28	 1919
Adlai_Stevenson_III	Albert G. Burr	1829-11-08	Albert F. Polk	February 14	 1955
Adna_R._Johnson	Albert G. Jenkins	1830-11-10	Albert G. Brown	June 12	 1880
Adolph_J._Sabath	Albert G. Talbott	1808-04-04	Albert G. Burr	June 10	 1882
Adolph_Meyer	Albert Galiton Watkins	1818-05-05	Albert G. Jenkins	May 21	 1864
Adolphus_H._Tanner	Albert Gallatin	1761-01-29	Albert G. Porter	May 3	 1897
Adolphus_Peter_Nelson	Albert Gallatin Egbert	1828-04-13	Albert G. Riddle	May 16	 1902
Adonijah_Welch	Albert Galliton Harrison	1800-06-26	Albert G. Simms	December 29	 1964
Adoniram_J._Holmes	Albert Gallup	1796-01-30	Albert G. Talbott	September 9	 1887
Adoniram_J._Warner	Albert Gore Jr.	1948-03-31	Albert Galiton Watkins	December 5	 1895
Adrian_Smith_(politician)	Albert Gore Sr.	1948-03-31	Albert Gallatin	August 12	 1849
Adriano_Espaillat	Albert H. Bosch	1908-10-30	Albert Gallatin Egbert	March 28	 1896
Aedanus_Burke	Albert H. Tracy	1793-06-17	Albert Galliton Harrison	September 7	 1839
Ahiman_Louis_Miner	Albert J. Beveridge	1862-10-06	Albert Gallup	November 30	 1851
Aime_Forand	Albert J. Hopkins	1846-08-15	Albert Gore Sr.	December 5	 1998
Al_Franken	Albert J. Pearson	1846-05-20	Albert H. Bosch	November 21	 2005
Al_Gore	Albert L. Smith Jr.	1931-08-31	Albert H. Tracy	September 19	 1859
Al_Green_(politician)	Albert L. Vreeland	1901-07-02	Albert J. Beveridge	April 27	 1927
Al_Lawson	Albert M. Cole	1901-10-13	Albert J. Hopkins	August 23	 1922
Al_McCandless	Albert P. Forsythe	1830-05-24	Albert J. Pearson	May 15	 1905
Al_Quie	Albert P. Morano	1908-01-18	Albert Johnson (congressman)	January 17	 1957
Al_Swift	Albert R. Howe	1840-01-01	Albert L. Smith Jr.	August 12	 1997
Al_Ullman	Albert Rains	1902-03-11	Albert L. Vreeland	May 3	 1975
Alan_Bible	Albert S. Berry	1836-05-13	Albert M. Cole	June 5	 1994
Alan_Cranston	Albert S. Burleson	1863-06-07	Albert P. Forsythe	September 2	 1906
Alan_Grayson	Albert S. White	1803-10-24	Albert P. Morano	December 16	 1987
Alan_J._Dixon	Albert S. Willis	1843-01-22	Albert R. Anderson	November 17	 1898
Alan_K._Simpson	Albert Smith (New York politician)	1805-06-22	Albert R. Howe	June 1	 1884
