County,Town,1876PVI,1880PVI,1884PVI,1888PVI,1892PVI,1896PVI,1900PVI,1904PVI,1908PVI,1912PVI,1916PVI,1920PVI,1924PVI,1928PVI,1932PVI,1936PVI,1940PVI,1944PVI,1948PVI,1952PVI,1956PVI,1960PVI,1964PVI,1968PVI,1972PVI,1976PVI,1980PVI,1984PVI,1988PVI,1992PVI,1996PVI,2000PVI,2004PVI,2008PVI,2012PVI,2016PVI
*Alabama,,,,,,,,,,,,D+25.54,D+26.15,D+32.56,D+24.51,D+18.39,D+25.59,D+27.61,D+29.27,D+28.15,D+24.32,D+18.48,D+11.91,R+11.83,R+11.58,R+02.25,R+03.26,D+05.13,D+01.27,R+03.97,R+06.56,R+07.87,R+08.17,R+09.76,R+13.12,R+13.85,R+14.30
Autauga,,,,,,,,,,,,D+33.10,D+41.13,D+47.36,D+32.32,D+23.29,D+31.86,D+35.80,D+38.45,D+38.30,D+30.04,D+18.20,D+09.37,R+21.86,R+12.42,D+03.51,R+07.84,R+02.24,R+08.11,R+13.15,R+16.02,R+19.03,R+20.65,R+23.01,R+26.34,R+26.46,R+25.84
Baldwin,,,,,,,,,,,,D+28.21,D+29.56,D+31.52,D+18.89,D+13.87,D+21.07,D+24.09,D+23.38,D+22.58,D+15.86,D+06.12,D+04.56,R+19.28,R+23.12,R+12.89,R+16.05,R+11.81,R+15.90,R+19.02,R+20.76,R+23.13,R+24.64,R+25.39,R+27.83,R+29.90,R+30.53
Barbour,,,,,,,,,,,,D+39.48,D+48.63,D+56.07,D+41.29,D+30.44,D+36.76,D+38.38,D+42.30,D+42.64,D+35.62,D+31.76,D+24.50,R+13.18,R+03.80,D+11.16,R+03.26,D+05.83,D+05.91,D+01.19,R+02.00,D+00.32,D+01.17,R+01.78,R+04.08,R+02.40,R+02.17
Bibb,,,,,,,,,,,,D+32.27,D+39.64,D+44.33,D+27.97,D+22.86,D+30.51,D+32.32,D+33.31,D+34.27,D+32.62,D+22.09,D+14.42,R+16.80,R+11.79,D+01.77,R+02.51,D+11.93,D+04.12,R+02.43,R+03.83,R+06.15,R+09.23,R+16.30,R+23.99,R+26.19,R+27.44
Blount,,,,,,,,,,,,D+02.59,D+08.75,D+18.72,D+14.90,D+13.45,D+18.32,D+18.99,D+17.94,D+15.82,D+18.74,D+16.47,D+09.87,R+09.50,R+30.74,R+27.04,R+04.28,D+05.35,R+04.83,R+11.27,R+13.86,R+17.20,R+20.48,R+26.18,R+34.63,R+39.20,R+40.97
Bullock,,,,,,,,,,,,D+41.47,D+55.74,D+63.92,D+48.35,D+36.10,D+38.40,D+40.38,D+43.83,D+45.20,D+34.67,D+26.73,D+22.60,R+02.15,D+11.31,D+27.49,D+16.40,D+23.99,D+27.66,D+24.69,D+20.70,D+18.39,D+19.02,D+19.77,D+20.02,D+22.53,D+24.50
Butler,,,,,,,,,,,,D+34.51,D+47.71,D+55.13,D+39.79,D+30.18,D+35.92,D+38.64,D+42.68,D+41.69,D+32.89,D+21.02,D+18.67,R+10.93,R+10.06,D+03.24,R+03.38,D+07.96,D+04.54,D+01.20,D+00.43,R+00.68,R+02.54,R+05.87,R+09.24,R+08.06,R+06.84
Calhoun,,,,,,,,,,,,D+27.49,D+35.37,D+37.74,D+20.42,D+15.83,D+26.53,D+28.96,D+32.30,D+29.54,D+27.26,D+26.27,D+20.60,R+04.00,R+08.27,R+04.01,R+01.75,D+08.55,R+00.40,R+06.48,R+08.29,R+08.65,R+08.54,R+12.01,R+17.66,R+19.12,R+20.26
Chambers,,,,,,,,,,,,D+36.53,D+44.62,D+54.07,D+26.77,D+12.20,D+31.78,D+38.48,D+41.67,D+38.01,D+38.34,D+38.72,D+29.62,R+01.19,R+09.85,R+06.45,R+08.56,D+07.46,D+06.01,R+03.63,R+04.29,R+01.57,R+01.44,R+04.81,R+07.74,R+06.26,R+06.60
Cherokee,,,,,,,,,,,,D+21.68,D+18.44,D+23.33,D+11.57,D+10.42,D+23.72,D+27.40,D+29.91,D+29.05,D+34.60,D+36.14,D+30.80,D+08.46,R+01.62,R+01.66,D+06.81,D+20.15,D+11.59,D+07.03,D+06.80,D+05.74,R+00.11,R+09.70,R+22.26,R+29.76,R+33.11
Chilton,,,,,,,,,,,,D+04.77,R+09.38,R+03.23,R+05.36,R+08.86,R+02.98,D+02.02,D+04.02,D+04.07,D+02.71,R+01.13,R+09.39,R+25.71,R+30.40,R+23.06,R+09.84,R+00.08,R+08.85,R+15.16,R+15.68,R+15.00,R+16.17,R+21.98,R+29.44,R+32.61,R+33.65
Choctaw,,,,,,,,,,,,D+39.96,D+51.23,D+60.08,D+48.26,D+35.47,D+35.34,D+37.19,D+40.64,D+43.15,D+37.37,D+29.59,D+22.52,R+16.55,R+03.22,D+20.64,D+02.92,D+08.43,D+08.38,D+04.05,D+02.85,D+04.43,D+03.28,R+01.22,R+05.16,R+05.85,R+06.14
Clarke,,,,,,,,,,,,D+40.50,D+53.58,D+59.46,D+40.56,D+30.73,D+37.02,D+39.54,D+42.04,D+42.87,D+35.70,D+22.46,D+08.53,R+23.02,R+07.95,D+08.97,R+03.97,D+04.32,D+03.44,R+01.48,R+04.65,R+05.10,R+05.46,R+07.22,R+08.76,R+07.78,R+06.32
Clay,,,,,,,,,,,,D+21.21,D+13.23,D+20.28,D+09.61,D+01.54,D+11.52,D+14.74,D+15.14,D+17.69,D+19.83,D+13.46,D+05.93,R+14.30,R+27.23,R+24.91,R+08.44,D+08.06,R+02.45,R+12.86,R+13.05,R+10.02,R+11.71,R+17.25,R+23.65,R+26.30,R+28.52
Cleburne,,,,,,,,,,,,D+12.34,D+05.18,D+08.81,D+06.48,D+09.50,D+12.53,D+13.76,D+16.23,D+13.99,D+19.10,D+18.31,D+12.39,R+13.85,R+31.18,R+24.24,R+05.66,D+06.93,R+05.91,R+14.18,R+10.79,R+07.78,R+13.00,R+20.79,R+30.00,R+35.90,R+38.44
Coffee,,,,,,,,,,,,D+30.80,D+33.39,D+42.08,D+34.01,D+28.64,D+35.92,D+36.54,D+40.62,D+42.36,D+41.34,D+39.56,D+32.57,R+07.61,R+15.01,R+03.74,R+03.71,D+07.24,R+04.33,R+12.48,R+11.82,R+12.57,R+15.37,R+19.50,R+25.73,R+27.56,R+28.49
Colbert,,,,,,,,,,,,D+20.44,D+31.36,D+37.79,D+31.91,D+28.74,D+30.88,D+33.62,D+35.04,D+32.66,D+34.20,D+36.84,D+29.95,D+06.42,R+01.25,R+00.38,D+06.81,D+21.29,D+16.78,D+11.94,D+08.93,D+03.59,D+00.11,R+02.21,R+09.10,R+13.14,R+16.51
Conecuh,,,,,,,,,,,,D+36.58,D+47.89,D+53.87,D+29.38,D+19.04,D+34.70,D+38.28,D+40.66,D+40.74,D+33.83,D+23.97,D+23.45,R+09.56,R+03.08,D+11.39,R+00.88,D+09.27,D+04.68,D+02.41,D+02.38,D+03.04,D+01.94,R+01.44,R+03.68,R+02.56,R+02.45
Coosa,,,,,,,,,,,,D+17.82,D+16.99,D+23.78,D+12.11,D+11.24,D+23.41,D+24.21,D+22.72,D+21.23,D+22.00,D+17.82,D+11.36,R+13.01,R+09.17,EVEN,D+00.56,D+15.18,D+06.72,R+01.27,R+00.89,D+00.59,R+01.45,R+05.35,R+09.93,R+11.34,R+13.37
Covington,,,,,,,,,,,,D+30.50,D+38.06,D+49.92,D+35.14,D+25.74,D+36.06,D+37.46,D+39.72,D+40.33,D+36.81,D+28.71,D+24.91,R+10.01,R+22.25,R+12.37,R+08.13,D+05.16,R+05.24,R+13.56,R+12.60,R+11.50,R+14.47,R+21.18,R+29.13,R+32.18,R+33.60
Crenshaw,,,,,,,,,,,,D+35.29,D+42.67,D+50.76,D+35.89,D+25.76,D+34.52,D+37.81,D+41.29,D+42.79,D+41.23,D+37.57,D+35.59,R+03.24,R+05.97,D+07.80,D+00.84,D+10.81,D+01.76,R+04.42,R+03.82,R+02.34,R+05.64,R+13.56,R+20.24,R+21.28,R+22.00
Cullman,,,,,,,,,,,,D+08.58,D+02.71,D+11.96,D+05.60,D+04.82,D+11.30,D+08.09,D+09.92,D+12.46,D+15.51,D+14.85,D+11.64,R+04.93,R+25.46,R+24.79,R+02.06,D+11.27,D+01.29,R+07.31,R+10.14,R+13.07,R+15.63,R+21.10,R+31.25,R+36.97,R+39.00
Dale,,,,,,,,,,,,D+21.66,D+22.22,D+36.22,D+29.11,D+24.28,D+32.32,D+31.14,D+32.49,D+32.94,D+29.94,D+24.44,D+16.55,R+17.06,R+18.01,R+06.54,R+08.64,D+00.37,R+10.63,R+17.95,R+16.86,R+16.65,R+18.51,R+21.31,R+25.09,R+24.70,R+25.06
Dallas,,,,,,,,,,,,D+40.74,D+53.99,D+61.89,D+47.25,D+34.83,D+36.95,D+38.11,D+40.76,D+42.16,D+21.70,D+02.94,R+01.17,R+29.14,R+08.05,D+17.36,D+02.35,D+07.87,D+11.95,D+11.14,D+08.12,D+06.56,D+08.11,D+10.59,D+12.61,D+15.78,D+17.88
DeKalb,,,,,,,,,,,,D+08.87,D+08.39,D+10.14,D+05.69,R+02.48,R+04.97,D+02.72,D+09.79,D+06.43,D+08.12,D+10.08,D+04.59,R+08.99,R+24.64,R+19.99,R+00.55,D+05.81,R+00.24,R+05.30,R+08.32,R+12.14,R+14.77,R+17.00,R+24.47,R+29.73,R+33.19
Elmore,,,,,,,,,,,,D+38.72,D+47.77,D+47.83,D+24.89,D+18.70,D+34.62,D+37.44,D+41.19,D+40.87,D+36.35,D+28.40,D+19.65,R+15.50,R+13.08,R+00.50,R+10.32,R+02.37,R+09.23,R+15.60,R+17.42,R+19.63,R+21.54,R+23.98,R+27.71,R+27.93,R+27.12
Escambia,,,,,,,,,,,,D+34.10,D+45.71,D+53.55,D+25.48,D+15.25,D+33.68,D+37.00,D+37.59,D+36.23,D+33.53,D+28.23,D+22.84,R+08.55,R+08.36,R+01.13,R+08.86,D+01.56,R+05.33,R+09.55,R+08.87,R+08.18,R+09.26,R+14.38,R+17.95,R+16.44,R+17.28
Etowah,,,,,,,,,,,,D+16.81,D+22.80,D+29.40,D+14.85,D+11.47,D+21.78,D+24.91,D+27.68,D+25.91,D+25.97,D+23.39,D+18.87,R+01.82,R+09.27,R+05.11,D+03.82,D+15.64,D+10.25,D+06.38,D+02.21,R+01.25,R+04.06,R+08.78,R+17.82,R+22.26,R+24.09
Fayette,,,,,,,,,,,,D+03.64,D+07.45,D+15.18,D+11.16,D+06.55,D+13.55,D+15.94,D+14.76,D+11.02,D+13.80,D+12.00,D+05.98,R+14.29,R+18.65,R+13.18,R+03.74,D+10.06,D+00.13,R+04.68,R+02.85,R+02.61,R+06.75,R+14.32,R+23.41,R+28.63,R+31.58
Franklin,,,,,,,,,,,,D+04.40,D+02.70,D+34.84,D+33.30,D+04.18,D+02.71,D+04.23,D+07.27,D+04.52,D+08.85,D+10.84,D+01.51,R+11.08,R+24.23,R+22.54,R+00.09,D+13.74,D+09.45,D+04.30,D+02.46,D+00.13,R+04.02,R+09.06,R+17.67,R+23.00,R+27.35
Geneva,,,,,,,,,,,,D+18.98,D+16.98,D+29.13,D+22.31,D+19.65,D+29.42,D+30.05,D+31.34,D+32.09,D+31.76,D+28.93,D+22.67,R+12.58,R+17.22,R+07.69,R+02.43,D+11.62,R+04.39,R+13.98,R+12.38,R+12.61,R+17.62,R+24.62,R+31.89,R+34.50,R+35.82
Greene,,,,,,,,,,,,D+31.68,D+54.03,D+63.00,D+58.35,D+46.11,D+37.39,D+36.17,D+38.53,D+41.44,D+29.69,D+21.68,D+21.13,R+05.81,D+07.96,D+37.23,D+28.37,D+28.79,D+32.26,D+30.96,D+29.54,D+28.08,D+28.53,D+30.58,D+30.34,D+31.34,D+32.27
