Year,County,County %
1892,San Francisco,21.67
1892,Los Angeles,8.45
1892,Alameda,6.85
1892,Santa Clara,3.85
1892,Sacramento,3.31
1892,Fresno,3.02
1892,San Diego,2.86
1892,San Bernardino,2.81
1892,San Joaquin,2.61
1892,Sonoma,2.58
1892,Tulare,2.3
1892,Humboldt,2.01
1892,Solano,1.81
1892,Butte,1.73
1892,Santa Cruz,1.53
1892,Monterey,1.52
1892,Nevada,1.52
1892,Mendocino,1.51
1892,San Luis Obispo,1.39
1892,Santa Barbara,1.31
1892,Placer,1.31
1892,Napa,1.29
1892,Yolo,1.25
1892,Siskiyou,1.2
1892,Contra Costa,1.17
1892,Orange,1.08
1892,Shasta,1.07
1892,Ventura,1.02
1892,Calaveras,1.01
1892,El Dorado,0.98
1892,Amador,0.97
1892,Stanislaus,0.95
1892,Kern,0.93
1892,Yuba,0.88
1892,Tehama,0.83
1892,Marin,0.82
1892,San Mateo,0.8
1892,Colusa,0.77
1892,Merced,0.73
1892,Tuolumne,0.68
1892,San Benito,0.62
1892,Sutter,0.58
1892,Glenn,0.58
1892,Lake,0.53
1892,Sierra,0.51
1892,Plumas,0.46
1892,Modoc,0.42
1892,Lassen,0.42
1892,Mariposa,0.38
1892,Trinity,0.36
1892,Inyo,0.3
1892,Del Norte,0.24
1892,Mono,0.2
1892,Alpine,0.03
1896,San Francisco,21.14
1896,Los Angeles,11.41
1896,Alameda,7.45
1896,Santa Clara,3.95
1896,Sacramento,3.23
1896,Sonoma,2.62
1896,San Diego,2.6
1896,San Joaquin,2.4
1896,Fresno,2.24
1896,San Bernardino,1.95
1896,Humboldt,1.9
1896,Solano,1.7
1896,Nevada,1.49
1896,Butte,1.44
1896,Mendocino,1.43
1896,Tulare,1.4
1896,Monterey,1.37
1896,Santa Cruz,1.37
1896,Santa Barbara,1.36
1896,Riverside,1.3
1896,San Luis Obispo,1.28
1896,Orange,1.27
1896,Placer,1.23
1896,Napa,1.19
1896,Yolo,1.11
1896,Siskiyou,1.1
1896,Contra Costa,1.1
1896,Kern,1.09
1896,Shasta,1.08
1896,Ventura,1.03
1896,Calaveras,1.03
1896,El Dorado,0.96
1896,San Mateo,0.88
1896,Amador,0.86
1896,Stanislaus,0.82
1896,Marin,0.79
1896,Yuba,0.75
1896,Tuolumne,0.73
1896,Tehama,0.72
1896,Colusa,0.63
1896,Merced,0.61
1896,San Benito,0.57
1896,Kings,0.52
1896,Sutter,0.51
1896,Mariposa,0.48
1896,Lake,0.48
1896,Glenn,0.44
1896,Sierra,0.42
1896,Plumas,0.42
1896,Madera,0.41
1896,Trinity,0.36
1896,Lassen,0.32
1896,Modoc,0.3
1896,Inyo,0.28
1896,Del Norte,0.23
1896,Mono,0.2
1896,Alpine,0.03
1900,San Francisco,20.86
1900,Los Angeles,11.5
1900,Alameda,7.31
1900,Santa Clara,4.03
1900,Sacramento,3.32
1900,Sonoma,2.68
1900,Fresno,2.5
1900,San Diego,2.28
1900,San Joaquin,2.11
1900,San Bernardino,1.98
1900,Humboldt,1.94
1900,Solano,1.86
1900,Butte,1.46
1900,Nevada,1.45
1900,Tulare,1.4
1900,Orange,1.39
1900,Mendocino,1.36
1900,Santa Cruz,1.35
1900,Monterey,1.29
1900,Riverside,1.26
1900,Santa Barbara,1.25
1900,Contra Costa,1.25
1900,Kern,1.24
1900,Shasta,1.24
1900,Placer,1.21
1900,Siskiyou,1.2
1900,Napa,1.17
1900,San Luis Obispo,1.13
1900,Yolo,1.09
1900,Ventura,1.05
1900,Calaveras,0.97
1900,Tuolumne,0.96
1900,Marin,0.87
1900,Amador,0.87
1900,El Dorado,0.87
1900,San Mateo,0.86
1900,Stanislaus,0.8
1900,Tehama,0.79
1900,Yuba,0.72
1900,Kings,0.66
1900,Merced,0.64
1900,Colusa,0.59
1900,Madera,0.51
1900,San Benito,0.51
1900,Sutter,0.49
1900,Lake,0.46
1900,Glenn,0.41
1900,Mariposa,0.41
1900,Sierra,0.38
1900,Plumas,0.36
1900,Trinity,0.34
1900,Modoc,0.33
1900,Lassen,0.31
1900,Inyo,0.31
1900,Del Norte,0.21
1900,Mono,0.18
1900,Alpine,0.03
1904,San Francisco,19.73
1904,Los Angeles,14.74
1904,Alameda,8.18
1904,Santa Clara,3.78
1904,Sacramento,3.08
1904,Fresno,2.67
1904,Sonoma,2.58
1904,San Joaquin,2.2
1904,San Diego,2.18
1904,Humboldt,2.03
1904,San Bernardino,2.01
1904,Solano,1.56
1904,Butte,1.43
1904,Mendocino,1.42
1904,Kern,1.38
1904,Tulare,1.38
1904,Contra Costa,1.37
1904,Orange,1.35
1904,Santa Cruz,1.31
1904,Santa Barbara,1.28
1904,Monterey,1.25
1904,Riverside,1.22
1904,Napa,1.16
1904,Nevada,1.16
1904,San Luis Obispo,1.11
1904,Siskiyou,1.06
1904,Shasta,1.04
1904,Placer,0.99
1904,Yolo,0.99
1904,San Mateo,0.95
1904,Marin,0.94
1904,Ventura,0.94
1904,Stanislaus,0.83
1904,Calaveras,0.81
1904,Tuolumne,0.79
1904,Amador,0.71
1904,El Dorado,0.7
1904,Tehama,0.66
1904,Merced,0.6
1904,Yuba,0.59
1904,Colusa,0.57
1904,Kings,0.57
1904,San Benito,0.49
1904,Glenn,0.46
1904,Madera,0.46
1904,Lake,0.43
1904,Sutter,0.43
1904,Sierra,0.37
1904,Plumas,0.33
1904,Mariposa,0.32
1904,Modoc,0.31
1904,Lassen,0.28
1904,Trinity,0.26
1904,Inyo,0.24
1904,Del Norte,0.22
1904,Mono,0.12
1904,Alpine,0.03
1908,Los Angeles,18.9
1908,San Francisco,15.55
1908,Alameda,8.61
1908,Santa Clara,3.49
1908,Fresno,3.24
1908,Sacramento,3.06
1908,Sonoma,2.44
1908,San Diego,2.43
1908,San Bernardino,2.31
1908,San Joaquin,2.21
1908,Humboldt,1.68
1908,Orange,1.56
1908,Butte,1.52
1908,Tulare,1.48
1908,Solano,1.47
1908,Riverside,1.46
1908,Contra Costa,1.42
1908,Santa Cruz,1.36
1908,Kern,1.29
1908,Mendocino,1.28
1908,Santa Barbara,1.27
1908,Monterey,1.2
1908,San Mateo,1.18
1908,Napa,1.05
1908,Marin,1.04
1908,Shasta,1.03
1908,San Luis Obispo,1.02
1908,Siskiyou,0.99
1908,Placer,0.94
1908,Nevada,0.93
1908,Stanislaus,0.93
1908,Yolo,0.9
1908,Ventura,0.85
1908,Merced,0.64
1908,Calaveras,0.62
1908,Yuba,0.59
1908,Kings,0.58
1908,Tehama,0.58
1908,El Dorado,0.57
1908,Tuolumne,0.55
1908,Amador,0.52
1908,Imperial,0.49
1908,Colusa,0.49
1908,San Benito,0.45
1908,Sutter,0.42
1908,Lake,0.38
1908,Inyo,0.37
1908,Glenn,0.36
1908,Madera,0.34
1908,Modoc,0.32
1908,Plumas,0.29
1908,Sierra,0.28
1908,Lassen,0.26
1908,Mariposa,0.25
1908,Trinity,0.23
1908,Del Norte,0.2
1908,Mono,0.1
1908,Alpine,0.02
1912,Los Angeles,24.38
1912,San Francisco,14.92
1912,Alameda,9.8
1912,Santa Clara,3.41
1912,San Diego,3.2
1912,Fresno,3.05
1912,Sacramento,2.83
1912,San Bernardino,2.26
1912,Sonoma,2.09
1912,San Joaquin,2.03
1912,Orange,1.68
1912,Kern,1.59
1912,Tulare,1.5
1912,Riverside,1.49
1912,Butte,1.3
1912,Humboldt,1.26
1912,Contra Costa,1.23
1912,Solano,1.18
1912,Stanislaus,1.17
1912,Monterey,1.08
1912,Santa Barbara,1.07
1912,Santa Cruz,1.05
1912,San Mateo,1.03
1912,Marin,0.94
1912,Napa,0.84
1912,Mendocino,0.83
1912,San Luis Obispo,0.82
1912,Siskiyou,0.73
1912,Ventura,0.71
1912,Shasta,0.69
1912,Placer,0.64
1912,Merced,0.62
1912,Nevada,0.59
1912,Yolo,0.59
1912,Kings,0.58
1912,Tehama,0.5
1912,Imperial,0.5
1912,Calaveras,0.46
1912,Colusa,0.41
1912,El Dorado,0.4
1912,Tuolumne,0.39
1912,Yuba,0.39
1912,San Benito,0.38
1912,Amador,0.37
1912,Madera,0.36
1912,Glenn,0.36
1912,Lake,0.32
1912,Sutter,0.3
1912,Plumas,0.26
1912,Modoc,0.25
1912,Inyo,0.24
1912,Lassen,0.21
1912,Sierra,0.17
1912,Mariposa,0.17
1912,Trinity,0.15
1912,Del Norte,0.12
1912,Mono,0.05
1912,Alpine,0.01
1916,Los Angeles,26.8
1916,San Francisco,14.92
1916,Alameda,10.22
1916,San Diego,3.66
1916,Santa Clara,3.27
1916,Fresno,2.85
1916,Sacramento,2.66
1916,San Bernardino,2.36
1916,San Joaquin,2.07
1916,Sonoma,1.93
1916,Orange,1.88
1916,Kern,1.6
1916,Tulare,1.56
1916,Riverside,1.36
1916,Contra Costa,1.3
1916,Stanislaus,1.17
1916,Humboldt,1.13
1916,Santa Barbara,1.05
1916,San Mateo,1.04
1916,Solano,0.97
1916,Butte,0.97
1916,Santa Cruz,0.94
1916,Marin,0.87
1916,Monterey,0.8
1916,Napa,0.75
1916,Mendocino,0.75
1916,Ventura,0.72
1916,San Luis Obispo,0.71
1916,Imperial,0.67
1916,Siskiyou,0.6
1916,Placer,0.58
1916,Kings,0.56
1916,Yolo,0.55
1916,Shasta,0.54
1916,Merced,0.52
1916,Tehama,0.48
1916,Nevada,0.45
1916,Yuba,0.36
1916,Madera,0.35
1916,San Benito,0.33
1916,Glenn,0.33
1916,Colusa,0.32
1916,Amador,0.31
1916,El Dorado,0.3
1916,Sutter,0.29
1916,Tuolumne,0.29
1916,Calaveras,0.29
1916,Lassen,0.24
1916,Lake,0.22
1916,Modoc,0.21
1916,Inyo,0.2
1916,Plumas,0.18
1916,Mariposa,0.14
1916,Trinity,0.12
1916,Del Norte,0.11
1916,Sierra,0.1
1916,Mono,0.03
1916,Alpine,0.01
1920,Los Angeles,27.22
1920,San Francisco,15.57
1920,Alameda,11.18
1920,San Diego,3.28
1920,Santa Clara,3.04
1920,Fresno,2.79
1920,Sacramento,2.55
1920,San Bernardino,2.1
1920,San Joaquin,2.08
1920,Orange,1.89
1920,Sonoma,1.64
1920,Tulare,1.57
1920,Kern,1.52
1920,Contra Costa,1.5
1920,Riverside,1.38
1920,Stanislaus,1.21
1920,Solano,1.16
1920,Santa Barbara,1.09
1920,San Mateo,1.08
1920,Humboldt,0.99
1920,Butte,0.87
1920,Santa Cruz,0.86
1920,Marin,0.83
1920,Imperial,0.77
1920,Monterey,0.75
1920,Ventura,0.73
1920,San Luis Obispo,0.71
1920,Mendocino,0.71
1920,Napa,0.66
1920,Merced,0.58
1920,Yolo,0.58
1920,Placer,0.51
1920,Siskiyou,0.51
1920,Kings,0.5
1920,Tehama,0.42
1920,Shasta,0.36
1920,Madera,0.34
1920,Nevada,0.33
1920,Glenn,0.32
1920,San Benito,0.32
1920,Yuba,0.3
1920,Colusa,0.28
1920,Sutter,0.28
1920,El Dorado,0.27
1920,Lassen,0.25
1920,Inyo,0.24
1920,Calaveras,0.24
1920,Tuolumne,0.23
1920,Amador,0.22
1920,Del Norte,0.2
1920,Lake,0.19
1920,Mono,0.17
1920,Modoc,0.17
1920,Plumas,0.16
1920,Trinity,0.1
1920,Mariposa,0.09
1920,Sierra,0.08
1920,Alpine,0.01
1924,Los Angeles,35.68
1924,San Francisco,12.01
1924,Alameda,10.33
1924,San Diego,3.62
1924,Fresno,2.77
1924,Santa Clara,2.7
1924,Sacramento,2.54
1924,Orange,2.31
1924,San Bernardino,2.19
1924,San Joaquin,1.76
1924,Kern,1.46
1924,Tulare,1.46
1924,Sonoma,1.33
1924,Contra Costa,1.29
1924,Riverside,1.21
1924,San Mateo,1.15
1924,Stanislaus,1.04
1924,Santa Barbara,1.04
1924,Humboldt,0.93
1924,Marin,0.84
1924,Butte,0.81
1924,Solano,0.78
1924,Santa Cruz,0.69
1924,Ventura,0.68
1924,San Luis Obispo,0.61
1924,Monterey,0.61
1924,Imperial,0.54
1924,Merced,0.53
1924,Napa,0.51
1924,Mendocino,0.48
1924,Placer,0.47
1924,Siskiyou,0.47
1924,Kings,0.44
1924,Yolo,0.42
1924,Shasta,0.36
1924,Tehama,0.33
1924,Yuba,0.3
1924,Nevada,0.28
1924,Madera,0.28
1924,Glenn,0.25
1924,Sutter,0.25
1924,Tuolumne,0.23
1924,El Dorado,0.23
1924,San Benito,0.21
1924,Lassen,0.21
1924,Colusa,0.2
1924,Calaveras,0.17
1924,Inyo,0.16
1924,Amador,0.15
1924,Lake,0.14
1924,Plumas,0.13
1924,Modoc,0.13
1924,Del Norte,0.08
1924,Trinity,0.07
1924,Mariposa,0.07
1924,Sierra,0.06
1924,Mono,0.03
1924,Alpine,0.0
1928,Los Angeles,40.7
1928,San Francisco,10.88
1928,Alameda,10.08
1928,San Diego,3.96
1928,Santa Clara,2.77
1928,Sacramento,2.27
1928,San Bernardino,2.18
1928,Orange,2.14
1928,Fresno,2.12
1928,San Joaquin,1.52
1928,San Mateo,1.36
1928,Kern,1.3
1928,Riverside,1.26
1928,Contra Costa,1.24
1928,Sonoma,1.2
1928,Tulare,1.05
1928,Santa Barbara,0.93
1928,Stanislaus,0.89
1928,Marin,0.76
1928,Solano,0.75
1928,Humboldt,0.73
1928,Ventura,0.72
1928,Santa Cruz,0.67
1928,Monterey,0.64
1928,Butte,0.58
1928,San Luis Obispo,0.5
1928,Napa,0.45
1928,Imperial,0.45
1928,Merced,0.43
1928,Mendocino,0.42
1928,Placer,0.41
1928,Siskiyou,0.38
1928,Yolo,0.35
1928,Kings,0.32
1928,Tehama,0.29
1928,Shasta,0.25
1928,Madera,0.24
1928,Nevada,0.23
1928,Sutter,0.23
1928,Yuba,0.22
1928,Glenn,0.21
1928,Lassen,0.21
1928,San Benito,0.19
1928,Tuolumne,0.18
1928,Colusa,0.17
1928,El Dorado,0.15
1928,Lake,0.15
1928,Calaveras,0.13
1928,Plumas,0.12
1928,Inyo,0.12
1928,Amador,0.12
1928,Modoc,0.09
1928,Del Norte,0.08
1928,Mariposa,0.07
1928,Trinity,0.05
1928,Sierra,0.05
1928,Mono,0.02
1928,Alpine,0.0
1932,Los Angeles,42.75
1932,San Francisco,9.84
1932,Alameda,9.01
1932,San Diego,3.75
1932,Santa Clara,2.54
1932,Sacramento,2.31
1932,San Bernardino,2.18
1932,Orange,2.17
1932,Fresno,2.05
1932,San Joaquin,1.53
1932,San Mateo,1.49
1932,Contra Costa,1.29
1932,Riverside,1.24
1932,Kern,1.23
1932,Sonoma,1.13
1932,Tulare,1.1
1932,Santa Barbara,1.03
1932,Stanislaus,0.93
1932,Ventura,0.82
1932,Marin,0.75
1932,Humboldt,0.71
1932,Monterey,0.69
1932,Santa Cruz,0.66
1932,Butte,0.65
1932,Solano,0.64
1932,Imperial,0.57
1932,San Luis Obispo,0.53
1932,Merced,0.47
1932,Napa,0.42
1932,Mendocino,0.42
1932,Siskiyou,0.4
1932,Placer,0.38
1932,Yolo,0.38
1932,Kings,0.33
1932,Tehama,0.26
1932,Nevada,0.25
1932,Shasta,0.25
1932,Sutter,0.24
1932,Madera,0.22
1932,Yuba,0.2
1932,Glenn,0.2
1932,Lassen,0.19
1932,El Dorado,0.18
1932,Colusa,0.18
1932,San Benito,0.17
1932,Tuolumne,0.17
1932,Lake,0.17
1932,Amador,0.14
1932,Plumas,0.12
1932,Calaveras,0.11
1932,Modoc,0.11
1932,Inyo,0.1
1932,Del Norte,0.09
1932,Mariposa,0.09
1932,Trinity,0.07
1932,Sierra,0.05
1932,Mono,0.03
1932,Alpine,0.0
1936,Los Angeles,42.84
1936,San Francisco,10.04
1936,Alameda,8.89
1936,San Diego,3.86
1936,Santa Clara,2.49
1936,Sacramento,2.28
1936,San Bernardino,2.16
1936,Fresno,2.09
1936,Orange,2.06
1936,San Mateo,1.56
1936,San Joaquin,1.51
1936,Contra Costa,1.36
1936,Kern,1.31
1936,Riverside,1.29
1936,Sonoma,1.09
1936,Tulare,1.06
1936,Santa Barbara,0.99
1936,Stanislaus,0.92
1936,Ventura,0.8
1936,Monterey,0.76
1936,Humboldt,0.72
1936,Marin,0.7
1936,Santa Cruz,0.68
1936,Solano,0.65
1936,Butte,0.6
1936,San Luis Obispo,0.49
1936,Merced,0.48
1936,Imperial,0.47
1936,Napa,0.39
1936,Mendocino,0.39
1936,Placer,0.39
1936,Siskiyou,0.38
1936,Kings,0.36
1936,Yolo,0.33
1936,Shasta,0.28
1936,Nevada,0.27
1936,Madera,0.23
1936,Tehama,0.23
1936,Sutter,0.22
1936,Yuba,0.21
1936,El Dorado,0.2
1936,Lassen,0.2
1936,Glenn,0.19
1936,Tuolumne,0.17
1936,Colusa,0.16
1936,San Benito,0.16
1936,Lake,0.14
1936,Calaveras,0.13
1936,Plumas,0.13
1936,Amador,0.13
1936,Modoc,0.11
1936,Mariposa,0.1
1936,Inyo,0.09
1936,Del Norte,0.08
1936,Trinity,0.08
1936,Sierra,0.06
1936,Mono,0.03
1936,Alpine,0.01
1940,Los Angeles,43.3
1940,San Francisco,9.54
1940,Alameda,8.21
1940,San Diego,3.92
1940,Santa Clara,2.49
1940,Sacramento,2.31
1940,Fresno,2.16
1940,San Bernardino,2.11
1940,Orange,1.99
1940,San Mateo,1.74
1940,Kern,1.59
1940,San Joaquin,1.54
1940,Contra Costa,1.53
1940,Riverside,1.3
1940,Tulare,1.1
1940,Sonoma,0.99
1940,Santa Barbara,0.97
1940,Stanislaus,0.97
1940,Monterey,0.82
1940,Ventura,0.81
1940,Santa Cruz,0.69
1940,Marin,0.69
1940,Humboldt,0.67
1940,Solano,0.65
1940,Butte,0.56
1940,Merced,0.51
1940,San Luis Obispo,0.49
1940,Imperial,0.45
1940,Napa,0.39
1940,Shasta,0.39
1940,Mendocino,0.38
1940,Placer,0.38
1940,Kings,0.38
1940,Siskiyou,0.37
1940,Yolo,0.33
1940,Nevada,0.27
1940,Madera,0.26
1940,Sutter,0.22
1940,Yuba,0.22
1940,Tehama,0.2
1940,El Dorado,0.19
1940,Lassen,0.19
1940,Glenn,0.17
1940,Tuolumne,0.17
1940,San Benito,0.15
1940,Plumas,0.15
1940,Colusa,0.14
1940,Amador,0.13
1940,Lake,0.13
1940,Calaveras,0.12
1940,Modoc,0.11
1940,Inyo,0.1
1940,Mariposa,0.09
1940,Del Norte,0.07
1940,Trinity,0.07
1940,Sierra,0.05
1940,Mono,0.03
1940,Alpine,0.01
1944,Los Angeles,44.34
