Autauga	27,770	19,838	7,503	 429
Baldwin	109,679	83,544	24,578	 1,557
Barbour	10,518	5,622	4,816	 80
Bibb	9,595	7,525	1,986	 84
Blount	27,588	24,711	2,640	 237
Bullock	4,613	1,146	3,446	 21
Butler	9,488	5,458	3,965	 65
Calhoun	50,983	35,101	15,216	 666
Chambers	15,284	8,753	6,365	 166
Cherokee	12,301	10,583	1,624	 94
Chilton	19,310	16,085	3,073	 152
Choctaw	7,464	4,296	3,127	 41
Clarke	13,135	7,324	5,755	 56
Clay	6,930	5,601	1,267	 62
Cleburne	7,227	6,484	675	 68
Coffee	22,275	16,899	5,076	 300
Colbert	27,886	19,203	8,343	 340
Conecuh	6,441	3,442	2,966	 33
Coosa	5,479	3,631	1,796	 52
Covington	17,430	14,586	2,721	 123
Crenshaw	6,617	4,864	1,700	 53
Cullman	41,851	36,880	4,478	 493
Dale	19,738	14,303	5,170	 265
Dallas	17,864	5,524	12,230	 110
DeKalb	29,356	24,767	4,281	 308
Elmore	41,030	30,164	10,367	 499
Escambia	15,910	10,869	4,918	 123
Etowah	47,728	35,528	11,567	 633
Fayette	8,766	7,300	1,395	 71
Franklin	12,578	10,376	2,086	 116
Geneva	12,545	10,848	1,595	 102
Greene	4,775	875	3,884	 16
Hale	7,900	3,192	4,663	 45
Henry	9,298	6,607	2,606	 85
Houston	46,173	32,618	12,917	 638
Jackson	23,636	19,670	3,717	 249
Jefferson	325,848	138,843	181,688	 5,317
Lamar	7,193	6,174	978	 41
Lauderdale	44,339	31,721	11,915	 703
Lawrence	16,031	12,322	3,562	 147
Lee	71,449	42,221	27,860	 1,368
Limestone	49,235	34,640	13,672	 923
Lowndes	6,835	1,836	4,972	 27
Macon	8,723	1,541	7,108	 74
Madison	194,767	102,780	87,286	 4,701
Marengo	10,900	5,343	5,488	 69
Marion	13,807	12,205	1,463	 139
Marshall	39,655	33,191	5,943	 521
Mobile	183,164	101,243	79,474	 2,447
Monroe	10,668	6,147	4,455	 66
Montgomery	99,139	33,311	64,529	 1,299
Morgan	53,722	39,664	13,234	 824
Perry	5,230	1,339	3,860	 31
Pickens	9,668	5,594	4,022	 52
Pike	13,841	8,042	5,636	 163
Randolph	10,837	8,559	2,203	 75
Russell	21,329	9,864	11,228	 237
St. Clair	44,441	36,166	7,744	 531
Shelby	114,950	79,700	33,268	 1,982
Sumter	6,291	1,598	4,648	 45
Talladega	35,663	22,235	13,138	 290
Tallapoosa	20,991	14,963	5,859	 169
Tuscaloosa	90,172	51,117	37,765	 1,290
Walker	31,170	26,002	4,834	 334
Washington	8,876	6,564	2,258	 54
Wilcox	5,903	1,833	4,048	 22
Winston	11,284	10,195	974	 115
