Arkansas	6,292	4,304	1,818	 170
Ashley	7,926	5,548	2,125	 253
Baxter	21,007	15,836	4,635	 536
Benton	119,912	73,965	42,249	 3,698
Boone	17,114	13,652	3,064	 398
Bradley	3,654	2,335	1,214	 105
Calhoun	2,182	1,636	479	 67
Carroll	11,797	7,424	4,023	 350
Chicot	4,103	1,752	2,260	 91
Clark	8,395	4,616	3,438	 341
Clay	5,183	4,086	962	 135
Cleburne	12,680	10,328	1,988	 364
Cleveland	3,600	2,867	651	 82
Columbia	8,616	5,500	2,814	 302
Conway	8,685	5,694	2,615	 376
Craighead	38,511	25,558	11,921	 1,032
Crawford	24,091	18,607	4,959	 525
Crittenden	16,367	7,333	8,514	 520
Cross	6,942	4,946	1,772	 224
Dallas	2,649	1,573	963	 113
Desha	4,164	1,921	2,016	 227
Drew	6,908	4,349	2,426	 133
Faulkner	54,428	34,421	18,347	 1,660
Franklin	7,129	5,677	1,300	 152
Fulton	5,119	3,961	1,035	 123
Garland	44,199	29,069	14,045	 1,085
Grant	8,200	6,794	1,268	 138
Greene	16,100	12,670	3,058	 372
Hempstead	6,848	4,470	2,138	 240
Hot Spring	12,557	9,202	3,082	 273
Howard	4,834	3,367	1,340	 127
Independence	14,512	11,250	2,806	 456
Izard	5,810	4,631	1,021	 158
Jackson	5,091	3,593	1,365	 133
Jefferson	25,158	9,521	14,981	 656
Johnson	9,498	6,938	2,283	 277
Lafayette	2,679	1,757	839	 83
Lawrence	5,857	4,569	1,080	 208
Lee	2,848	1,286	1,423	 139
Lincoln	3,875	2,729	1,032	 114
Little River	5,177	3,715	1,226	 236
Logan	8,225	6,441	1,544	 240
Lonoke	30,662	22,884	6,686	 1,092
Madison	7,351	5,658	1,563	 130
Marion	7,503	5,783	1,531	 189
Miller	16,529	11,920	4,245	 364
Mississippi	12,342	7,296	4,558	 488
Monroe	2,816	1,545	1,147	 124
Montgomery	3,873	3,046	731	 96
Nevada	3,358	2,133	1,076	 149
Newton	3,998	3,192	709	 97
Ouachita	9,629	5,294	3,995	 340
Perry	4,627	3,479	1,012	 136
Phillips	6,242	2,417	3,623	 202
Pike	4,246	3,519	644	 83
Poinsett	7,521	5,918	1,424	 179
Polk	8,490	7,035	1,246	 209
Pope	24,432	18,081	5,772	 579
Prairie	3,495	2,786	654	 55
Pulaski	169,956	63,687	101,947	 4,322
Randolph	6,812	5,355	1,215	 242
St. Francis	7,108	3,242	3,604	 262
Saline	56,959	39,556	16,060	 1,343
Scott	3,551	2,962	483	 106
Searcy	4,019	3,365	588	 66
Sebastian	47,140	31,198	14,487	 1,455
Sevier	5,202	3,884	1,116	 202
Sharp	7,566	5,938	1,398	 230
Stone	5,938	4,616	1,180	 142
Union	16,607	10,478	5,584	 545
Van Buren	7,807	6,034	1,593	 180
Washington	94,266	47,504	43,824	 2,938
White	30,885	24,182	5,978	 725
Woodruff	2,476	1,543	856	 77
Yell	6,741	5,226	1,284	 231
