Apache	35,268	23,293	11,442	 533
Cochise	60,665	23,732	35,557	 1,376
Coconino	73,632	44,698	27,052	 1,882
Gila	27,735	8,943	18,377	 415
Graham	15,029	4,034	10,749	 246
Greenlee	3,696	1,182	2,433	 81
La Paz	7,472	2,236	5,129	 107
Maricopa	2,076,086	1,040,774	995,665	 39,647
Mohave	104,883	24,831	78,535	 1,517
Navajo	51,930	23,383	27,657	 890
Pima	522,174	304,981	207,758	 9,435
Pinal	185,525	75,106	107,077	 3,342
Santa Cruz	19,581	13,138	6,194	 249
Yavapai	143,640	49,602	91,527	 2,511
Yuma	70,072	32,210	36,534	 1,328
