Alameda	773,753	617,659	136,309	 19,785
Alpine	741	476	244	 21
Amador	22,397	8,153	13,585	 659
Butte	102,565	50,815	48,819	 2,931
Calaveras	27,272	10,046	16,518	 708
Colusa	7,961	3,239	4,559	 163
Contra Costa	581,316	416,386	152,877	 12,053
Del Norte	11,453	4,677	6,461	 315
El Dorado	116,159	51,621	61,838	 2,700
Fresno	364,917	193,025	164,464	 7,428
Glenn	11,297	3,995	7,063	 239
Humboldt	69,424	44,768	21,770	 2,886
Imperial	56,743	34,678	20,847	 1,218
Inyo	9,484	4,634	4,620	 230
Kern	305,292	133,366	164,484	 7,442
Kings	43,861	18,699	24,072	 1,090
Lake	28,986	14,941	13,123	 922
Lassen	12,045	2,799	8,970	 276
Los Angeles	4,264,365	3,028,885	1,145,530	 89,950
Madera	53,732	23,168	29,378	 1,186
Marin	155,830	128,288	24,612	 2,930
Mariposa	10,280	4,088	5,950	 242
Mendocino	43,340	28,782	13,267	 1,291
Merced	90,993	48,991	39,397	 2,605
Modoc	4,367	1,150	3,109	 108
Mono	6,738	4,013	2,513	 212
Monterey	163,923	113,953	46,299	 3,671
Napa	72,150	49,817	20,676	 1,657
Nevada	65,202	36,359	26,779	 2,064
Orange	1,522,113	814,009	676,498	 31,606
Placer	235,084	106,869	122,488	 5,727
Plumas	11,260	4,561	6,445	 254
Riverside	997,156	528,340	449,144	 19,672
Sacramento	718,440	440,808	259,405	 18,227
San Benito	28,830	17,628	10,590	 612
San Bernardino	841,130	455,859	366,257	 19,014
San Diego	1,602,143	964,650	600,094	 37,399
San Francisco	443,553	378,156	56,417	 8,980
San Joaquin	289,781	161,137	121,098	 7,546
San Luis Obispo	159,714	88,310	67,436	 3,968
San Mateo	374,251	291,496	75,584	 7,171
Santa Barbara	201,432	129,963	65,736	 5,733
Santa Clara	850,741	617,967	214,612	 18,162
Santa Cruz	145,649	114,246	26,937	 4,466
Shasta	92,930	30,000	60,789	 2,141
Sierra	1,947	730	1,142	 75
Siskiyou	23,472	9,593	13,290	 589
Solano	206,831	131,639	69,306	 5,886
Sonoma	268,317	199,938	61,825	 6,554
Stanislaus	215,987	105,841	104,145	 6,001
Sutter	42,644	17,367	24,375	 902
Tehama	28,731	8,911	19,141	 679
Trinity	6,330	2,851	3,188	 291
Tulare	146,885	66,105	77,579	 3,201
Tuolumne	30,408	11,978	17,689	 741
Ventura	422,825	251,388	162,207	 9,230
Yolo	97,294	67,598	27,292	 2,404
Yuba	29,796	11,230	17,676	 890
