Adams	236,740	134,202	95,657	 6,881
Alamosa	7,808	3,759	3,813	 236
Arapahoe	350,183	213,607	127,323	 9,253
Archuleta	9,144	3,738	5,189	 217
Baca	2,225	317	1,867	 41
Bent	2,274	732	1,503	 39
Boulder	206,111	159,089	42,501	 4,521
Broomfield	46,632	29,077	16,295	 1,260
Chaffee	13,718	7,160	6,222	 336
Cheyenne	1,136	131	993	 12
Clear Creek	6,548	3,604	2,754	 190
Conejos	4,333	1,959	2,286	 88
Costilla	2,094	1,311	741	 42
Crowley	1,750	437	1,271	 42
Custer	3,635	1,112	2,474	 49
Delta	19,370	5,887	13,081	 402
Denver	393,829	313,293	71,618	 8,918
Dolores	1,449	341	1,089	 19
Douglas	231,605	104,653	121,270	 5,682
Eagle	29,140	18,588	9,892	 660
Elbert	18,983	4,490	14,027	 466
El Paso	378,851	161,941	202,828	 14,082
Fremont	25,557	7,369	17,517	 671
Garfield	30,904	15,427	14,717	 760
Gilpin	4,186	2,223	1,833	 130
Grand	9,870	4,710	4,883	 277
Gunnison	11,190	7,132	3,735	 323
Hinsdale	632	255	353	 24
Huerfano	4,406	2,076	2,203	 127
Jackson	876	175	681	 20
Jefferson	377,358	218,396	148,417	 10,545
Kiowa	903	98	795	 10
Kit Carson	3,871	662	3,144	 65
Lake	3,961	2,303	1,497	 161
La Plata	35,667	20,548	14,233	 886
Larimer	224,338	126,120	91,489	 6,729
Las Animas	7,961	3,497	4,284	 180
Lincoln	2,651	470	2,135	 46
Logan	10,532	2,218	8,087	 227
Mesa	90,623	31,536	56,894	 2,193
Mineral	756	317	427	 12
Moffat	7,026	1,203	5,670	 153
Montezuma	15,500	5,836	9,306	 358
Montrose	24,922	7,687	16,770	 465
Morgan	13,744	3,876	9,593	 275
Otero	9,576	3,605	5,756	 215
Ouray	4,020	2,365	1,577	 78
Park	12,291	4,903	6,991	 397
Phillips	2,485	486	1,958	 41
Pitkin	11,957	8,989	2,780	 188
Prowers	5,561	1,458	4,008	 95
Pueblo	88,301	43,772	42,252	 2,277
Rio Blanco	3,691	561	3,061	 69
Rio Grande	6,305	2,495	3,660	 150
Routt	16,876	10,582	5,925	 369
Saguache	3,389	1,884	1,413	 92
San Juan	562	342	202	 18
San Miguel	5,147	3,924	1,136	 87
Sedgwick	1,446	301	1,121	 24
Summit	18,479	12,631	5,322	 526
Teller	16,939	5,278	11,241	 420
Washington	3,008	369	2,595	 44
Weld	166,974	66,060	96,145	 4,769
Yuma	4,981	785	4,107	 89
