Alachua	143,047	50,972	89,704	 2,371
Baker	14,082	11,911	2,037	 134
Bay	93,213	66,097	25,614	 1,502
Bradford	13,650	10,334	3,160	 156
Brevard	361,653	207,883	148,549	 5,221
Broward	959,640	333,409	618,752	 7,479
Calhoun	6,537	5,274	1,209	 54
Charlotte	116,558	73,243	42,273	 1,042
Citrus	93,388	65,352	27,092	 944
Clay	124,660	84,480	38,317	 1,863
Collier	208,285	128,950	77,621	 1,714
Columbia	33,092	23,836	8,914	 342
DeSoto	12,676	8,313	4,259	 104
Dixie	8,173	6,759	1,365	 49
Duval	494,161	233,762	252,556	 7,843
Escambia	170,856	96,674	70,929	 3,253
Flagler	71,863	43,043	28,161	 659
Franklin	6,859	4,675	2,120	 64
Gadsden	23,762	7,465	16,153	 144
Gilchrist	9,702	7,895	1,700	 107
Glades	5,203	3,782	1,385	 36
Gulf	8,172	6,113	1,985	 74
Hamilton	5,840	3,815	1,963	 62
Hardee	8,502	6,122	2,298	 82
Hendry	12,956	7,906	4,929	 121
Hernando	109,150	70,412	37,519	 1,219
Highlands	52,243	34,873	16,938	 432
Hillsborough	714,068	327,398	376,367	 10,303
Holmes	9,078	8,080	924	 74
Indian River	97,740	58,872	37,844	 1,024
Jackson	22,456	15,488	6,766	 202
Jefferson	8,468	4,479	3,897	 92
Lafayette	3,662	3,128	510	 24
Lake	211,314	125,859	83,505	 1,950
Lee	394,758	233,247	157,695	 3,816
Leon	163,476	57,453	103,517	 2,506
Levy	23,185	16,749	6,205	 231
Liberty	3,565	2,846	694	 25
Madison	9,393	5,576	3,747	 70
Manatee	217,472	124,987	90,166	 2,319
Marion	204,716	127,826	74,858	 2,032
Martin	98,942	61,168	36,893	 881
Miami-Dade	1,158,918	532,833	617,864	 8,221
Monroe	48,135	25,693	21,881	 561
Nassau	58,915	42,566	15,564	 785
Okaloosa	116,743	79,798	34,248	 2,697
Okeechobee	15,984	11,470	4,390	 124
Orange	649,157	245,398	395,014	 8,745
Osceola	172,784	73,480	97,297	 2,007
Palm Beach	774,597	334,711	433,572	 6,314
Pasco	302,621	179,621	119,073	 3,927
Pinellas	561,161	276,209	277,450	 7,502
Polk	344,026	194,586	145,049	 4,391
Putnam	36,422	25,514	10,527	 381
St. Johns	177,047	110,946	63,850	 2,251
St. Lucie	172,349	86,831	84,137	 1,381
Santa Rosa	107,198	77,385	27,612	 2,201
Sarasota	271,169	148,370	120,110	 2,689
Seminole	261,533	125,241	132,528	 3,764
Sumter	92,624	62,761	29,341	 522
Suwannee	21,083	16,410	4,485	 188
Taylor	10,138	7,751	2,299	 88
Union	6,251	5,133	1,053	 65
Volusia	308,109	173,821	130,575	 3,713
Wakulla	18,448	12,874	5,351	 223
Walton	43,795	32,947	10,338	 510
Washington	12,335	9,876	2,347	 112
