Appling	8,390	1,784	6,570	 36
Atkinson	3,155	825	2,300	 30
Bacon	4,667	625	4,017	 25
Baker	1,555	652	897	 6
Baldwin	18,261	9,140	8,903	 218
Banks	8,805	932	7,795	 78
Barrow	37,946	10,453	26,804	 689
Bartow	50,486	12,091	37,672	 723
Ben Hill	6,564	2,393	4,111	 60
Berrien	7,744	1,269	6,419	 56
Bibb	70,763	43,408	26,559	 796
Bleckley	5,710	1,312	4,329	 69
Brantley	7,749	700	6,993	 56
Brooks	7,101	2,791	4,261	 49
Bryan	21,349	6,738	14,240	 371
Bulloch	30,109	11,248	18,387	 474
Burke	10,685	5,208	5,400	 77
Butts	11,776	3,274	8,406	 96
Calhoun	2,198	1,263	923	 12
Camden	23,698	7,967	15,249	 482
Candler	4,431	1,269	3,133	 29
Carroll	54,502	16,236	37,476	 790
Catoosa	32,626	6,932	25,167	 527
Charlton	4,568	1,105	3,419	 44
Chatham	133,484	78,247	53,232	 2,005
Chattahoochee	1,582	667	880	 35
Chattooga	10,053	1,854	8,064	 135
Cherokee	144,859	42,779	99,585	 2,495
Clarke	51,421	36,055	14,450	 916
Clay	1,436	791	637	 8
Clayton	112,391	95,466	15,811	 1,114
Clinch	2,862	744	2,105	 13
Cobb	394,022	221,847	165,436	 6,739
Coffee	15,214	4,511	10,578	 125
Colquitt	16,087	4,190	11,777	 120
Columbia	80,620	29,232	50,013	 1,375
Cook	7,037	2,059	4,900	 78
Coweta	76,845	24,210	51,501	 1,134
Crawford	6,102	1,615	4,428	 59
Crisp	8,036	2,982	4,985	 69
Dade	7,447	1,261	6,066	 120
Dawson	16,084	2,486	13,398	 200
Decatur	11,628	4,782	6,755	 91
DeKalb	370,877	308,162	58,377	 4,338
Dodge	8,072	2,172	5,843	 57
Dooly	4,106	1,911	2,159	 36
Dougherty	35,290	24,568	10,441	 281
Douglas	69,139	42,814	25,454	 871
Early	5,188	2,450	2,710	 28
Echols	1,442	167	1,256	 19
Effingham	31,579	7,718	23,361	 500
Elbert	9,176	2,879	6,226	 71
Emanuel	9,507	2,886	6,553	 68
Evans	4,248	1,324	2,888	 36
Fannin	14,849	2,570	12,169	 110
Fayette	72,012	33,062	37,956	 994
Floyd	41,365	11,917	28,906	 542
Forsyth	129,377	42,208	85,123	 2,046
Franklin	10,767	1,593	9,069	 105
Fulton	523,931	380,212	137,247	 6,472
Gilmer	16,527	2,932	13,429	 166
Glascock	1,565	155	1,402	 8
Glynn	41,994	15,882	25,617	 495
Gordon	24,044	4,384	19,405	 255
Grady	10,707	3,619	7,034	 54
Greene	11,247	4,087	7,066	 94
Gwinnett	414,350	241,994	166,400	 5,956
Habersham	20,442	3,562	16,637	 243
Hall	90,602	25,033	64,183	 1,386
Hancock	4,153	2,976	1,154	 23
Haralson	14,248	1,791	12,330	 127
Harris	20,002	5,457	14,319	 226
Hart	12,734	3,157	9,465	 112
Heard	5,394	824	4,519	 51
Henry	123,016	73,443	48,259	 1,314
Houston	74,872	32,239	41,540	 1,093
Irwin	4,168	1,008	3,134	 26
Jackson	37,685	7,642	29,502	 541
Jasper	7,647	1,761	5,822	 64
Jeff Davis	5,774	1,028	4,695	 51
Jefferson	7,639	4,058	3,537	 44
Jenkins	3,455	1,266	2,161	 28
Johnson	4,100	1,222	2,850	 28
Jones	14,940	4,882	9,940	 118
Lamar	9,045	2,620	6,331	 94
Lanier	3,576	1,019	2,509	 48
Laurens	22,732	8,074	14,493	 165
Lee	16,719	4,558	12,007	 154
Liberty	21,394	13,104	7,959	 331
Lincoln	4,641	1,432	3,173	 36
Long	5,660	2,035	3,527	 98
Lowndes	46,375	20,116	25,692	 567
Lumpkin	15,545	3,126	12,163	 256
McDuffie	10,456	4,168	6,169	 119
McIntosh	6,696	2,612	4,016	 68
Macon	4,663	2,858	1,783	 22
Madison	14,945	3,411	11,326	 208
Marion	3,626	1,312	2,275	 39
Meriwether	10,880	4,287	6,524	 69
Miller	2,834	748	2,066	 20
Mitchell	8,963	3,993	4,935	 35
Monroe	15,592	4,385	11,057	 150
Montgomery	3,968	980	2,960	 28
Morgan	11,710	3,353	8,231	 126
Murray	15,395	2,301	12,944	 150
Muscogee	80,528	49,446	30,107	 975
Newton	54,263	29,789	23,869	 605
Oconee	25,193	8,162	16,595	 436
Oglethorpe	8,138	2,439	5,592	 107
Paulding	85,417	29,695	54,517	 1,205
Peach	12,554	5,922	6,506	 126
Pickens	17,172	2,824	14,110	 238
Pierce	9,048	1,100	7,898	 50
Pike	10,721	1,505	9,127	 89
Polk	17,399	3,657	13,587	 155
Pulaski	4,081	1,230	2,815	 36
Putnam	11,857	3,448	8,291	 118
Quitman	1,106	497	604	 5
Rabun	9,574	1,984	7,474	 116
Randolph	3,073	1,671	1,390	 12
Richmond	87,077	59,119	26,780	 1,178
Rockdale	44,699	31,237	13,014	 448
Schley	2,275	462	1,800	 13
Screven	6,629	2,661	3,915	 53
Seminole	3,888	1,256	2,613	 19
Spalding	30,219	11,828	18,104	 287
Stephens	11,885	2,386	9,367	 132
Stewart	1,990	1,182	801	 7
Sumter	12,150	6,314	5,733	 103
Talbot	3,524	2,114	1,392	 18
Taliaferro	928	561	360	 7
Tattnall	8,187	2,062	6,054	 71
Taylor	3,842	1,388	2,420	 34
Telfair	4,335	1,488	2,825	 22
Terrell	4,416	2,376	2,004	 36
Thomas	21,877	8,708	12,969	 200
Tift	16,280	5,318	10,784	 178
Toombs	10,914	2,938	7,873	 103
Towns	7,979	1,550	6,384	 45
Treutlen	3,077	952	2,101	 24
Troup	30,057	11,577	18,142	 338
Turner	3,791	1,409	2,349	 33
Twiggs	4,444	2,044	2,370	 30
Union	15,562	2,800	12,650	 112
Upson	12,907	4,203	8,606	 98
Walker	29,374	5,770	23,173	 431
Walton	51,098	12,683	37,839	 576
Ware	14,189	4,169	9,903	 117
Warren	2,650	1,468	1,166	 16
Washington	9,480	4,743	4,668	 69
Wayne	12,782	2,688	9,987	 107
Webster	1,391	640	748	 3
Wheeler	2,285	689	1,583	 13
White	14,831	2,411	12,222	 198
Whitfield	36,766	10,680	25,644	 442
Wilcox	3,279	861	2,402	 16
Wilkes	5,031	2,160	2,823	 48
Wilkinson	4,770	2,074	2,665	 31
Worth	9,285	2,395	6,830	 60
