Adair	4,177	2,917	1,198	 62
Adams	2,160	1,530	590	 40
Allamakee	7,422	4,735	2,576	 111
Appanoose	6,516	4,512	1,891	 113
Audubon	3,420	2,295	1,071	 54
Benton	14,642	9,188	5,160	 294
Black Hawk	66,593	29,640	35,647	 1,306
Boone	15,340	8,695	6,303	 342
Bremer	14,546	8,294	5,958	 294
Buchanan	10,774	6,420	4,169	 185
Buena Vista	8,167	5,056	2,961	 150
Butler	8,098	5,542	2,424	 132
Calhoun	5,258	3,689	1,470	 99
Carroll	11,335	7,737	3,454	 144
Cass	7,276	4,969	2,201	 106
Cedar	10,703	6,161	4,337	 205
Cerro Gordo	23,801	12,442	10,941	 418
Cherokee	6,518	4,495	1,936	 87
Chickasaw	6,631	4,308	2,233	 90
Clarke	4,670	3,144	1,466	 60
Clay	8,969	6,137	2,662	 170
Clayton	9,594	6,106	3,340	 148
Clinton	24,687	13,361	10,812	 514
Crawford	7,154	4,854	2,220	 80
Dallas	56,022	27,987	26,879	 1,156
Davis	4,102	3,032	1,013	 57
Decatur	3,804	2,615	1,120	 69
Delaware	10,003	6,666	3,157	 180
Des Moines	19,956	10,592	8,893	 471
Dickinson	11,244	7,438	3,661	 145
Dubuque	53,926	27,214	25,657	 1,055
Emmet	4,853	3,265	1,520	 68
Fayette	10,186	6,145	3,835	 206
Floyd	8,032	4,732	3,172	 128
Franklin	5,130	3,422	1,626	 82
Fremont	3,857	2,711	1,080	 66
Greene	5,057	3,223	1,769	 65
Grundy	7,276	4,929	2,206	 141
Guthrie	6,371	4,272	1,985	 114
Hamilton	7,943	4,956	2,843	 144
Hancock	6,172	4,390	1,683	 99
Hardin	8,989	5,850	2,976	 163
Harrison	8,155	5,569	2,440	 146
Henry	9,982	6,507	3,275	 200
Howard	4,958	3,127	1,772	 59
Humboldt	5,327	3,819	1,442	 66
Ida	3,849	2,880	917	 52
Iowa	9,742	6,009	3,547	 186
Jackson	11,135	6,940	4,029	 166
Jasper	20,184	12,084	7,737	 363
Jefferson	8,959	4,443	4,319	 197
Johnson	83,851	22,925	59,177	 1,749
Jones	10,989	6,572	4,213	 204
Keokuk	5,303	3,797	1,414	 92
Kossuth	9,090	6,275	2,696	 119
Lee	16,734	9,773	6,541	 420
Linn	127,458	53,364	70,874	 3,220
Louisa	5,332	3,500	1,726	 106
Lucas	4,630	3,287	1,284	 59
Lyon	6,863	5,707	1,067	 89
Madison	9,824	6,507	3,134	 183
Mahaska	11,404	8,297	2,894	 213
Marion	19,232	12,663	6,178	 391
Marshall	18,136	9,571	8,176	 389
Mills	8,268	5,585	2,508	 175
Mitchell	5,822	3,677	2,053	 92
Monona	4,728	3,248	1,407	 73
Monroe	4,088	2,975	1,078	 35
Montgomery	5,327	3,659	1,583	 85
Muscatine	20,671	10,823	9,372	 476
O'Brien	7,551	5,861	1,569	 121
Osceola	3,328	2,690	601	 37
Page	7,528	5,319	2,086	 123
Palo Alto	4,958	3,370	1,519	 69
Plymouth	14,188	10,492	3,494	 202
Pocahontas	3,823	2,826	933	 64
Polk	258,755	106,800	146,250	 5,705
Pottawattamie	45,744	26,247	18,575	 922
Poweshiek	10,140	5,657	4,306	 177
Ringgold	2,714	1,968	709	 37
Sac	5,535	4,061	1,389	 85
Scott	92,599	43,683	46,926	 1,990
Shelby	6,795	4,697	1,959	 139
Sioux	19,051	15,680	3,019	 352
Story	51,038	20,340	29,175	 1,523
Tama	9,048	5,303	3,577	 168
Taylor	3,249	2,463	746	 40
Union	6,185	4,010	2,061	 114
Van Buren	3,791	2,859	875	 57
Wapello	15,633	9,516	5,821	 296
Warren	31,039	17,782	12,574	 683
Washington	11,765	6,971	4,561	 233
Wayne	3,109	2,338	727	 44
Webster	17,822	10,938	6,613	 271
Winnebago	5,970	3,707	2,135	 128
Winneshiek	12,064	6,235	5,617	 212
Woodbury	45,362	25,736	18,704	 922
Worth	4,418	2,738	1,596	 84
Wright	6,254	4,136	1,996	 122
