Ada	261,488	130,699	120,539	 10,250
Adams	2,586	1,941	591	 54
Bannock	39,783	23,331	14,682	 1,770
Bear Lake	3,316	2,914	350	 52
Benewah	4,975	3,878	977	 120
Bingham	19,996	15,295	4,124	 577
Blaine	13,289	4,032	8,919	 338
Boise	4,822	3,485	1,204	 133
Bonner	27,352	18,369	8,310	 673
Bonneville	54,034	37,805	14,254	 1,975
Boundary	6,317	4,937	1,220	 160
Butte	1,415	1,202	188	 25
Camas	674	507	149	 18
Canyon	90,457	61,759	25,881	 2,817
Caribou	3,416	2,906	431	 79
Cassia	9,632	7,907	1,464	 261
Clark	311	264	41	 6
Clearwater	4,419	3,453	877	 89
Custer	2,739	2,089	603	 47
Elmore	10,213	7,246	2,601	 366
Franklin	6,664	5,845	657	 162
Fremont	6,721	5,548	998	 175
Gem	9,983	7,951	1,803	 229
Gooding	6,052	4,659	1,256	 137
Idaho	9,610	7,826	1,561	 223
Jefferson	14,180	12,099	1,661	 420
Jerome	7,840	5,734	1,893	 213
Kootenai	89,878	62,837	24,312	 2,729
Latah	20,610	9,472	10,236	 902
Lemhi	4,739	3,592	1,032	 115
Lewis	1,870	1,489	349	 32
Lincoln	1,941	1,469	414	 58
Madison	17,137	13,559	2,666	 912
Minidoka	7,993	6,265	1,550	 178
Nez Perce	20,985	13,738	6,686	 561
Oneida	2,452	2,148	249	 55
Owyhee	4,743	3,819	816	 108
Payette	11,293	8,862	2,161	 270
Power	3,086	2,116	865	 105
Shoshone	6,049	4,216	1,693	 140
Teton	6,362	2,858	3,318	 186
Twin Falls	36,512	25,897	9,391	 1,224
Valley	7,063	3,947	2,976	 140
Washington	5,346	4,154	1,073	 119
