Adams	33,527	8,633	24,220	 674
Alexander	2,621	1,114	1,486	 21
Bond	8,165	2,288	5,625	 252
Boone	25,048	10,542	13,883	 623
Brown	2,525	486	1,931	 108
Bureau	17,494	6,669	10,411	 414
Calhoun	2,773	677	2,046	 50
Carroll	8,037	2,748	5,105	 184
Cass	5,326	1,615	3,625	 86
Champaign	95,573	57,067	35,285	 3,221
Christian	16,231	4,335	11,563	 333
Clark	8,369	1,993	6,226	 150
Clay	6,899	1,129	5,629	 141
Clinton	19,214	4,493	14,304	 417
Coles	22,668	8,067	14,037	 564
Cook	2,325,405	1,725,973	558,269	 41,163
Crawford	9,441	2,202	7,043	 196
Cumberland	5,849	1,142	4,601	 106
DeKalb	47,989	24,643	21,905	 1,441
De Witt	8,039	2,191	5,632	 216
Douglas	8,760	2,335	6,227	 198
DuPage	487,763	281,222	193,611	 12,930
Edgar	8,212	1,887	6,193	 132
Edwards	3,368	488	2,833	 47
Effingham	19,083	3,716	15,006	 361
Fayette	10,076	1,826	8,055	 195
Ford	6,967	1,754	5,048	 165
Franklin	18,669	4,760	13,622	 287
Fulton	16,724	6,503	9,867	 354
Gallatin	2,675	622	2,019	 34
Greene	6,237	1,349	4,770	 118
Grundy	26,756	9,626	16,523	 607
Hamilton	4,323	824	3,432	 67
Hancock	9,403	2,315	6,906	 182
Hardin	2,162	449	1,691	 22
Henderson	3,656	1,187	2,394	 75
Henry	25,701	9,797	15,300	 604
Iroquois	14,043	2,908	10,877	 258
Jackson	22,718	11,181	10,890	 647
Jasper	5,586	1,007	4,494	 85
Jefferson	17,436	4,608	12,476	 352
Jersey	11,960	2,961	8,712	 287
Jo Daviess	12,525	5,109	7,166	 250
Johnson	6,450	1,281	5,059	 110
Kane	231,876	130,166	96,775	 4,935
Kankakee	50,040	20,271	28,532	 1,237
Kendall	64,205	33,168	29,492	 1,545
Knox	23,208	10,703	12,009	 496
Lake	335,675	204,032	123,594	 8,049
LaSalle	53,687	22,442	30,113	 1,132
Lawrence	6,422	1,419	4,886	 117
Lee	16,440	6,407	9,630	 403
Livingston	17,214	4,615	12,208	 391
Logan	13,327	3,840	9,136	 351
McDonough	12,327	4,992	7,027	 308
McHenry	164,578	78,154	82,260	 4,164
McLean	87,387	43,933	40,502	 2,952
Macon	49,534	19,847	28,589	 1,098
Macoupin	24,070	7,365	16,153	 552
Madison	137,558	57,836	76,031	 3,691
Marion	17,494	4,524	12,678	 292
Marshall	6,345	2,005	4,197	 143
Mason	6,785	1,985	4,654	 146
Massac	6,818	1,725	4,997	 96
Menard	6,954	2,022	4,764	 168
Mercer	8,914	3,280	5,418	 216
Monroe	21,206	6,569	14,142	 495
Montgomery	13,761	3,905	9,544	 312
Morgan	15,333	5,076	9,950	 307
Moultrie	6,756	1,662	4,964	 130
Ogle	26,340	9,428	16,248	 664
Peoria	83,973	43,578	38,252	 2,143
Perry	10,071	2,612	7,313	 146
Piatt	9,851	3,329	6,248	 274
Pike	7,965	1,484	6,332	 149
Pope	2,176	433	1,722	 21
Pulaski	2,631	891	1,699	 41
Putnam	3,395	1,338	1,993	 64
Randolph	14,910	3,592	11,076	 242
Richland	8,077	1,830	6,089	 158
Rock Island	66,947	36,691	28,603	 1,653
St. Clair	128,505	68,325	57,150	 3,030
Saline	11,089	2,789	8,103	 197
Sangamon	105,142	48,917	53,485	 2,740
Schuyler	3,918	1,068	2,773	 77
Scott	2,743	572	2,114	 57
Shelby	12,115	2,504	9,426	 185
Stark	2,886	815	2,004	 67
Stephenson	22,111	9,055	12,521	 535
Tazewell	69,276	24,819	42,513	 1,944
Union	8,904	2,579	6,161	 164
Vermilion	31,642	10,323	20,725	 594
Wabash	5,607	1,253	4,237	 117
Warren	7,924	3,090	4,676	 158
Washington	7,921	1,641	6,115	 165
Wayne	8,499	1,187	7,176	 136
White	7,431	1,517	5,791	 123
Whiteside	27,433	12,253	14,527	 653
Will	346,266	183,915	155,116	 7,235
Williamson	33,730	10,206	22,801	 723
Winnebago	128,160	64,056	60,861	 3,243
Woodford	21,502	6,160	14,799	 543
