Adams	14,239	10,686	3,236	 317
Allen	169,560	92,083	73,189	 4,288
Bartholomew	36,300	22,410	12,934	 956
Benton	4,115	3,007	1,009	 99
Blackford	5,358	3,841	1,376	 141
Boone	38,668	22,351	15,244	 1,073
Brown	8,981	5,777	3,036	 168
Carroll	9,495	7,086	2,224	 185
Cass	15,198	10,552	4,304	 342
Clark	58,057	33,668	23,093	 1,296
Clay	12,281	9,499	2,552	 230
Clinton	12,949	9,334	3,361	 254
Crawford	4,948	3,483	1,355	 110
Daviess	11,971	9,576	2,169	 226
Dearborn	25,383	19,528	5,446	 409
Decatur	12,304	9,575	2,439	 290
DeKalb	19,656	14,237	4,966	 453
Delaware	48,342	26,827	20,474	 1,041
Dubois	21,806	15,033	6,292	 481
Elkhart	74,618	46,972	26,108	 1,538
Fayette	10,136	7,755	2,237	 144
Floyd	41,899	23,400	17,511	 988
Fountain	7,993	6,154	1,629	 210
Franklin	12,018	9,691	2,137	 190
Fulton	9,147	6,694	2,280	 173
Gibson	16,161	11,817	4,023	 321
Grant	27,230	18,543	8,015	 672
Greene	14,784	11,103	3,389	 292
Hamilton	194,577	101,587	88,390	 4,600
Hancock	43,020	28,996	12,895	 1,129
Harrison	20,236	14,565	5,343	 328
Hendricks	88,705	53,802	32,604	 2,299
Henry	21,061	15,043	5,544	 474
Howard	40,630	26,449	13,303	 878
Huntington	17,870	13,147	4,255	 468
Jackson	19,238	14,555	4,302	 381
Jasper	15,475	11,383	3,798	 294
Jay	8,461	6,361	1,926	 174
Jefferson	14,730	9,663	4,731	 336
Jennings	12,251	9,490	2,523	 238
Johnson	77,802	51,219	24,736	 1,847
Knox	16,028	11,655	4,067	 306
Kosciusko	35,884	26,499	8,364	 1,021
LaGrange	10,633	8,110	2,355	 168
Lake	220,330	91,760	124,870	 3,700
LaPorte	49,483	25,997	22,427	 1,059
Lawrence	21,025	15,601	4,961	 463
Madison	51,890	31,215	19,524	 1,151
Marion	391,134	134,175	247,772	 9,187
Marshall	19,953	13,844	5,712	 397
Martin	5,144	4,029	1,011	 104
Miami	14,493	10,925	3,235	 333
Monroe	63,151	22,071	39,861	 1,219
Montgomery	17,198	12,659	4,213	 326
Morgan	36,221	27,512	7,781	 928
Newton	6,609	4,942	1,509	 158
Noble	19,217	14,195	4,660	 362
Ohio	3,164	2,392	750	 22
Orange	8,844	6,432	2,224	 188
Owen	9,917	7,286	2,420	 211
Parke	7,022	5,400	1,503	 119
Perry	8,737	5,345	3,203	 189
Pike	6,220	4,692	1,415	 113
Porter	86,768	45,008	39,746	 2,014
Posey	13,236	9,206	3,811	 219
Pulaski	5,813	4,246	1,463	 104
Putnam	16,597	12,278	3,946	 373
Randolph	11,079	8,312	2,513	 254
Ripley	14,292	11,261	2,774	 257
Rush	7,941	6,035	1,754	 152
St. Joseph	115,238	53,164	59,896	 2,178
Scott	10,182	7,331	2,701	 150
Shelby	19,991	14,568	5,023	 400
Spencer	10,789	7,357	3,213	 219
Starke	10,309	7,466	2,650	 193
Steuben	16,184	11,327	4,513	 344
Sullivan	8,994	6,691	2,153	 150
Switzerland	4,154	3,133	964	 57
Tippecanoe	71,824	34,581	35,017	 2,226
Tipton	8,124	6,110	1,834	 180
Union	3,483	2,688	736	 59
Vanderburgh	77,662	41,844	34,415	 1,403
Vermillion	7,490	5,184	2,145	 161
Vigo	43,698	24,545	18,123	 1,030
Wabash	14,598	10,762	3,494	 342
Warren	4,473	3,401	974	 98
Warrick	33,890	21,326	11,923	 641
Washington	12,139	9,114	2,784	 241
Wayne	27,679	17,567	9,524	 588
Wells	14,080	10,855	2,928	 297
White	11,187	7,957	3,032	 198
Whitley	17,588	12,862	4,234	 492
