Allen	5,892	4,218	1,570	104	 0
Anderson	3,792	2,929	782	81	 0
Atchison	7,440	4,906	2,359	175	 0
Barber	2,342	2,014	291	37	 0
Barton	11,150	8,608	2,340	182	 20
Bourbon	6,676	5,023	1,541	112	 0
Brown	4,471	3,262	1,104	105	 0
Butler	32,520	22,634	9,181	705	 0
Chase	1,491	1,123	345	23	 0
Chautauqua	1,644	1,402	212	25	 5
Cherokee	9,151	6,766	2,194	168	 23
Cheyenne	1,429	1,183	224	22	 0
Clark	1,067	904	143	20	 0
Clay	4,182	3,177	894	111	 0
Cloud	4,263	3,242	920	101	 0
Coffey	4,565	3,489	964	112	 0
Comanche	916	762	126	28	 0
Cowley	14,231	9,656	4,273	302	 0
Crawford	16,718	10,045	6,179	421	 73
Decatur	1,498	1,260	218	20	 0
Dickinson	9,349	7,126	2,060	163	 0
Doniphan	3,709	2,976	686	47	 0
Douglas	59,941	17,286	40,785	1,424	 446
Edwards	1,431	1,141	271	19	 0
Elk	1,361	1,140	195	26	 0
Ellis	13,856	9,758	3,737	305	 56
Ellsworth	2,853	2,148	648	57	 0
Finney	11,846	7,236	4,325	239	 46
Ford	8,915	5,803	2,947	165	 0
Franklin	12,477	8,479	3,690	308	 0
Geary	9,603	5,323	3,983	297	 0
Gove	1,471	1,291	166	14	 0
Graham	1,337	1,080	228	29	 0
Grant	2,501	1,936	518	47	 0
Gray	2,288	1,911	341	36	 0
Greeley	641	549	78	14	 0
Greenwood	3,077	2,444	569	64	 0
Hamilton	859	698	141	20	 0
Harper	2,678	2,168	461	49	 0
Harvey	17,399	10,182	6,747	380	 90
Haskell	1,410	1,122	268	20	 0
Hodgeman	1,045	875	154	16	 0
Jackson	6,584	4,517	1,881	186	 0
Jefferson	9,782	6,334	3,194	254	 0
Jewell	1,628	1,387	212	29	 0
Johnson	349,386	155,631	184,259	7,324	 2,172
Kearny	1,455	1,164	267	24	 0
Kingman	3,949	3,130	752	67	 0
Kiowa	1,165	980	156	29	 0
Labette	8,563	5,735	2,655	173	 0
Lane	895	762	115	18	 0
Leavenworth	36,490	21,610	13,886	994	 0
Lincoln	1,579	1,283	266	30	 0
Linn	5,046	4,048	896	102	 0
Logan	1,458	1,249	186	23	 0
Lyon	14,049	7,550	6,055	383	 61
McPherson	14,438	9,964	4,134	340	 0
Marion	6,111	4,465	1,516	130	 0
Marshall	5,114	3,729	1,259	126	 0
Meade	1,825	1,523	263	39	 0
Miami	17,989	12,308	5,247	382	 52
Mitchell	3,101	2,504	558	39	 0
Montgomery	13,426	9,931	3,228	267	 0
Morris	2,899	2,124	729	46	 0
Morton	1,198	1,034	150	14	 0
Nemaha	5,684	4,664	927	93	 0
Neosho	6,877	4,970	1,796	111	 0
Ness	1,513	1,339	149	25	 0
Norton	2,415	2,007	364	44	 0
Osage	8,035	5,705	2,136	194	 0
Osborne	1,945	1,629	281	35	 0
Ottawa	3,191	2,610	506	75	 0
Pawnee	2,739	2,045	643	51	 0
Phillips	2,781	2,418	318	45	 0
Pottawatomie	13,083	9,452	3,313	318	 0
Pratt	4,137	3,108	933	96	 0
Rawlins	1,504	1,261	214	29	 0
Reno	28,060	18,443	8,886	612	 119
Republic	2,657	2,182	424	51	 0
Rice	4,319	3,262	965	92	 0
Riley	25,171	11,610	12,765	796	 0
Rooks	2,699	2,325	339	35	 0
Rush	1,677	1,350	295	32	 0
Russell	3,467	2,790	600	77	 0
Saline	24,624	15,722	8,214	595	 93
Scott	2,354	2,014	299	41	 0
Sedgwick	224,862	122,416	95,870	5,402	 1,174
Seward	5,294	3,372	1,833	89	 0
Shawnee	86,122	40,443	43,015	2,199	 465
Sheridan	1,445	1,282	147	16	 0
Sherman	2,727	2,269	396	62	 0
Smith	2,129	1,763	336	30	 0
Stafford	2,034	1,645	357	32	 0
Stanton	776	614	148	14	 0
Stevens	2,031	1,760	237	34	 0
Sumner	10,928	8,105	2,591	232	 0
Thomas	3,810	3,130	625	55	 0
Trego	1,630	1,363	242	25	 0
Wabaunsee	3,902	2,845	964	93	 0
Wallace	825	770	44	11	 0
Washington	2,883	2,363	475	45	 0
Wichita	968	808	149	11	 0
Wilson	3,954	3,153	723	78	 0
Woodson	1,546	1,228	294	24	 0
Wyandotte	57,071	18,934	36,788	1,063	 286
