Adair	8,768	7,276	1,392	 100
Allen	9,364	7,587	1,642	 135
Anderson	13,254	9,661	3,348	 245
Ballard	4,225	3,356	825	 44
Barren	20,064	14,654	5,127	 283
Bath	5,627	3,986	1,573	 68
Bell	10,044	8,140	1,789	 115
Boone	66,998	44,814	20,901	 1,283
Bourbon	9,648	6,190	3,296	 162
Boyd	21,751	14,295	7,083	 373
Boyle	14,478	8,872	5,298	 308
Bracken	4,246	3,398	800	 48
Breathitt	5,661	4,265	1,301	 95
Breckinridge	10,201	7,701	2,350	 150
Bullitt	41,998	30,708	10,552	 738
Butler	6,125	4,960	1,079	 86
Caldwell	6,434	4,906	1,433	 95
Calloway	17,457	11,352	5,797	 308
Campbell	48,878	28,482	19,374	 1,022
Carlisle	2,638	2,159	463	 16
Carroll	4,136	2,954	1,116	 66
Carter	11,586	8,775	2,642	 169
Casey	7,171	6,179	918	 74
Christian	23,863	15,080	8,296	 487
Clark	18,139	11,811	6,004	 324
Clay	7,591	6,677	831	 83
Clinton	4,932	4,280	603	 49
Crittenden	4,242	3,451	731	 60
Cumberland	3,309	2,769	508	 32
Daviess	49,287	31,025	17,286	 976
Edmonson	6,132	4,828	1,227	 77
Elliott	2,995	2,246	712	 37
Estill	6,540	5,100	1,355	 85
Fayette	152,912	58,860	90,600	 3,452
Fleming	7,068	5,534	1,474	 60
Floyd	16,353	12,250	3,884	 219
Franklin	26,072	12,900	12,652	 520
Fulton	2,426	1,606	794	 26
Gallatin	3,849	2,955	822	 72
Garrard	8,706	6,754	1,830	 122
Grant	11,108	8,725	2,205	 178
Graves	17,019	13,206	3,560	 253
Grayson	11,985	9,453	2,400	 132
Green	5,812	4,838	920	 54
Greenup	18,176	13,064	4,873	 239
Hancock	4,587	3,145	1,351	 91
Hardin	48,941	29,832	18,101	 1,008
Harlan	10,971	9,367	1,494	 110
Harrison	8,859	6,334	2,400	 125
Hart	8,370	6,345	1,908	 117
Henderson	20,697	12,730	7,639	 328
Henry	8,110	5,843	2,142	 125
Hickman	2,199	1,714	458	 27
Hopkins	21,512	15,757	5,439	 316
Jackson	6,113	5,453	605	 55
Jefferson	387,870	150,646	228,358	 8,866
Jessamine	26,280	17,096	8,567	 617
Johnson	10,192	8,450	1,608	 134
Kenton	82,198	48,129	32,271	 1,798
Knott	6,252	4,780	1,412	 60
Knox	13,273	11,012	2,114	 147
Larue	7,301	5,685	1,504	 112
Laurel	28,111	23,237	4,475	 399
Lawrence	6,955	5,633	1,238	 84
Lee	2,801	2,273	481	 47
Leslie	4,813	4,321	446	 46
Letcher	9,135	7,226	1,799	 110
Lewis	5,883	4,986	823	 74
Lincoln	10,914	8,489	2,254	 171
Livingston	5,004	4,010	939	 55
Logan	12,350	9,067	3,094	 189
Lyon	4,228	3,100	1,092	 36
McCracken	33,549	21,820	11,195	 534
McCreary	6,438	5,664	725	 49
McLean	4,782	3,633	1,074	 75
Madison	43,957	27,356	15,581	 1,020
Magoffin	5,447	4,174	1,214	 59
Marion	8,928	6,113	2,722	 93
Marshall	17,603	13,297	4,071	 235
Martin	3,936	3,496	403	 37
Mason	7,958	5,477	2,362	 119
Meade	14,113	10,185	3,632	 296
Menifee	3,102	2,311	750	 41
Mercer	11,735	8,506	3,033	 196
Metcalfe	5,012	3,959	975	 78
Monroe	5,330	4,628	657	 45
Montgomery	12,842	8,993	3,630	 219
Morgan	5,544	4,301	1,175	 68
Muhlenberg	14,235	10,497	3,545	 193
Nelson	23,256	15,703	7,188	 365
Nicholas	3,396	2,408	955	 33
Ohio	11,129	8,582	2,404	 143
Oldham	37,976	22,654	14,505	 817
Owen	5,458	4,292	1,098	 68
Owsley	1,896	1,671	216	 9
Pendleton	6,925	5,515	1,322	 88
Perry	10,626	8,129	2,356	 141
Pike	25,395	20,284	4,866	 245
Powell	5,505	4,041	1,367	 97
Pulaski	31,557	25,442	5,666	 449
Robertson	1,146	884	253	 9
Rockcastle	7,784	6,577	1,134	 73
Rowan	10,065	5,994	3,880	 191
Russell	8,955	7,519	1,331	 105
Scott	28,969	17,767	10,567	 635
Shelby	23,550	15,055	8,077	 418
Simpson	8,732	5,888	2,681	 163
Spencer	11,433	8,737	2,530	 166
Taylor	12,517	9,376	2,963	 178
Todd	5,363	4,062	1,205	 96
Trigg	7,376	5,487	1,791	 98
Trimble	4,320	3,227	1,012	 81
Union	6,577	4,965	1,529	 83
Warren	55,401	31,791	22,479	 1,131
Washington	6,225	4,482	1,644	 99
Wayne	9,240	7,430	1,700	 110
Webster	5,993	4,506	1,412	 75
Whitley	15,356	12,567	2,552	 237
Wolfe	2,979	2,097	839	 43
Woodford	15,211	8,362	6,530	 319
