Acadia	28,425	22,596	5,443	 386
Allen	9,810	7,574	2,108	 128
Ascension	62,325	40,687	20,399	 1,239
Assumption	11,235	7,271	3,833	 131
Avoyelles	17,292	12,028	4,979	 285
Beauregard	16,357	13,575	2,542	 240
Bienville	7,050	3,891	3,067	 92
Bossier	54,655	38,074	15,662	 919
Caddo	104,912	48,021	55,110	 1,781
Calcasieu	82,663	55,066	25,982	 1,615
Caldwell	4,762	3,976	745	 41
Cameron	4,039	3,671	324	 44
Catahoula	4,858	3,541	1,269	 48
Claiborne	6,580	3,770	2,731	 79
Concordia	8,828	5,550	3,177	 101
De Soto	14,736	9,112	5,457	 167
East Baton Rouge	208,182	88,420	115,577	 4,185
East Carroll	3,036	1,080	1,900	 56
East Feliciana	10,509	6,064	4,280	 165
Evangeline	15,412	11,053	4,158	 201
Franklin	9,720	6,970	2,658	 92
Grant	9,392	8,117	1,157	 118
Iberia	32,713	21,251	11,027	 435
Iberville	16,719	7,893	8,514	 312
Jackson	7,632	5,394	2,143	 95
Jefferson	193,733	105,949	84,477	 3,307
Jefferson Davis	14,841	11,423	3,208	 210
Lafayette	114,521	72,519	39,685	 2,317
Lafourche	45,388	36,024	8,672	 692
La Salle	7,077	6,378	638	 61
Lincoln	19,275	11,311	7,559	 405
Livingston	65,230	54,877	9,249	 1,104
Madison	4,670	1,930	2,654	 86
Morehouse	11,574	6,510	4,946	 118
Natchitoches	16,554	9,358	6,896	 300
Orleans	177,819	26,664	147,854	 3,301
Ouachita	69,166	42,255	25,913	 998
Plaquemines	11,014	7,412	3,414	 188
Pointe Coupee	12,371	7,503	4,683	 185
Rapides	58,865	38,347	19,475	 1,043
Red River	4,132	2,413	1,644	 75
Richland	9,940	6,607	3,225	 108
Sabine	10,596	8,776	1,731	 89
St. Bernard	17,650	11,179	6,151	 320
St. Charles	28,517	18,233	9,800	 484
St. Helena	6,158	2,714	3,346	 98
St. James	12,590	5,954	6,510	 126
St. John the Baptist	21,432	7,538	13,582	 312
St. Landry	41,154	23,171	17,372	 611
St. Martin	27,038	18,203	8,439	 396
St. Mary	23,186	14,811	8,055	 320
St. Tammany	140,110	99,666	37,746	 2,698
Tangipahoa	57,661	37,806	18,887	 968
Tensas	2,554	1,197	1,329	 28
Terrebonne	46,240	34,339	11,198	 703
Union	11,201	8,407	2,654	 140
Vermilion	27,324	21,930	5,009	 385
Vernon	17,268	14,107	2,898	 263
Washington	19,513	13,307	5,970	 236
Webster	18,216	11,830	6,172	 214
West Baton Rouge	14,097	7,684	6,200	 213
West Carroll	5,052	4,317	710	 25
West Feliciana	6,268	3,863	2,298	 107
Winn	6,225	4,619	1,543	 63
