Barnstable	150,325	91,994	55,311	 3,020
Berkshire	71,375	51,705	18,064	 1,606
Bristol	279,279	153,377	119,872	 6,030
Dukes	12,798	9,914	2,631	 253
Essex	421,210	267,198	144,837	 9,175
Franklin	42,458	30,030	11,201	 1,227
Hampden	218,177	125,948	87,318	 4,911
Hampshire	87,854	63,362	22,281	 2,211
Middlesex	863,577	617,196	226,956	 19,425
Nantucket	7,306	5,241	1,914	 151
Norfolk	407,751	273,312	125,294	 9,145
Plymouth	301,816	173,630	121,227	 6,959
Suffolk	335,462	270,522	58,613	 6,327
Worcester	432,014	248,773	171,683	 11,558
