Allegany	30,641	9,158	20,886	 597
Anne Arundel	309,617	172,823	127,821	 8,973
Baltimore	414,932	258,409	146,202	 10,321
Baltimore City	237,461	207,260	25,374	 4,827
Calvert	49,112	22,587	25,346	 1,179
Caroline	15,794	5,095	10,283	 416
Carroll	100,327	36,456	60,218	 3,653
Cecil	47,462	16,809	29,439	 1,214
Charles	89,498	62,171	25,579	 1,748
Dorchester	15,977	6,857	8,764	 356
Frederick	145,615	77,675	63,682	 4,258
Garrett	15,611	3,281	12,002	 328
Harford	148,186	63,095	80,930	 4,161
Howard	183,062	129,433	48,390	 5,239
Kent	10,794	5,329	5,195	 270
Montgomery	533,743	419,569	101,222	 12,952
Prince George's	424,855	379,208	37,090	 8,557
Queen Anne's	30,290	10,709	18,741	 840
St. Mary's	55,665	23,138	30,826	 1,701
Somerset	10,147	4,241	5,739	 167
Talbot	22,555	11,062	10,946	 547
Washington	67,779	26,044	40,224	 1,511
Wicomico	46,216	22,054	22,944	 1,218
Worcester	31,691	12,560	18,571	 560
