Androscoggin	58,707	27,617	29,268	 1,822
Aroostook	35,746	13,956	21,113	 677
Cumberland	193,765	128,759	59,584	 5,422
Franklin	17,390	8,069	8,754	 567
Hancock	35,325	19,369	14,982	 974
Kennebec	71,858	34,902	34,721	 2,235
Knox	25,734	15,110	9,982	 642
Lincoln	23,594	12,684	10,256	 654
Oxford	33,492	14,755	17,698	 1,039
Penobscot	85,269	37,713	44,825	 2,731
Piscataquis	9,908	3,517	6,143	 248
Sagadahoc	24,038	13,528	9,755	 755
Somerset	27,578	10,199	16,644	 735
Waldo	24,322	12,345	11,196	 781
Washington	17,357	6,761	10,194	 402
York	129,659	71,189	54,817	 3,653
