Alcona	7,064	2,142	4,848	 74
Alger	5,135	2,053	3,014	 68
Allegan	67,195	24,449	41,392	 1,354
Alpena	16,987	6,000	10,686	 301
Antrim	15,972	5,960	9,748	 264
Arenac	8,839	2,774	5,928	 137
Baraga	4,047	1,478	2,512	 57
Barry	35,961	11,797	23,471	 693
Bay	60,333	26,151	33,125	 1,057
Benzie	12,262	5,480	6,601	 181
Berrien	82,565	37,438	43,519	 1,608
Branch	20,573	6,159	14,064	 350
Calhoun	66,281	28,877	36,221	 1,183
Cass	26,242	9,130	16,699	 413
Charlevoix	17,030	6,939	9,841	 250
Cheboygan	15,890	5,437	10,186	 267
Chippewa17,671	6,648	10,681	 342
Clare	16,295	5,199	10,861	 235
Clinton	47,927	21,968	25,098	 861
Crawford	7,861	2,672	5,087	 102
Delta	21,167	7,606	13,207	 354
Dickinson	14,615	4,744	9,617	 254
Eaton	64,327	31,299	31,798	 1,230
Emmet	22,209	9,662	12,135	 412
Genesee	221,764	119,390	98,714	 3,660
Gladwin	14,615	4,524	9,893	 198
Gogebic	8,276	3,570	4,600	 106
Grand Traverse	60,353	28,683	30,502	 1,168
Gratiot	19,148	6,693	12,102	 353
Hillsdale	23,302	5,883	17,037	 382
Houghton	18,533	7,750	10,378	 405
Huron	18,442	5,490	12,731	 221
Ingham	144,550	94,212	47,639	 2,699
Ionia	32,209	10,901	20,657	 651
Iosco	15,387	5,373	9,759	 255
Iron	6,795	2,493	4,216	 86
Isabella	29,476	14,072	14,815	 589
Jackson	81,014	31,995	47,372	 1,647
Kalamazoo	143,746	83,686	56,823	 3,237
Kalkaska	10,631	3,002	7,436	 193
Kent	362,031	187,915	165,741	 8,375
Keweenaw	1,557	672	862	 23
Lake	6,332	2,288	3,946	 98
Lapeer	52,732	16,367	35,482	 883
Leelanau	16,900	8,795	7,916	 189
Lenawee	53,452	20,918	31,541	 993
Livingston	127,197	48,220	76,982	 1,995
Luce	3,007	842	2,109	 56
Mackinac	7,025	2,632	4,304	 89
Macomb	494,256	223,952	263,863	 6,441
Manistee	14,679	6,107	8,321	 251
Marquette	37,550	20,465	16,286	 799
Mason	17,283	6,802	10,207	 274
Mecosta	21,081	7,375	13,267	 439
Menominee	12,621	4,316	8,117	 188
Midland	49,175	20,493	27,675	 1,007
Missaukee	8,755	1,967	6,648	 140
Monroe	87,299	32,980	52,722	 1,597
Montcalm	32,138	9,703	21,815	 620
Montmorency	5,863	1,628	4,171	 64
Muskegon	92,444	45,643	45,133	 1,668
Newaygo	27,197	7,873	18,857	 467
Oakland	771,991	434,148	325,971	 11,872
Oceana	14,080	4,944	8,892	 244
Ogemaw	11,921	3,475	8,253	 193
Ontonagon	3,810	1,391	2,358	 61
Osceola	12,340	3,214	8,928	 198
Oscoda	4,880	1,342	3,466	 72
Otsego	14,775	4,743	9,779	 253
Ottawa	168,713	64,705	100,913	 3,095
Presque Isle	8,355	2,911	5,342	 102
Roscommon	15,034	5,166	9,670	 198
Saginaw	103,483	51,088	50,785	 1,610
St. Clair	92,202	31,363	59,185	 1,654
St. Joseph	27,981	9,262	18,127	 592
Sanilac	22,446	5,966	16,194	 286
Schoolcraft	4,745	1,589	3,090	 66
Shiawassee	39,301	15,347	23,149	 805
Tuscola	29,479	8,712	20,297	 470
Van Buren	39,146	16,803	21,591	 752
Washtenaw	216,931	157,136	56,241	 3,554
Wayne	874,018	597,170	264,553	 12,295
Wexford	18,292	5,838	12,102	 352
