Aitkin	10025	3607	6258	160
Anoka	211132	100893	104902	5337
Becker	19401	6589	12438	374
Beltrami	24189	11426	12188	575
Benton	22260	7280	14382	598
Big Stone	2974	1053	1863	58
Blue Earth	36051	18330	16731	990
Brown	14635	4753	9552	330
Carlton	20369	10098	9791	480
Carver	66361	30774	34009	1578
Cass	18289	6342	11620	327
Chippewa	6611	2226	4250	135
Chisago	34570	11806	21916	848
Clay	32239	16357	15043	839
Clearwater	4708	1260	3372	76
Cook	3806	2496	1203	107
Cottonwood	6107	1834	4165	108
Crow Wing	40173	13726	25676	771
Dakota	262259	146155	109638	6466
Dodge	12187	4079	7783	325
Douglas	24165	7868	15799	498
Faribault	7914	2531	5191	192
Fillmore	12141	4551	7301	289
Freeborn	16818	6889	9578	351
Goodhue	28636	11806	16052	778
Grant	3654	1300	2269	85
Hennepin	755969	532623	205973	17373
Houston	11440	4853	6334	253
Hubbard	12965	4462	8202	301
Isanti	24235	7138	16491	606
Itasca	26561	10786	15239	536
Jackson	5819	1745	3948	126
Kanabec	9242	2774	6278	190
Kandiyohi	23367	8440	14437	490
Kittson	2639	1006	1546	87
Koochiching	6922	2659	4131	132
Lac Qui Parle	4040	1446	2528	66
Lake	7202	3647	3393	162
Lake of the Woods	2408	671	1704	33
Le Sueur	16818	5672	10775	371
Lincoln	3115	937	2121	57
Lyon	12893	4634	7979	280
McLeod	20933	6413	13986	534
Mahnomen	2304	1112	1142	50
Marshall	5113	1295	3721	97
Martin	11009	3305	7480	224
Meeker	13529	3867	9359	303
Mille Lacs	14689	4404	9952	333
Morrison	19558	4367	14821	370
Mower	19345	8899	10025	421
Murray	4896	1449	3363	84
Nicollet	19125	9622	9018	485
Nobles	8715	2933	5600	182
Norman	3441	1404	1953	84
Olmsted	91385	49491	39692	2202
Otter Tail	36399	11958	23800	641
Pennington	7277	2568	4532	177
Pine	16001	5419	10256	326
Pipestone	4940	1306	3553	81
Polk	15594	5439	9865	290
Pope	7022	2477	4417	128
Ramsey	295977	211620	77376	6981
Red Lake	2196	691	1454	51
Redwood	8284	2355	5771	158
Renville	8128	2496	5467	165
Rice	35686	17402	17464	820
Rock	5240	1556	3583	101
Roseau	8421	2188	6065	168
Saint Louis	119531	67704	49017	2810
Scott	87965	40040	45872	2053
Sherburne	55612	18065	36222	1325
Sibley	8452	2417	5864	171
Stearns	84835	31879	50959	1997
Steele	21128	7917	12656	555
Stevens	5085	1922	3044	119
Swift	5193	1784	3316	93
Todd	13257	3286	9753	218
Traverse	1864	661	1172	31
Wabasha	13123	4696	8153	274
Wadena	7677	2023	5520	134
Waseca	10389	3496	6624	269
Washington	166786	89165	73764	3857
Watonwan	5201	1987	3103	111
Wilkin	3430	1026	2328	76
Winona	27173	13333	13227	613
Wright	82426	28430	51973	2023
Yellow Medicine	5528	1688	3734	106
