Adair	10,336	6,413	3,710	 213
Andrew	9,774	7,255	2,351	 168
Atchison	2,814	2,199	564	 51
Audrain	10,666	7,732	2,704	 230
Barry	15,598	12,425	2,948	 225
Barton	6,077	5,168	844	 65
Bates	8,438	6,597	1,672	 169
Benton	10,484	8,109	2,180	 195
Bollinger	5,983	5,167	750	 66
Boone	91,326	38,646	50,064	 2,616
Buchanan	36,713	22,450	13,445	 818
Butler	18,169	14,602	3,301	 266
Caldwell	4,696	3,725	897	 74
Callaway	21,183	14,815	5,870	 498
Camden	24,812	18,850	5,652	 310
Cape Girardeau	40,426	28,907	10,760	 759
Carroll	4,532	3,706	786	 40
Carter	2,897	2,451	418	 28
Cass	57,568	37,197	19,052	 1,319
Cedar	7,044	5,788	1,145	 111
Chariton	4,077	3,111	916	 50
Christian	46,925	34,920	11,131	 874
Clark	3,394	2,672	678	 44
Clay	126,569	64,605	59,400	 2,564
Clinton	10,906	7,799	2,896	 211
Cole	39,645	26,086	12,694	 865
Cooper	8,693	6,272	2,249	 172
Crawford	10,973	8,725	2,113	 135
Dade	4,119	3,414	656	 49
Dallas	8,104	6,619	1,380	 105
Daviess	3,911	3,102	746	 63
DeKalb	4,852	3,828	930	 94
Dent	7,142	5,987	1,056	 99
Douglas	7,000	5,898	1,016	 86
Dunklin	10,419	8,135	2,200	 84
Franklin	53,783	38,058	14,569	 1,156
Gasconade	7,923	6,222	1,601	 100
Gentry	3,237	2,581	613	 43
Greene	142,272	83,630	55,068	 3,574
Grundy	4,437	3,585	799	 53
Harrison	3,826	3,198	597	 31
Henry	10,805	8,027	2,619	 159
Hickory	5,080	3,966	1,056	 58
Holt	2,343	1,976	338	 29
Howard	5,092	3,553	1,413	 126
Howell	18,676	15,181	3,218	 277
Iron	4,592	3,596	945	 51
Jackson	334,055	126,535	199,842	 7,678
Jasper	52,539	37,728	13,549	 1,262
Jefferson	116,953	77,046	37,523	 2,384
Johnson	23,172	15,489	6,974	 709
Knox	1,856	1,486	340	 30
Laclede	16,828	13,762	2,780	 286
Lafayette	17,096	12,273	4,472	 351
Lawrence	17,935	14,426	3,214	 295
Lewis	4,619	3,553	984	 82
Lincoln	29,065	21,848	6,607	 610
Linn	5,726	4,363	1,275	 88
Livingston	6,758	5,267	1,410	 81
McDonald	9,063	7,465	1,439	 159
Macon	7,836	6,076	1,662	 98
Madison	5,676	4,584	1,019	 73
Maries	4,771	3,892	814	 65
Marion	13,376	9,915	3,202	 259
Mercer	1,782	1,541	222	 19
Miller	12,397	10,176	2,038	 183
Mississippi	4,756	3,537	1,178	 41
Moniteau	7,157	5,744	1,308	 105
Monroe	4,483	3,477	936	 70
Montgomery	5,772	4,465	1,208	 99
Morgan	9,487	7,442	1,924	 121
New Madrid	7,250	5,447	1,748	 55
Newton	28,454	22,120	5,818	 516
Nodaway	9,910	6,865	2,853	 192
Oregon	4,739	3,847	823	 69
Osage	7,546	6,425	1,037	 84
Ozark	4,864	4,064	752	 48
Pemiscot	5,735	4,120	1,560	 55
Perry	9,456	7,657	1,664	 135
Pettis	19,097	13,854	4,783	 460
Phelps	19,601	13,480	5,637	 484
Pike	7,706	5,863	1,717	 126
Platte	57,270	28,917	27,179	 1,174
Polk	15,098	11,850	2,885	 363
Pulaski	14,441	10,329	3,740	 372
Putnam	2,361	1,984	361	 16
Ralls	5,662	4,396	1,205	 61
Randolph	10,757	8,018	2,485	 254
Ray	11,675	8,345	3,109	 221
Reynolds	3,298	2,733	529	 36
Ripley	5,717	4,839	833	 45
St. Charles	222,566	128,389	89,530	 4,647
St. Clair	4,974	3,932	988	 54
Ste. Genevieve	9,498	6,630	2,713	 155
St. Francois	28,065	20,511	7,044	 510
St. Louis	536,446	199,493	328,151	 8,802
St. Louis City	134,372	21,474	110,089	 2,809
Saline	9,533	6,451	2,904	 178
Schuyler	2,003	1,606	373	 24
Scotland	1,986	1,560	388	 38
Scott	17,748	13,769	3,753	 226
Shannon	3,906	3,165	706	 35
Shelby	3,350	2,700	592	 58
Stoddard	13,426	11,484	1,819	 123
Stone	18,520	14,800	3,506	 214
Sullivan	2,471	1,974	478	 19
Taney	26,338	20,508	5,339	 491
Texas	11,315	9,478	1,716	 121
Vernon	9,185	7,155	1,903	 127
Warren	18,416	13,222	4,769	 425
Washington	9,989	8,047	1,804	 138
Wayne	5,878	4,987	845	 46
Webster	18,779	14,880	3,573	 326
Worth	1,107	877	215	 15
Wright	8,751	7,453	1,168	 130
