Adams	13,759	5,696	7,917	 146
Alcorn	15,793	12,818	2,782	 193
Amite	7,196	4,503	2,620	 73
Attala	8,823	5,178	3,542	 103
Benton	4,289	2,570	1,679	 40
Bolivar	13,744	4,671	8,904	 169
Calhoun	6,590	4,625	1,902	 63
Carroll	5,701	3,924	1,729	 48
Chickasaw	8,141	4,175	3,810	 156
Choctaw	4,223	3,001	1,185	 37
Claiborne	4,449	603	3,772	 74
Clarke	8,338	5,417	2,838	 83
Clay	10,189	4,181	5,844	 164
Coahoma	8,501	2,375	6,020	 106
Copiah	12,883	6,250	6,470	 163
Covington	9,360	5,854	3,416	 90
DeSoto	76,124	46,462	28,265	 1,397
Forrest	31,654	17,290	13,755	 609
Franklin	4,461	2,923	1,480	 58
George	11,049	9,713	1,218	 118
Greene	5,812	4,794	966	 52
Grenada	10,911	6,081	4,734	 96
Hancock	20,957	16,132	4,504	 321
Harrison	75,885	46,822	27,728	 1,335
Hinds	100,208	25,141	73,550	 1,517
Holmes	8,115	1,369	6,588	 158
Humphreys	4,189	1,118	3,016	 55
Issaquena	676	308	355	 13
Itawamba	10,819	9,438	1,249	 132
Jackson	54,543	36,295	17,375	 873
Jasper	8,736	4,302	4,341	 93
Jefferson	3,908	531	3,327	 50
Jefferson Davis	6,213	2,534	3,599	 80
Jones	30,091	21,226	8,517	 348
Kemper	4,731	1,787	2,887	 57
Lafayette	23,423	12,949	10,070	 404
Lamar	28,530	20,704	7,340	 486
Lauderdale	31,247	17,967	12,960	 320
Lawrence	6,613	4,285	2,260	 68
Leake	9,200	5,228	3,897	 75
Lee	36,954	24,207	12,189	 558
Leflore	10,893	3,129	7,648	 116
Lincoln	16,801	11,596	5,040	 165
Lowndes	27,241	13,800	13,087	 354
Madison	56,361	31,091	24,440	 830
Marion	12,177	8,273	3,787	 117
Marshall	15,817	7,566	8,057	 194
Monroe	17,259	11,177	5,874	 208
Montgomery	5,075	2,917	2,121	 37
Neshoba	11,703	8,320	3,260	 123
Newton	10,183	6,997	3,075	 111
Noxubee	5,339	1,240	4,040	 59
Oktibbeha	19,757	9,004	10,299	 454
Panola	15,627	8,060	7,403	 164
Pearl River	24,033	19,595	4,148	 290
Perry	5,916	4,500	1,362	 54
Pike	17,361	8,479	8,646	 236
Pontotoc	14,361	11,550	2,614	 197
Prentiss	10,644	8,370	2,153	 121
Quitman	3,226	1,026	2,150	 50
Rankin	70,799	50,895	18,847	 1,057
Scott	10,733	6,285	4,330	 118
Sharkey	2,183	688	1,465	 30
Simpson	11,815	7,635	4,037	 143
Smith	8,327	6,458	1,791	 78
Stone	7,878	5,964	1,802	 112
Sunflower	9,681	2,799	6,781	 101
Tallahatchie	5,685	2,488	3,105	 92
Tate	13,093	8,707	4,183	 203
Tippah	10,102	8,054	1,937	 111
Tishomingo	9,138	7,933	1,059	 146
Tunica	3,565	926	2,580	 59
Union	12,683	10,373	2,160	 150
Walthall	7,119	4,220	2,835	 64
Warren	21,053	10,365	10,442	 246
Washington	18,034	5,300	12,503	 231
Wayne	10,056	6,307	3,624	 125
Webster	5,395	4,291	1,043	 61
Wilkinson	4,127	1,324	2,749	 54
Winston	9,236	5,112	4,040	 84
Yalobusha	6,535	3,671	2,785	 79
Yazoo	10,436	4,832	5,496	 108
