Beaverhead	5,661	3,923	1,608	130	 0
Big Horn	4,787	2,207	2,491	86	 3
Blaine	3,118	1,469	1,589	59	 1
Broadwater	4,097	3,173	835	89	 0
Carbon	7,053	4,468	2,421	163	 1
Carter	864	775	74	15	 0
Cascade	39,885	23,315	15,456	1,114	 0
Chouteau	2,965	1,891	991	83	 0
Custer	5,860	4,205	1,514	141	 0
Daniels	1,014	799	195	20	 0
Dawson	4,825	3,758	962	105	 0
Deer Lodge	4,891	2,186	2,562	143	 0
Fallon	1,575	1,375	172	28	 0
Fergus	6,507	4,869	1,496	142	 0
Flathead	59,938	38,321	20,274	1,341	 2
Gallatin	70,988	31,696	37,044	2,239	 9
Garfield	813	764	41	8	 0
Glacier	5,617	1,884	3,610	123	 0
Golden Valley	503	414	78	11	 0
Granite	2,102	1,419	638	45	 0
Hill	7,182	3,957	2,981	244	 0
Jefferson	8,151	5,345	2,625	181	 0
Judith Basin	1,344	1,040	275	29	 0
Lake	16,626	9,322	6,916	388	 0
Lewis and Clark	42,273	21,409	19,743	1,113	 8
Liberty	1,083	821	249	13	 0
Lincoln	11,749	8,672	2,835	240	 2
McCone	1,128	956	155	17	 0
Madison	6,087	4,191	1,771	125	 0
Meagher	1,110	833	258	19	 0
Mineral	2,563	1,828	686	49	 0
Missoula	71,499	26,347	43,357	1,791	 4
Musselshell	2,881	2,423	413	45	 0
Park	11,569	6,025	5,280	261	 3
Petroleum	348	298	39	11	 0
Phillips	2,382	1,936	416	30	 0
Pondera	2,995	2,031	903	61	 0
Powder River	1,136	970	154	12	 0
Powell	3,179	2,355	752	72	 0
Prairie	744	603	126	15	 0
Ravalli	28,507	19,114	8,763	630	 0
Richland	5,798	4,800	875	123	 0
Roosevelt	4,017	1,996	1,910	111	 0
Rosebud	3,773	2,486	1,199	88	 0
Sanders	7,623	5,660	1,820	142	 1
Sheridan	2,030	1,403	574	53	 0
Silver Bow	18,658	7,745	10,392	521	 0
Stillwater	5,724	4,462	1,156	106	 0
Sweet Grass	2,446	1,840	549	57	 0
Teton	3,679	2,608	1,007	64	 0
Toole	2,119	1,596	467	56	 0
Treasure	460	373	78	9	 0
Valley	4,261	3,135	1,030	96	 0
Wheatland	1,068	823	225	20	 0
Wibaux	598	516	77	5	 0
Yellowstone	83,821	50,772	30,679	2,370	 0
