Alamance	86,091	46,056	38,825	 1,210
Alexander	20,236	15,888	4,145	 203
Alleghany	6,076	4,527	1,486	 63
Anson	11,194	5,321	5,789	 84
Ashe	15,814	11,451	4,164	 199
Avery	9,458	7,172	2,191	 95
Beaufort	26,315	16,437	9,633	 245
Bertie	9,815	3,817	5,939	 59
Bladen	17,125	9,676	7,326	 123
Brunswick	90,175	55,850	33,310	 1,015
Buncombe	161,569	62,412	96,515	 2,642
Burke	44,602	31,019	13,118	 465
Cabarrus	117,227	63,237	52,162	 1,828
Caldwell	42,829	32,119	10,245	 465
Camden	5,953	4,312	1,537	 104
Carteret	42,695	30,028	12,093	 574
Caswell	12,051	7,089	4,860	 102
Catawba	83,425	56,588	25,689	 1,148
Chatham	48,599	21,186	26,787	 626
Cherokee	16,423	12,628	3,583	 212
Chowan	7,784	4,471	3,247	 66
Clay	6,893	5,112	1,699	 82
Cleveland	51,308	33,798	16,955	 555
Columbus	26,446	16,832	9,446	 168
Craven	53,065	31,032	21,148	 885
Cumberland	147,150	60,032	84,469	 2,649
Currituck	16,147	11,657	4,195	 295
Dare	24,232	13,938	9,936	 358
Davidson	88,514	64,658	22,636	 1,220
Davie	25,311	18,228	6,713	 370
Duplin	22,715	13,793	8,767	 155
Durham	179,914	32,459	144,688	 2,767
Edgecombe	25,477	9,206	16,089	 182
Forsyth	201,270	85,064	113,033	 3,173
Franklin	37,351	20,901	15,879	 571
Gaston	115,498	73,033	40,959	 1,506
Gates	5,971	3,367	2,546	 58
Graham	4,665	3,710	905	 50
Granville	31,598	16,647	14,565	 386
Greene	8,753	4,874	3,832	 47
Guilford	284,486	107,294	173,086	 4,106
Halifax	25,759	10,080	15,545	 134
Harnett	58,293	35,177	22,093	 1,023
Haywood	36,542	22,834	13,144	 564
Henderson	68,371	40,032	27,211	 1,128
Hertford	10,634	3,479	7,097	 58
Hoke	21,639	9,453	11,804	 382
Hyde	2,492	1,418	1,046	 28
Iredell	102,371	67,010	33,888	 1,473
Jackson	21,428	11,356	9,591	 481
Johnston	111,357	68,353	41,257	 1,747
Jones	5,525	3,280	2,197	 48
Lee	29,008	16,469	12,143	 396
Lenoir	28,409	14,590	13,605	 214
Lincoln	50,217	36,341	13,274	 602
McDowell	23,003	16,883	5,832	 288
Macon	20,743	14,211	6,230	 302
Madison	13,076	7,979	4,901	 196
Martin	12,540	6,532	5,911	 97
Mecklenburg	567,053	179,211	378,107	 9,735
Mitchell	9,041	7,090	1,867	 84
Montgomery	12,849	8,411	4,327	 111
Moore	58,339	36,764	20,779	 796
Nash	52,271	25,827	25,947	 497
New Hanover	131,830	63,331	66,138	 2,361
Northampton	10,110	3,989	6,069	 52
Onslow	72,235	46,078	24,266	 1,891
Orange	84,997	20,176	63,594	 1,227
Pamlico	7,631	4,849	2,713	 69
Pasquotank	19,897	9,770	9,832	 295
Pender	34,169	21,956	11,723	 490
Perquimans	7,484	4,903	2,492	 89
Person	21,894	13,184	8,465	 245
Pitt	87,573	38,982	47,252	 1,339
Polk	12,358	7,689	4,518	 151
Randolph	73,316	56,894	15,618	 804
Richmond	20,763	11,830	8,754	 179
Robeson	47,188	27,806	19,020	 362
Rockingham	47,809	31,301	15,992	 516
Rowan	73,408	49,297	23,114	 997
Rutherford	34,429	24,891	9,135	 403
Sampson	28,618	17,411	10,966	 241
Scotland	14,775	7,473	7,186	 116
Stanly	33,939	25,458	8,129	 352
Stokes	25,703	20,144	5,286	 273
Surry	36,638	27,538	8,721	 379
Swain	7,068	4,161	2,780	 127
Transylvania	20,404	11,636	8,444	 324
Tyrrell	1,817	1,044	758	 15
Union	131,011	80,382	48,725	 1,904
Vance	20,999	8,391	12,431	 177
Wake	631,830	226,197	393,336	 12,297
Warren	10,293	3,752	6,400	 141
Washington	6,205	2,781	3,396	 28
Watauga	32,220	14,451	17,122	 647
Wayne	55,537	30,709	24,215	 613
Wilkes	35,466	27,592	7,511	 363
Wilson	40,735	19,581	20,754	 400
Yadkin	19,923	15,933	3,763	 227
Yancey	11,352	7,516	3,688	 148
