Adams	1,269	981	258	30	 0
Barnes	5,565	3,568	1,820	161	 16
Benson	1,961	1,094	822	39	 6
Billings	635	541	72	21	 1
Bottineau	3,471	2,575	821	65	 10
Bowman	1,657	1,395	228	30	 4
Burke	1,155	994	137	20	 4
Burleigh	50,753	34,744	14,348	1,368	 293
Cass	86,053	42,619	40,311	2,495	 628
Cavalier	2,020	1,499	474	40	 7
Dickey	2,424	1,742	608	63	 11
Divide	1,202	904	265	30	 3
Dunn	2,338	1,951	342	39	 6
Eddy	1,261	854	383	22	 2
Emmons	2,009	1,738	237	27	 7
Foster	1,778	1,362	373	33	 10
Golden Valley	1,026	871	137	16	 2
Grand Forks	30,970	16,987	12,880	874	 229
Grant	1,381	1,145	207	28	 1
Griggs	1,250	907	308	34	 1
Hettinger	1,312	1,091	196	23	 2
Kidder	1,460	1,215	221	22	 2
LaMoure	2,219	1,645	527	44	 3
Logan	1,076	930	128	14	 4
McHenry	3,003	2,364	564	68	 7
McIntosh	1,455	1,153	261	30	 11
McKenzie	5,419	4,482	814	110	 13
McLean	5,536	4,198	1,230	96	 12
Mercer	4,675	3,856	704	102	 13
Morton	16,619	12,243	3,872	432	 72
Mountrail	4,165	2,824	1,256	75	 10
Nelson	1,777	1,141	586	43	 7
Oliver	1,066	918	129	18	 1
Pembina	3,331	2,460	786	66	 19
Pierce	2,128	1,585	497	38	 8
Ramsey	5,372	3,577	1,639	128	 28
Ransom	2,454	1,418	945	86	 5
Renville	1,319	1,065	220	32	 2
Richland	7,812	5,072	2,510	191	 39
Rolette	3,804	1,257	2,482	60	 5
Sargent	2,070	1,266	738	62	 4
Sheridan	812	688	104	16	 4
Sioux	1,186	258	804	48	 76
Slope	427	380	44	2	 1
Stark	15,050	12,110	2,499	396	 45
Steele	1,088	652	392	38	 6
Stutsman	9,959	6,994	2,676	249	 40
Towner	1,174	830	317	25	 2
Traill	4,136	2,522	1,493	110	 11
Walsh	4,783	3,324	1,333	95	 31
Ward	28,246	19,974	7,293	845	 134
Wells	2,374	1,893	442	32	 7
Williams	14,334	11,739	2,169	362	 64
