Adams	14,653	10,085	4,213	304	 51
Antelope	3,587	3,093	452	38	 4
Arthur	285	260	21	3	 1
Banner	411	362	43	5	 1
Blaine	317	280	35	2	 0
Boone	3,226	2,653	499	65	 9
Box Butte	5,200	4,002	1,051	128	 19
Boyd	1,155	1,010	135	8	 2
Brown	1,684	1,470	191	18	 5
Buffalo	23,711	16,640	6,350	599	 122
Burt	3,739	2,580	1,063	88	 8
Butler	4,518	3,542	873	83	 20
Cass	15,326	10,121	4,737	426	 42
Cedar	5,015	4,174	725	97	 19
Chase	2,000	1,740	226	27	 7
Cherry	3,269	2,844	373	48	 4
Cheyenne	4,776	3,813	855	97	 11
Clay	3,570	2,848	632	78	 12
Colfax	3,726	2,636	1,025	56	 9
Cuming	4,459	3,507	870	74	 8
Custer	6,010	5,090	786	117	 17
Dakota	6,817	3,926	2,744	124	 23
Dawes	4,151	2,931	1,082	108	 30
Dawson	9,191	6,524	2,497	157	 13
Deuel	1,034	871	141	20	 2
Dixon	3,094	2,335	651	97	 11
Dodge	16,938	10,984	5,544	348	 62
Douglas	276,540	119,159	150,350	5,442	 1,589
Dundy	1,003	883	105	11	 4
Fillmore	3,148	2,359	693	82	 14
Franklin	1,728	1,437	276	11	 4
Frontier	1,446	1,229	189	22	 6
Furnas	2,602	2,163	399	39	 1
Gage	11,119	7,445	3,385	238	 51
Garden	1,200	1,016	161	18	 5
Garfield	1,076	933	133	9	 1
Gosper	1,121	893	215	10	 3
Grant	402	375	20	7	 0
Greeley	1,259	1,016	229	13	 1
Hall	24,450	16,189	7,681	504	 76
Hamilton	5,566	4,309	1,118	106	 33
Harlan	1,934	1,615	282	31	 6
Hayes	536	494	34	6	 2
Hitchcock	1,470	1,264	175	30	 1
Holt	5,550	4,769	686	82	 13
Hooker	442	376	59	7	 0
Howard	3,511	2,786	648	67	 10
Jefferson	3,730	2,616	1,016	84	 14
Johnson	2,233	1,518	647	64	 4
Kearney	3,617	2,822	701	81	 13
Keith	4,369	3,544	763	57	 5
Keya Paha	530	476	49	4	 1
Kimball	1,877	1,563	268	43	 3
Knox	4,708	3,721	905	71	 11
Lancaster	157,215	70,092	82,293	3,706	 1,124
Lincoln	17,163	13,071	3,692	344	 56
Logan	450	407	38	5	 0
Loup	454	370	75	9	 0
McPherson	302	275	17	10	 0
Madison	15,819	11,940	3,478	347	 54
Merrick	4,282	3,419	743	95	 25
Morrill	2,558	2,113	386	58	 1
Nance	1,832	1,437	359	32	 4
Nemaha	3,432	2,428	921	74	 9
Nuckolls	2,305	1,857	409	37	 2
Otoe	8,355	5,649	2,490	176	 40
Pawnee	1,429	1,071	322	36	 0
Perkins	1,545	1,321	199	24	 1
Phelps	5,021	4,157	752	100	 12
Pierce	4,012	3,462	480	64	 6
Platte	15,721	12,186	3,260	227	 48
Polk	2,887	2,291	530	58	 8
Red Willow	5,470	4,525	811	116	 18
Richardson	4,134	3,073	996	57	 8
Rock	842	744	84	13	 1
Saline	5,780	3,631	1,986	153	 10
Sarpy	96,193	51,979	41,206	2,488	 520
Saunders	12,786	9,108	3,331	296	 51
Scotts Bluff	15,524	10,952	4,196	321	 55
Seward	9,199	6,490	2,438	214	 57
Sheridan	2,684	2,292	340	40	 12
Sherman	1,700	1,322	343	33	 2
Sioux	731	642	72	15	 2
Stanton	3,165	2,561	532	68	 4
Thayer	2,989	2,308	624	48	 9
Thomas	427	377	45	5	 0
Thurston	2,379	1,180	1,122	23	 54
Valley	2,344	1,901	412	27	 4
Washington	12,467	8,583	3,554	276	 54
Wayne	4,218	3,055	1,022	123	 18
Webster	1,876	1,511	335	30	 0
Wheeler	503	438	59	5	 1
York	7,161	5,337	1,630	176	 18
