Atlantic	140031	73808	64438	1785
Bergen	497838	285967	204417	7454
Burlington	262650	154595	103345	4710
Camden	265599	175065	86207	4327
Cape May	57933	23941	33158	834
Cumberland	62575	32742	28952	881
Essex	346187	266820	75475	3892
Gloucester	173453	86702	83340	3411
Hudson	250458	181452	65698	3308
Hunterdon	84673	39457	43153	2063
Mercer	177223	122532	51641	3050
Middlesex	375692	226250	143467	5975
Monmouth	378390	181291	191808	5291
Morris	300917	153881	141134	5902
Ocean	342746	119456	217740	5550
Passaic	224330	129097	92009	3224
Salem	34056	14479	18827	750
Somerset	186891	111173	71996	3722
Sussex	88355	34481	51701	2173
Union	254142	170310	80038	3794
Warren	61057	24901	34769	1387
