Bernalillo	317590	193757	116135	7698
Catron	2326	595	1698	33
Chaves	22443	6381	15656	406
Cibola	8903	4745	3975	183
Colfax	6016	2611	3271	134
Curry	15101	4307	10444	350
De Baca	901	231	656	14
Dona Ana	82641	47957	32802	1882
Eddy	23222	5424	17454	344
Grant	14435	7590	6553	292
Guadalupe	2189	1234	917	38
Harding	505	179	319	7
Hidalgo	1974	823	1120	31
Lea	20918	4061	16531	326
Lincoln	10306	3194	6942	170
Los Alamos	12293	7554	4278	461
Luna	8103	3563	4408	132
McKinley	26486	18029	7801	656
Mora	2686	1745	903	38
Otero	23571	8485	14521	565
Quay	3873	1170	2634	69
Rio Arriba	16628	10990	5408	230
Roosevelt	6608	1802	4634	172
Sandoval	76562	40588	34174	1800
San Juan	52294	18083	32874	1337
San Miguel	11531	7888	3421	222
Santa Fe	82227	62530	18329	1368
Sierra	5945	2265	3542	138
Socorro	7160	3722	3255	183
Taos	17181	13121	3715	345
Torrance	7281	2344	4772	165
Union	1789	383	1388	18
Valencia	32277	14263	17364	650
