Carson City	29,739	12,735	16,113	 891
Churchill	12,890	3,051	9,372	 467
Clark	972,510	521,852	430,930	 19,728
Douglas	34,125	11,571	21,630	 924
Elko	21,967	4,557	16,741	 669
Esmeralda	487	74	400	 13
Eureka	1,017	105	895	 17
Humboldt	7,771	1,689	5,877	 205
Lander	2,765	496	2,198	 71
Lincoln	2,446	330	2,067	 49
Lyon	30,238	8,473	20,914	 851
Mineral	2,335	829	1,423	 83
Nye	25,378	7,288	17,528	 562
Pershing	2,320	547	1,731	 42
Storey	2,877	902	1,908	 67
Washoe	252,142	128,128	116,760	 7,254
White Pine	4,369	859	3,403	 107
