Albany	154101	99474	51081	3546
Allegany	20782	6048	14135	599
Bronx	426693	355374	67740	3579
Broome	93016	47002	43791	2223
Cattaraugus	34760	11879	22155	726
Cayuga	36809	16359	19632	818
Chautauqua	59305	23088	34853	1364
Chemung	39410	16636	21922	852
Chenango	22350	8300	13496	554
Clinton	35437	18364	16514	559
Columbia	35610	20386	14464	760
Cortland	21679	10370	10789	520
Delaware	23025	9143	13387	495
Dutchess	151122	81443	66872	2807
Erie	473418	267270	197552	8596
Essex	19280	9950	8982	348
Franklin	19268	9253	9668	347
Fulton	23718	7931	15378	409
Genesee	29217	9625	18876	716
Greene	25194	10346	14271	577
Hamilton	3460	1178	2225	57
Herkimer	29322	9939	18871	512
Jefferson	43855	17307	25629	919
Kings	916009	703310	202772	9927
Lewis	12964	3823	8890	251
Livingston	31401	12477	18182	742
Madison	34035	14805	18409	821
Monroe	380989	225746	145661	9582
Montgomery	21164	7977	12745	442
Nassau	732756	396504	326716	9536
New York	697813	603040	85185	9588
Niagara	104123	46029	56068	2026
Oneida	101996	41973	57860	2163
Onondaga	236068	138991	91715	5362
Ontario	59300	28749	28782	1769
Orange	172539	84955	85068	2516
Orleans	18154	5587	12126	441
Oswego	54498	21145	32142	1211
Otsego	28080	12975	14382	723
Putnam	55122	24955	29283	884
Queens	789981	569038	212665	8278
Rensselaer	79409	40969	36500	1940
Richmond	216767	90997	123320	2450
Rockland	150702	75802	73186	1714
St. Lawrence	44907	19361	24608	938
Saratoga	132655	68471	61305	2879
Schenectady	75047	42465	30741	1841
Schoharie	15710	5345	9903	462
Schuyler	9766	3903	5621	242
Seneca	15632	6914	8329	389
Steuben	46179	15790	29474	915
Suffolk	773287	381021	381253	11013
Sullivan	34647	15489	18665	493
Tioga	25036	9634	14791	611
Tompkins	45735	33619	11096	1020
Ulster	97420	57970	37590	1860
Warren	36149	17642	17699	808
Washington	28138	11565	15941	632
Wayne	44727	17456	26204	1067
Westchester	462364	312437	144731	5196
Wyoming	19432	5073	13898	461
Yates	10723	4219	6208	296
