Adams	12,145	9,870	2,156	 119
Allen	48,099	33,116	14,149	 834
Ashland	26,405	19,407	6,541	 457
Ashtabula	44,237	26,890	16,497	 850
Athens	26,120	10,862	14,772	 486
Auglaize	25,822	20,798	4,651	 373
Belmont	33,141	23,560	9,138	 443
Brown	21,139	16,480	4,380	 279
Butler	186,737	114,392	69,613	 2,732
Carroll	14,233	10,745	3,251	 237
Champaign	20,003	14,589	5,062	 352
Clark	64,351	39,032	24,076	 1,243
Clermont	110,710	74,570	34,092	 2,048
Clinton	20,563	15,488	4,697	 378
Columbiana	49,960	35,726	13,359	 875
Coshocton	16,768	12,325	4,125	 318
Crawford	20,713	15,436	4,916	 361
Cuyahoga	627,160	202,699	416,176	 8,285
Darke	27,161	22,004	4,731	 426
Defiance	19,381	13,038	5,981	 362
Delaware	126,374	66,356	57,735	 2,283
Erie	40,416	22,160	17,493	 763
Fairfield	83,311	50,797	31,224	 1,290
Fayette	12,626	9,473	2,975	 178
Franklin	632,532	211,237	409,144	 12,151
Fulton	22,806	15,731	6,664	 411
Gallia	13,799	10,645	2,990	 164
Geauga	56,021	34,143	21,201	 677
Greene	88,643	52,072	34,798	 1,773
Guernsey	18,264	13,407	4,577	 280
Hamilton	430,929	177,886	246,266	 6,777
Hancock	38,771	26,310	11,757	 704
Hardin	13,247	9,949	3,062	 236
Harrison	7,663	5,792	1,768	 103
Henry	14,788	10,479	4,062	 247
Highland	19,676	15,678	3,799	 199
Hocking	13,855	9,737	3,880	 238
Holmes	12,978	10,796	1,994	 188
Huron	27,238	18,956	7,759	 523
Jackson	14,810	11,309	3,311	 190
Jefferson	33,421	22,828	10,018	 575
Knox	31,459	22,340	8,589	 530
Lake	130,782	73,278	55,514	 1,990
Lawrence	28,179	20,306	7,489	 384
Licking	94,396	59,514	33,055	 1,827
Logan	23,409	17,964	5,055	 390
Lorain	157,768	79,520	75,667	 2,581
Lucas	201,107	81,763	115,411	 3,933
Madison	19,887	13,835	5,698	 354
Mahoning	119,190	59,903	57,641	 1,646
Marion	27,871	19,023	8,269	 579
Medina	106,041	64,598	39,800	 1,643
Meigs	10,967	8,316	2,492	 159
Mercer	23,784	19,452	4,030	 302
Miami	58,077	41,371	15,663	 1,043
Monroe	7,159	5,463	1,605	 91
Montgomery	269,164	129,034	135,064	 5,066
Morgan	6,856	5,041	1,725	 90
Morrow	18,468	14,077	4,048	 343
Muskingum	40,467	27,867	11,971	 629
Noble	6,348	5,135	1,170	 43
Ottawa	24,046	14,628	9,008	 410
Paulding	9,484	7,086	2,213	 185
Perry	16,676	12,357	4,098	 221
Pickaway	28,314	20,593	7,304	 417
Pike	12,424	9,157	3,110	 157
Portage	83,022	45,990	35,661	 1,371
Preble	21,840	17,022	4,493	 325
Putnam	19,947	16,412	3,195	 340
Richland	59,975	41,472	17,640	 863
Ross	33,365	22,278	10,557	 530
Sandusky	30,128	18,896	10,596	 636
Scioto	32,051	22,609	9,080	 362
Seneca	25,848	17,086	8,266	 496
Shelby	25,293	20,422	4,465	 406
Stark	190,093	111,097	75,904	 3,092
Summit	281,280	124,833	151,668	 4,779
Trumbull	101,152	55,194	44,519	 1,439
Tuscarawas	44,087	30,458	12,889	 740
Union	33,535	21,669	11,141	 725
Van Wert	14,994	11,650	3,067	 277
Vinton	6,038	4,632	1,331	 75
Warren	136,441	87,988	46,069	 2,384
Washington	32,081	22,307	9,243	 531
Wayne	54,283	36,759	16,660	 864
Williams	18,651	13,452	4,842	 357
Wood	67,600	35,757	30,617	 1,226
Wyandot	11,403	8,462	2,733	 208
