Adair	7,108	5,585	1,387	 136
Alfalfa	2,262	1,978	232	 52
Atoka	5,389	4,557	765	 67
Beaver	2,178	1,968	190	 20
Beckham	7,948	6,767	1,048	 133
Blaine	3,901	3,136	688	 77
Bryan	15,976	12,344	3,323	 309
Caddo	9,859	7,013	2,670	 176
Canadian	61,940	43,550	16,742	 1,648
Carter	19,479	14,699	4,470	 310
Cherokee	17,714	11,223	6,027	 464
Choctaw	5,832	4,698	1,082	 52
Cimarron	1,054	970	70	 14
Cleveland	119,778	66,677	49,827	 3,274
Coal	2,524	2,091	374	 59
Comanche	35,631	20,905	13,747	 979
Cotton	2,572	2,117	393	 62
Craig	6,032	4,686	1,217	 129
Creek	30,505	23,294	6,577	 634
Custer	10,691	8,060	2,369	 262
Delaware	17,245	13,557	3,472	 216
Dewey	2,359	2,124	214	 21
Ellis	1,873	1,688	162	 23
Garfield	22,430	16,970	4,919	 541
Garvin	10,922	8,878	1,865	 179
Grady	23,101	18,538	4,144	 419
Grant	2,226	1,916	280	 30
Greer	1,973	1,605	328	 40
Harmon	933	747	177	 9
Harper	1,487	1,327	136	 24
Haskell	5,014	4,165	783	 66
Hughes	4,857	3,875	919	 63
Jackson	8,221	6,392	1,646	 183
Jefferson	2,385	2,026	319	 40
Johnston	4,251	3,441	738	 72
Kay	17,249	12,834	4,040	 375
Kingfisher	6,465	5,521	854	 90
Kiowa	3,427	2,673	699	 55
Latimer	4,249	3,437	762	 50
Le Flore	18,805	15,213	3,299	 293
Lincoln	14,888	12,013	2,609	 266
Logan	21,574	15,608	5,455	 511
Love	4,076	3,305	711	 60
McClain	19,236	15,295	3,582	 359
McCurtain	11,467	9,485	1,858	 124
McIntosh	8,335	6,172	2,031	 132
Major	3,467	3,084	320	 63
Marshall	6,064	4,891	1,100	 73
Mayes	16,626	12,749	3,581	 296
Murray	5,894	4,612	1,156	 126
Muskogee	25,081	16,526	8,027	 528
Noble	4,938	3,821	1,003	 114
Nowata	4,391	3,610	712	 69
Okfuskee	4,038	3,058	896	 84
Oklahoma	294,740	145,050	141,724	 7,966
Okmulgee	14,313	9,668	4,357	 288
Osage	20,538	14,121	6,002	 415
Ottawa	11,438	8,545	2,686	 207
Pawnee	6,786	5,267	1,363	 156
Payne	29,643	17,813	10,904	 926
Pittsburg	17,924	13,851	3,768	 305
Pontotoc	15,320	10,805	4,117	 398
Pottawatomie	28,185	20,240	7,275	 670
Pushmataha	4,739	4,016	668	 55
Roger Mills	1,834	1,629	168	 37
Rogers	44,553	34,031	9,589	 933
Seminole	8,337	6,011	2,150	 176
Sequoyah	15,386	12,113	3,035	 238
Stephens	19,057	15,560	3,154	 343
Texas	5,521	4,505	894	 122
Tillman	2,708	2,076	597	 35
Tulsa	266,678	150,574	108,996	 7,108
Wagoner	35,338	26,165	8,464	 709
Washington	23,501	17,076	5,790	 635
Washita	4,777	4,086	598	 93
Woods	3,678	2,993	591	 94
Woodward	7,785	6,611	1,005	 169
