Baker	9932	2346	7352	234
Benton	52799	35827	14878	2094
Clackamas	257679	139043	110509	8127
Clatsop	23910	12916	10218	776
Columbia	32221	13835	17150	1236
Coos	37075	14243	21829	1003
Crook	15448	3801	11287	360
Curry	14925	6058	8484	383
Deschutes	125234	65962	55646	3626
Douglas	64349	19160	43298	1891
Gilliam	1178	324	834	20
Grant	4596	929	3545	122
Harney	4481	894	3475	112
Hood River	13090	8764	3955	371
Jackson	127165	59478	63869	3818
Jefferson	11913	4393	7189	331
Josephine	51641	18451	31751	1439
Klamath	36726	10388	25308	1030
Lake	4363	792	3470	101
Lane	222253	134366	80336	7551
Lincoln	30726	17385	12460	881
Linn	72640	26512	43486	2642
Malheur	11804	3260	8187	357
Marion	165534	80872	79002	5660
Morrow	5118	1371	3586	161
Multnomah	463659	367249	82995	13415
Polk	48291	22917	23732	1642
Sherman	1208	260	921	27
Tillamook	16888	8066	8354	468
Umatilla	33038	10707	21270	1061
Union	14944	4254	10298	392
Wallowa	5149	1625	3404	120
Wasco	14130	6604	7035	491
Washington	320326	209940	99073	11313
Wheeler	965	217	711	37
Yamhill	58923	27174	29551	2198
