Adams	56809	18254	37567	988
Allegheny	724800	430759	282913	11128
Armstrong	36426	8457	27489	480
Beaver	94397	38122	54759	1516
Bedford	27610	4367	23025	218
Berks	206553	93116	109926	3511
Blair	63748	17636	45306	806
Bradford	30232	8046	21600	586
Bucks	397291	204712	187367	5212
Butler	113663	37508	74359	1796
Cambria	70751	21730	48085	936
Cameron	2440	634	1771	35
Carbon	33689	11212	21984	493
Centre	77891	40055	36372	1464
Chester	315753	182372	128565	4816
Clarion	19524	4678	14578	268
Clearfield	39496	9673	29203	620
Clinton	17661	5502	11902	257
Columbia	31280	10532	20098	650
Crawford	42114	12924	28561	629
Cumberland	142187	62245	77212	2730
Dauphin	147901	78983	66408	2510
Delaware	329404	206709	118639	4056
Elk	16946	4522	12140	284
Erie	137494	68286	66869	2339
Fayette	62279	20469	41251	559
Forest	2654	728	1882	44
Franklin	81025	22422	57245	1358
Fulton	7990	1085	6824	81
Greene	17697	4911	12579	207
Huntingdon	22843	5445	17061	337
Indiana	41289	12634	28089	566
Jefferson	22872	4529	17964	379
Juniata	12072	2253	9649	170
Lackawanna	115695	61991	52334	1370
Lancaster	281375	115847	160209	5319
Lawrence	46187	15978	29597	612
Lebanon	71858	23932	46731	1195
Lehigh	185655	98498	84418	2739
Luzerne	153499	64873	86929	1697
Lycoming	59397	16971	41462	964
McKean	19510	5098	14083	329
Mercer	58117	21067	36143	907
Mifflin	21547	4603	16670	274
Monroe	84034	44060	38726	1248
Montgomery	511920	319511	185460	6949
Montour	9817	3771	5844	202
Northampton	171399	85087	83854	2458
Northumberland	42435	12703	28975	757
Perry	24728	5950	18293	485
Philadelphia	743966	604175	132870	6921
Pike	32616	13052	19241	323
Potter	9085	1726	7239	120
Schuylkill	70755	20727	48871	1157
Snyder	19181	4910	13983	288
Somerset	40626	8654	31466	506
Sullivan	3598	921	2619	58
Susquehanna	21813	6236	15207	370
Tioga	21126	4955	15742	429
Union	20192	7475	12356	361
Venango	26601	7585	18569	447
Warren	20657	6066	14237	354
Washington	118756	45088	72080	1588
Wayne	28147	9191	18637	319
Westmoreland	205330	72192	130299	2839
Wyoming	14900	4704	9936	260
York	239146	88114	146733	4299
