Abbeville	12,433	8,215	4,101	 117
Aiken	85,185	51,589	32,275	 1,321
Allendale	3,593	835	2,718	 40
Anderson	96,093	67,565	27,169	 1,359
Bamberg	6,482	2,417	4,010	 55
Barnwell	10,321	5,492	4,720	 109
Beaufort	97,835	53,194	43,419	 1,222
Berkeley	104,458	57,397	45,223	 1,838
Calhoun	8,291	4,305	3,905	 81
Charleston	218,857	93,297	121,485	 4,075
Cherokee	25,270	18,043	6,983	 244
Chester	15,757	8,660	6,941	 156
Chesterfield	18,876	11,297	7,431	 148
Clarendon	16,733	8,361	8,250	 122
Colleton	19,283	10,440	8,602	 241
Darlington	32,417	16,832	15,220	 365
Dillon	13,101	6,582	6,436	 83
Dorchester	77,278	41,913	33,824	 1,541
Edgefield	13,304	8,184	4,953	 167
Fairfield	12,136	4,625	7,382	 129
Florence	64,510	32,615	31,153	 742
Georgetown	36,668	20,487	15,822	 359
Greenville	258,155	150,021	103,030	 5,104
Greenwood	32,006	19,431	12,145	 430
Hampton	9,305	3,906	5,323	 76
Horry	179,744	118,821	59,180	 1,743
Jasper	14,394	7,078	7,185	 131
Kershaw	33,629	20,471	12,699	 459
Lancaster	49,868	30,312	18,937	 619
Laurens	30,488	20,004	10,159	 325
Lee	8,431	3,008	5,329	 94
Lexington	144,568	92,817	49,301	 2,450
McCormick	5,697	2,958	2,687	 52
Marion	14,704	5,711	8,872	 121
Marlboro	11,446	5,044	6,290	 112
Newberry	18,631	11,443	6,958	 230
Oconee	40,668	29,698	10,414	 556
Orangeburg	41,205	13,603	27,295	 307
Pickens	57,546	42,907	13,645	 994
Richland	193,822	58,313	132,570	 2,939
Saluda	9,274	6,210	2,963	 101
Spartanburg	148,655	93,560	52,926	 2,169
Sumter	48,920	21,000	27,379	 541
Union	13,257	8,183	4,935	 139
Williamsburg	15,985	5,532	10,289	 164
York	144,050	82,727	59,008	 2,315
