Aurora	1,405	1,052	317	36
Beadle	7,081	4,808	2,107	166
Bennett	1,183	694	466	23
Bon Homme	3,001	2,235	721	45
Brookings	14,567	8,000	6,110	457
Brown	17,547	10,580	6,538	429
Brule	2,490	1,750	673	67
Buffalo	549	183	352	14
Butte	4,802	3,731	939	132
Campbell	873	747	117	9
Charles Mix	3,783	2,552	1,177	54
Clark	1,850	1,373	437	40
Clay	5,698	2,456	3,083	159
Codington	13,161	8,958	3,837	366
Corson	1,283	647	622	14
Custer	5,494	3,852	1,522	120
Davison	8,454	5,613	2,648	193
Day	2,964	1,869	1,052	43
Deuel	2,350	1,699	609	42
Dewey	1,966	790	1,131	45
Douglas	1,707	1,468	216	23
Edmunds	1,985	1,538	417	30
Fall River	4,042	2,878	1,053	111
Faulk	1,182	964	198	20
Grant	3,745	2,618	1,056	71
Gregory	2,258	1,771	455	32
Haakon	1,137	1,026	105	6
Hamlin	3,083	2,372	647	64
Hand	1,836	1,433	373	30
Hanson	2,388	1,793	557	38
Harding	813	748	49	16
Hughes	8,723	5,522	2,953	248
Hutchinson	3,767	2,944	762	61
Hyde	710	564	136	10
Jackson	1,115	738	359	18
Jerauld	1,006	721	270	15
Jones	599	498	90	11
Kingsbury	2,779	1,904	819	56
Lake	5,873	3,681	2,068	124
Lawrence	13,828	8,753	4,537	538
Lincoln	32,396	19,617	11,981	798
Lyman	1,597	1,042	525	30
McCook	2,900	2,068	769	63
McPherson	1,324	1,075	222	27
Marshall	2,178	1,287	858	33
Meade	13,670	9,875	3,285	510
Mellette	769	449	298	22
Miner	1,138	787	320	31
Minnehaha	92,326	49,249	40,482	2,595
Moody	3,206	1,951	1,179	76
Pennington	57,518	35,063	20,606	1,849
Perkins	1,669	1,401	239	29
Potter	1,380	1,139	227	14
Roberts	4,307	2,404	1,828	75
Sanborn	1,185	905	257	23
Oglala Lakota	3,200	297	2,829	74
Spink	3,163	2,104	998	61
Stanley	1,652	1,203	421	28
Sully	930	726	185	19
Todd	2,539	532	1,963	44
Tripp	2,696	2,161	495	40
Turner	4,548	3,290	1,139	119
Union	8,855	5,944	2,725	186
Walworth	2,580	1,966	565	49
Yankton	10,900	6,581	4,016	303
Ziebach	906	404	481	21
