Anderson	35,570	23,184	11,741	 645
Bedford	19,088	14,354	4,453	 281
Benton	7,260	5,668	1,529	 63
Bledsoe	5,758	4,725	971	 62
Blount	66,609	47,369	17,932	 1,308
Bradley	45,865	35,204	9,851	 810
Campbell	14,933	12,331	2,441	 161
Cannon	6,557	5,190	1,261	 106
Carroll	11,905	9,205	2,559	 141
Carter	24,492	19,584	4,529	 379
Cheatham	20,260	14,438	5,514	 308
Chester	7,584	5,952	1,412	 220
Claiborne	12,945	10,604	2,202	 139
Clay	3,506	2,733	735	 38
Cocke	14,859	12,162	2,533	 164
Coffee	24,282	17,883	5,705	 694
Crockett	6,114	4,673	1,382	 59
Cumberland	32,279	25,168	6,728	 383
Davidson	309,658	100,218	199,703	 9,737
Decatur	5,241	4,229	904	 108
DeKalb	8,513	6,672	1,750	 91
Dickson	24,323	17,643	6,106	 574
Dyer	15,079	11,768	3,158	 153
Fayette	22,984	15,690	7,027	 267
Fentress	8,729	7,441	1,214	 74
Franklin	19,132	13,987	4,864	 281
Gibson	22,335	16,259	5,771	 305
Giles	13,203	9,784	3,298	 121
Grainger	10,134	8,565	1,467	 102
Greene	28,087	22,259	5,199	 629
Grundy	5,855	4,802	988	 65
Hamblen	24,631	18,811	5,500	 320
Hamilton	171,113	92,108	75,522	 3,483
Hancock	2,744	2,372	362	 10
Hardeman	10,063	5,760	4,180	 123
Hardin	11,538	9,559	1,775	 204
Hawkins	24,824	20,405	4,083	 336
Haywood	7,439	3,343	4,012	 84
Henderson	12,020	9,797	2,092	 131
Henry	15,047	11,239	3,548	 260
Hickman	9,832	7,577	2,130	 125
Houston	3,686	2,718	871	 97
Humphreys	8,236	6,120	2,017	 99
Jackson	5,323	4,118	1,135	 70
Jefferson	23,616	18,651	4,654	 311
Johnson	7,801	6,468	1,246	 87
Knox	220,556	124,540	91,422	 4,594
Lake	2,034	1,492	526	 16
Lauderdale	8,965	5,674	3,193	 98
Lawrence	18,718	15,334	3,195	 189
Lewis	5,609	4,474	1,072	 63
Lincoln	15,608	12,281	2,919	 408
Loudon	29,347	21,713	6,948	 686
McMinn	22,844	18,198	4,361	 285
McNairy	11,275	9,093	1,943	 239
Macon	9,487	8,096	1,307	 84
Madison	42,950	23,943	18,390	 617
Marion	13,256	9,911	3,177	 168
Marshall	14,878	11,043	3,605	 230
Maury	46,657	31,464	14,418	 775
Meigs	5,532	4,467	1,008	 57
Monroe	20,797	16,783	3,764	 250
Montgomery	76,758	42,187	32,472	 2,099
Moore	3,539	2,888	573	 78
Morgan	8,228	6,930	1,167	 131
Obion	13,521	10,790	2,589	 142
Overton	10,037	7,918	2,033	 86
Perry	3,428	2,775	615	 38
Pickett	2,931	2,381	525	 25
Polk	8,360	6,792	1,492	 76
Putnam	33,593	23,759	9,185	 649
Rhea	13,637	11,050	2,369	 218
Roane	25,917	19,230	6,043	 644
Robertson	33,717	24,536	8,692	 489
Rutherford	143,878	81,480	59,341	 3,057
Scott	9,052	8,004	986	 62
Sequatchie	7,252	5,855	1,298	 99
Sevier	43,535	33,783	8,721	 1,031
Shelby	382,055	129,815	246,105	 6,135
Smith	9,051	7,136	1,802	 113
Stewart	6,296	4,950	1,232	 114
Sullivan	74,357	55,860	17,272	 1,225
Sumner	92,630	63,454	27,680	 1,496
Tipton	27,308	20,070	6,837	 401
Trousdale	3,998	2,936	1,012	 50
Unicoi	8,307	6,599	1,615	 93
Union	8,123	6,803	1,249	 71
Van Buren	2,921	2,342	544	 35
Warren	16,009	11,850	3,924	 235
Washington	60,203	40,444	18,638	 1,121
Wayne	6,669	5,795	820	 54
Weakley	13,735	10,396	3,020	 319
White	11,895	9,606	2,143	 146
Williamson	139,016	86,469	50,161	 2,386
Wilson	74,330	50,296	22,254	 1,780
