Anderson	19,227	15,110	3,955	 162
Andrews	5,863	4,943	850	 70
Angelina	34,635	25,076	9,143	 416
Aransas	12,290	9,239	2,916	 135
Archer	4,796	4,300	446	 50
Armstrong	1,112	1,035	75	 2
Atascosa	18,138	12,039	5,876	 223
Austin	14,586	11,447	2,951	 188
Bailey	1,860	1,434	409	 17
Bandera	12,726	10,057	2,505	 164
Bastrop	36,762	20,516	15,474	 772
Baylor	1,702	1,494	183	 25
Bee	9,426	6,006	3,288	 132
Bell	127,690	67,893	57,014	 2,783
Bexar	770,571	308,618	448,452	 13,501
Blanco	7,459	5,443	1,911	 105
Borden	416	397	16	 3
Bosque	9,126	7,469	1,561	 96
Bowie	38,261	27,116	10,747	 398
Brazoria	154,984	90,433	62,228	 2,323
Brazos	85,313	47,530	35,349	 2,434
Brewster	4,822	2,461	2,258	 103
Briscoe	725	639	78	 8
Brooks	2,484	998	1,470	 16
Brown	15,969	13,698	2,107	 164
Burleson	8,609	6,743	1,788	 78
Burnet	24,717	18,767	5,639	 311
Caldwell	14,973	8,031	6,672	 270
Calhoun	7,856	5,641	2,148	 67
Callahan	6,838	6,012	734	 92
Cameron	114,326	49,032	64,063	 1,231
Camp	5,060	3,626	1,394	 40
Carson	3,122	2,779	297	 46
Cass	13,927	11,033	2,795	 99
Castro	2,083	1,602	466	 15
Chambers	21,652	17,353	3,997	 302
Cherokee	19,508	15,101	4,210	 197
Childress	2,279	1,943	310	 26
Clay	5,744	5,069	614	 61
Cochran	1,000	809	177	 14
Coke	1,779	1,586	178	 15
Coleman	4,129	3,641	451	 37
Collin	492,216	252,318	230,945	 8,953
Collingsworth	1,218	1,048	155	 15
Colorado	9,975	7,472	2,420	 83
Comal	88,892	62,740	24,826	 1,326
Comanche	6,086	5,177	853	 56
Concho	1,268	1,058	197	 13
Cooke	19,025	15,596	3,210	 219
Coryell	23,493	15,438	7,565	 490
Cottle	662	540	113	 9
Crane	1,503	1,247	241	 15
Crockett	1,574	1,220	344	 10
Crosby	1,953	1,396	527	 30
Culberson	864	415	438	 11
Dallam	1,609	1,389	197	 23
Dallas	922,513	307,076	598,576	 16,861
Dawson	3,789	2,951	808	 30
Deaf Smith	4,610	3,294	1,264	 52
Delta	2,592	2,162	403	 27
Denton	417,964	222,480	188,695	 6,789
DeWitt	8,118	6,567	1,494	 57
Dickens	988	853	130	 5
Dimmit	3,666	1,384	2,264	 18
Donley	1,648	1,438	198	 12
Duval	5,053	2,443	2,575	 35
Eastland	8,293	7,237	983	 73
Ector	44,591	32,697	11,367	 527
Edwards	1,066	893	168	 5
Ellis	85,688	56,717	27,565	 1,406
El Paso	267,215	84,331	178,126	 4,758
Erath	16,877	13,684	2,916	 277
Falls	6,133	4,177	1,899	 57
Fannin	15,007	12,171	2,655	 181
Fayette	12,941	10,171	2,661	 109
Fisher	1,826	1,448	352	 26
Floyd	2,039	1,584	438	 17
Foard	551	445	99	 7
Fort Bend	358,333	157,718	195,552	 5,063
Franklin	5,009	4,161	804	 44
Freestone	8,711	6,991	1,635	 85
Frio	5,279	2,823	2,422	 34
Gaines	5,996	5,355	576	 65
Galveston	155,060	93,911	58,842	 2,307
Garza	1,653	1,413	231	 9
Gillespie	15,850	12,514	3,176	 160
Glasscock	653	611	39	 3
Goliad	3,995	3,085	877	 33
Gonzales	7,648	5,627	1,948	 73
Gray	7,782	6,840	829	 113
Grayson	59,474	44,163	14,506	 805
Gregg	47,982	32,493	14,796	 693
Grimes	12,414	9,432	2,833	 149
Guadalupe	77,758	47,553	28,805	 1,400
Hale	9,586	7,177	2,279	 130
Hall	1,169	995	168	 6
Hamilton	4,351	3,616	641	 94
Hansford	2,047	1,849	166	 32
Hardeman	1,580	1,330	241	 9
Hardin	27,635	23,858	3,474	 303
Harris	1,641,257	700,630	918,193	 22,434
Harrison	29,717	21,466	7,908	 343
Hartley	2,078	1,868	195	 15
Haskell	2,214	1,840	353	 21
Hays	109,395	47,680	59,524	 2,191
Hemphill	1,720	1,486	206	 28
Henderson	36,317	28,911	7,060	 346
Hidalgo	220,884	90,527	128,199	 2,158
Hill	14,931	11,926	2,860	 145
Hockley	8,100	6,536	1,482	 82
Hood	32,541	26,496	5,648	 397
Hopkins	15,941	12,719	3,046	 176
Houston	9,438	7,060	2,314	 64
Howard	10,241	8,054	2,069	 118
Hudspeth	1,165	779	371	 15
Hunt	38,597	29,163	8,906	 528
Hutchinson	8,773	7,681	965	 127
Irion	889	759	120	 10
Jack	3,782	3,418	331	 33
Jackson	6,353	5,231	1,033	 89
Jasper	15,611	12,542	2,954	 115
Jeff Davis	1,305	784	501	 20
Jefferson	94,759	47,570	46,073	 1,116
Jim Hogg	2,036	833	1,197	 6
Jim Wells	13,669	7,453	6,119	 97
Johnson	72,020	54,628	16,464	 928
Jones	6,741	5,660	999	 82
Karnes	5,252	3,968	1,234	 50
Kaufman	56,718	37,624	18,405	 689
Kendall	26,452	20,083	6,020	 349
Kenedy	194	127	65	 2
Kent	462	411	47	 4
Kerr	27,745	20,879	6,524	 342
Kimble	2,292	1,987	284	 21
King	159	151	8	 0
Kinney	1,603	1,144	446	 13
Kleberg	10,944	5,504	5,314	 126
Knox	1,456	1,180	265	 11
Lamar	21,442	16,760	4,458	 224
Lamb	4,410	3,521	840	 49
Lampasas	10,399	8,086	2,144	 169
La Salle	2,406	1,335	1,052	 19
Lavaca	10,197	8,804	1,333	 60
Lee	8,100	6,255	1,750	 95
Leon	8,685	7,523	1,072	 90
Liberty	29,334	23,302	5,785	 247
Limestone	9,095	6,789	2,213	 93
Lipscomb	1,353	1,205	131	 17
Live Oak	5,054	4,199	819	 36
Llano	12,660	10,079	2,465	 116
Loving	66	60	4	 2
Lubbock	120,817	78,861	40,017	 1,939
Lynn	2,293	1,853	428	 12
McCulloch	3,436	2,904	490	 42
McLennan	97,872	59,543	36,688	 1,641
McMullen	516	460	53	 3
Madison	5,298	4,169	1,088	 41
Marion	4,864	3,470	1,339	 55
Martin	2,160	1,857	288	 15
Mason	2,474	1,991	457	 26
Matagorda	13,727	9,845	3,733	 149
