Beaver	3,100	2,695	357	23	 25
Box Elder	27,320	21,548	4,473	614	 685
Cache	58,358	38,032	16,650	1,796	 1,880
Carbon	9,369	6,693	2,392	151	 133
Daggett	622	496	111	7	 8
Davis	173,434	104,135	57,411	5,004	 6,884
Duchesne	8,562	7,513	843	107	 99
Emery	4,898	4,207	572	47	 72
Garfield	2,732	2,158	514	37	 23
Grand	5,205	2,248	2,806	62	 89
Iron	25,104	18,989	4,892	666	 557
Juab	5,903	5,087	645	91	 80
Kane	4,205	2,998	1,083	51	 73
Millard	6,190	5,404	624	64	 98
Morgan	6,606	5,181	1,086	160	 179
Piute	874	773	86	7	 8
Rich	1,369	1,157	180	14	 18
Salt Lake	546,581	230,174	289,906	12,219	 14,282
San Juan	6,904	3,535	3,113	99	 157
Sanpete	12,725	10,459	1,794	215	 257
Sevier	10,363	9,052	1,084	133	 94
Summit	26,289	10,252	15,244	367	 426
Tooele	31,518	21,014	8,943	958	 603
Uintah	15,370	13,261	1,663	226	 220
Utah	289,101	192,812	76,033	10,377	 9,879
Wasatch	17,790	10,795	6,187	352	 456
Washington	91,160	67,294	20,530	1,742	 1,594
Wayne	1,630	1,229	365	9	 27
Weber	112,649	65,949	40,695	2,849	 3,156
