Accomack	16962	7578	9172	212
Albemarle	64657	42466	20804	1387
Alleghany	8203	2243	5859	101
Amelia	7893	2411	5390	92
Amherst	17005	5672	11041	292
Appomattox	9268	2418	6702	148
Arlington	130699	105344	22318	3037
Augusta	42278	10840	30714	724
Bath	2501	646	1834	21
Bedford	48669	12176	35600	893
Bland	3479	532	2903	44
Botetourt	21120	5700	15099	321
Brunswick	7948	4552	3357	39
Buchanan	9953	1587	8311	55
Buckingham	8126	3471	4544	111
Campbell	29892	8070	21245	577
Caroline	16288	7657	8336	295
Carroll	15651	2842	12659	150
Charles City	4441	2624	1761	56
Charlotte	6191	2317	3815	59
Chesterfield	203884	106935	93326	3623
Clarke	9337	3920	5192	225
Craig	3169	587	2536	46
Culpeper	27116	10617	16012	487
Cumberland	5310	2227	3019	64
Dickenson	7303	1503	5748	52
Dinwiddie	15092	6224	8695	173
Essex	6178	3038	3075	65
Fairfax	600823	419943	168401	12479
Fauquier	43661	17565	25106	990
Floyd	9408	3004	6225	179
Fluvanna	15840	7414	8155	271
Franklin	29702	8381	20895	426
Frederick	48703	17207	30558	938
Giles	9176	2156	6876	144
Gloucester	22282	6964	14875	443
Goochland	16950	6685	9966	299
Grayson	8131	1535	6529	67
Greene	11311	4163	6866	282
Greensville	4574	2627	1914	33
Halifax	18248	7666	10418	164
Hanover	70967	25307	44318	1342
Henrico	183152	116572	63440	3140
Henry	26105	9127	16725	253
Highland	1533	417	1092	24
Isle of Wight	23456	9399	13707	350
James City	49622	25553	23153	916
King and Queen	4115	1590	2450	75
King George	14224	5404	8446	374
King William	10736	3260	7320	156
Lancaster	7152	3368	3697	87
Lee	9946	1489	8365	92
Loudoun	224862	138372	82088	4402
Louisa	21915	8269	13294	352
Lunenburg	6000	2418	3537	45
Madison	8129	2698	5300	131
Mathews	5826	1825	3901	100
Mecklenburg	16204	6803	9266	135
Middlesex	6785	2491	4196	98
Montgomery	45037	23218	20629	1190
Nelson	9316	4327	4812	177
New Kent	14463	4621	9631	211
Northampton	6732	3667	2955	110
Northumberland	7815	3252	4485	78
Nottoway	7078	2971	4027	80
Orange	20742	7995	12426	321
Page	12514	3007	9345	162
Patrick	9534	1954	7485	95
Pittsylvania	34227	10115	23751	361
Powhatan	19730	5320	14055	355
Prince Edward	9574	4973	4434	167
Prince George	17432	7103	10103	226
Prince William	228056	142863	81222	3971
Pulaski	17376	4925	12127	324
Rappahannock	4978	2096	2812	70
Richmond	4102	1513	2547	42
Roanoke	57184	21801	34268	1115
Rockbridge	12373	4086	8088	199
Rockingham	43811	12644	30349	818
Russell	13386	2373	10879	134
Scott	10869	1692	9063	114
Shenandoah	23684	6836	16463	385
Smyth	14136	3008	10963	165
Southampton	9786	3969	5730	87
Spotsylvania	75317	34307	39411	1599
Stafford	79625	40245	37636	1744
Surry	4471	2397	2025	49
Sussex	5088	2827	2219	42
Tazewell	20134	3205	16731	198
Warren	21147	6603	14069	475
Washington	28685	6617	21679	389
Westmoreland	9933	4501	5318	114
Wise	16615	3110	13366	139
Wythe	15072	3143	11733	196
York	38787	17683	20241	863
Alexandria City	82508	66240	14544	1724
Bristol City	7806	2313	5347	146
Buena Vista City	2776	825	1863	88
Charlottesville City	24205	20696	3094	415
Chesapeake City	127108	66377	58180	2551
Colonial Heights City	9146	2972	6007	167
Covington City	2603	964	1580	59
Danville City	19389	11710	7428	251
Emporia City	2381	1612	754	15
Fairfax City	13483	9174	4007	302
Falls Church City	8819	7146	1490	183
Franklin City	4058	2525	1487	46
Fredericksburg City	12862	8517	4037	308
Galax City	2638	777	1838	23
Hampton City	65901	46220	18430	1251
Harrisonburg City	17086	11022	5591	473
Hopewell City	9608	5430	4020	158
Lexington City	2762	1791	906	65
Lynchburg City	36363	18048	17097	1218
Manassas City	16968	10356	6256	356
Manassas Park City	6087	3992	1979	116
Martinsville City	6013	3766	2165	82
Newport News City	81203	53099	26377	1727
Norfolk City	89881	64440	23443	1998
Norton City	1601	464	1109	28
Petersburg City	14118	12389	1584	145
Poquoson City	7857	2054	5605	198
Portsmouth City	44582	30948	12755	879
Radford City	6320	3358	2786	176
Richmond City	111159	92175	16603	2381
Roanoke City	43323	26773	15607	943
Salem City	13051	5148	7683	220
Staunton City	12990	6981	5695	314
Suffolk City	49642	28676	20082	884
Virginia Beach City	227561	117393	105087	5081
Waynesboro City	10717	4961	5507	249
Williamsburg City	6883	4790	1963	130
Winchester City	12106	6610	5221	275
