Adams	5,862	1,814	3,907	 141
Asotin	11,951	4,250	7,319	 382
Benton	103,033	38,706	60,365	 3,962
Chelan	43,306	19,349	22,746	 1,211
Clallam	49,264	24,721	23,062	 1,481
Clark	275,403	140,324	126,303	 8,776
Columbia	2,495	668	1,754	 73
Cowlitz	60,280	23,938	34,424	 1,918
Douglas	21,308	7,811	12,955	 542
Ferry	4,367	1,486	2,771	 110
Franklin	32,404	13,340	18,039	 1,025
Garfield	1,489	366	1,069	 54
Grant	37,680	11,819	24,764	 1,097
Grays Harbor	38,441	17,354	19,877	 1,210
Island	53,925	29,213	22,746	 1,966
Jefferson	24,792	17,204	6,931	 657
King	1,210,507	907,310	269,167	 34,030
Kitsap	158,672	90,277	61,563	 6,832
Kittitas	26,364	11,421	14,105	 838
Klickitat	13,560	5,959	7,237	 364
Lewis	45,309	14,520	29,391	 1,398
Lincoln	7,033	1,713	5,150	 170
Mason	37,303	17,269	18,710	 1,324
Okanogan	21,282	8,900	11,840	 542
Pacific	14,064	6,794	6,953	 317
Pend Oreille	8,553	2,593	5,728	 232
Pierce	464,081	249,506	197,730	 16,845
San Juan	13,197	9,725	3,057	 415
Skagit	73,423	38,252	32,762	 2,409
Skamania	7,312	3,192	3,885	 235
Snohomish	438,796	256,728	166,428	 15,640
Spokane	295,430	135,765	148,576	 11,089
Stevens	28,430	7,839	19,808	 783
Thurston	168,134	96,608	65,277	 6,249
Wahkiakum	2,981	1,165	1,741	 75
Walla Walla	31,261	13,690	16,400	 1,171
Whatcom	138,620	83,660	50,489	 4,471
Whitman	21,126	11,184	9,067	 875
Yakima	96,193	43,179	50,555	 2,459
