Adams	11818	4329	7362	127
Ashland	8757	4801	3841	115
Barron	25346	9194	15803	349
Bayfield	10880	6147	4617	116
Brown	144017	65511	75871	2635
Buffalo	7816	2860	4834	122
Burnett	10141	3569	6462	110
Calumet	30774	12116	18156	502
Chippewa	35938	13983	21317	638
Clark	14898	4524	10002	372
Columbia	33869	16410	16927	532
Crawford	8695	3953	4620	122
Dane	344728	260121	78794	5813
Dodge	48436	16356	31355	725
Door	20117	10044	9752	321
Douglas	24677	13218	10923	536
Dunn	23524	9897	13173	454
Eau Claire	58275	31620	25341	1314
Florence	2940	781	2133	26
Fond du Lac	57251	20588	35754	909
Forest	5053	1721	3285	47
Grant	25608	10998	14142	468
Green	21406	10851	10169	386
Green Lake	10671	3344	7168	159
Iowa	13992	7828	5909	255
Iron	4010	1533	2438	39
Jackson	10184	4256	5791	137
Jefferson	47979	19904	27208	867
Juneau	13709	4746	8749	214
Kenosha	88738	42193	44972	1573
Kewaunee	12095	3976	7927	192
La Crosse	67884	37846	28684	1354
Lafayette	8555	3647	4821	87
Langlade	11165	3704	7330	131
Lincoln	16497	6261	10017	219
Manitowoc	44829	16818	27218	793
Marathon	76751	30808	44624	1319
Marinette	22979	7366	15304	309
Marquette	9065	3239	5719	107
Menominee	1590	1303	278	9
Milwaukee	459723	317527	134482	7714
Monroe	22611	8433	13775	403
Oconto	23215	6715	16226	274
Oneida	24159	10105	13671	383
Outagamie	108022	47667	58385	1970
Ozaukee	61486	26517	33912	1057
Pepin	4144	1489	2584	71
Pierce	23317	9796	12815	706
Polk	26371	9370	16611	390
Portage	40603	20428	19299	876
Price	8546	3032	5394	120
Racine	106451	50159	54479	1813
Richland	9014	3995	4871	148
Rock	85360	46658	37138	1564
Rusk	7886	2517	5257	112
St. Croix	56707	23190	32199	1318
Sauk	36203	18108	17493	602
Sawyer	10510	4498	5909	103
Shawano	22615	7131	15173	311
Sheboygan	66011	27101	37609	1301
Taylor	10686	2693	7657	336
Trempealeau	15380	6285	8833	262
Vernon	15923	7457	8218	248
Vilas	15369	5903	9261	205
Walworth	57600	22789	33851	960
Washburn	10378	3867	6334	177
Washington	88070	26650	60237	1183
Waukesha	267996	103906	159649	4441
Waupaca	29130	9703	18952	475
Waushara	13568	4388	9016	164
Winnebago	94032	44060	47796	2176
Wood	41298	16365	24308	625
