Barbour	6,677	5,116	1,457	 104
Berkeley	51,539	33,279	17,186	 1,074
Boone	9,013	6,816	2,041	 156
Braxton	5,664	4,120	1,457	 87
Brooke	10,656	7,545	2,947	 164
Cabell	37,360	21,721	14,994	 645
Calhoun	2,971	2,364	568	 39
Clay	3,365	2,679	641	 45
Doddridge	3,101	2,619	435	 47
Fayette	16,870	11,580	5,063	 227
Gilmer	2,662	2,012	599	 51
Grant	5,510	4,871	607	 32
Greenbrier	15,850	10,925	4,655	 270
Hampshire	10,086	8,033	1,939	 114
Hancock	13,802	9,806	3,790	 206
Hardy	6,333	4,859	1,381	 93
Harrison	30,465	20,683	9,215	 567
Jackson	13,509	10,093	3,207	 209
Jefferson	27,705	15,033	12,127	 545
Kanawha	82,250	46,398	34,344	 1,508
Lewis	7,459	5,782	1,538	 139
Lincoln	7,831	6,012	1,711	 108
Logan	13,026	10,534	2,333	 159
McDowell	6,527	5,148	1,333	 46
Marion	25,799	16,300	8,901	 598
Marshall	14,080	10,435	3,455	 190
Mason	11,206	8,491	2,526	 189
Mercer	25,135	19,237	5,556	 342
Mineral	12,876	10,040	2,660	 176
Mingo	10,026	8,544	1,397	 85
Monongalia	42,079	20,803	20,282	 994
Monroe	6,490	5,068	1,345	 77
Morgan	8,696	6,537	1,998	 161
Nicholas	10,633	8,279	2,226	 128
Ohio	19,900	12,354	7,223	 323
Pendleton	3,659	2,782	820	 57
Pleasants	3,491	2,742	699	 50
Pocahontas	4,009	2,895	1,047	 67
Preston	14,573	11,190	3,163	 220
Putnam	28,501	20,034	7,878	 589
Raleigh	33,114	24,673	7,982	 459
Randolph	12,200	8,673	3,362	 165
Ritchie	4,283	3,649	586	 48
Roane	5,763	4,213	1,455	 95
Summers	5,585	4,074	1,448	 63
Taylor	7,383	5,477	1,796	 110
Tucker	3,845	2,841	938	 66
Tyler	3,923	3,226	631	 66
Upshur	10,223	7,771	2,256	 196
Wayne	16,947	12,585	4,088	 274
Webster	3,402	2,759	610	 33
Wetzel	6,669	4,993	1,539	 137
Wirt	2,653	2,134	466	 53
Wood	38,765	27,202	10,926	 637
Wyoming	8,592	7,353	1,157	 82
