Albany	18,617	8,579	9,092	595	 351
Big Horn	5,752	4,806	788	74	 84
Campbell	19,566	16,975	1,935	434	 222
Carbon	6,664	5,014	1,427	142	 81
Converse	6,970	5,917	861	121	 71
Crook	4,119	3,651	378	57	 33
Fremont	18,111	12,007	5,519	321	 264
Goshen	6,241	4,878	1,203	86	 74
Hot Springs	2,577	1,999	482	61	 35
Johnson	4,914	3,881	897	86	 50
Laramie	44,982	27,891	15,217	1,063	 811
Lincoln	10,468	8,643	1,509	167	 149
Natrona	35,202	25,271	8,530	895	 506
Niobrara	1,308	1,118	155	21	 14
Park	16,717	12,813	3,410	282	 212
Platte	4,923	3,898	890	65	 70
Sheridan	16,428	11,843	4,043	339	 203
Sublette	4,970	3,957	882	71	 60
Sweetwater	16,603	12,229	3,823	350	 201
Teton	14,677	4,341	9,848	255	 233
Uinta	9,402	7,496	1,591	172	 143
Washakie	4,012	3,245	651	65	 51
Weston	3,542	3,107	360	46	 29
